[00:00:00.000 --> 00:00:05.000]  我这次讲的怎么这么慢
[00:15:27.000 --> 00:15:29.000]  配合后量超前量 代表着什么
[00:15:29.000 --> 00:15:31.000]  后视抗高 自己我们把这里理一理
[00:15:31.000 --> 00:15:33.000]  这是在三量初期使用
[00:15:33.000 --> 00:15:35.000]  用好这里的高 去看它们的量就关系
[00:15:35.000 --> 00:15:37.000]  那么高量
[00:15:37.000 --> 00:15:39.000]  中阳 太阳 突破 后视 庇护
[00:15:39.000 --> 00:15:41.000]  考虑着什么
[00:15:41.000 --> 00:15:43.000]  扭转 有效扭转之后
[00:15:43.000 --> 00:15:45.000]  是不是才能形成一个横盘呢
[00:15:45.000 --> 00:15:47.000]  转视
[00:15:47.000 --> 00:15:49.000]  和横盘中看球马的力度
[00:15:49.000 --> 00:15:51.000]  转视
[00:15:51.000 --> 00:15:53.000]  的那个
[00:15:53.000 --> 00:15:55.000]  转视加横盘中看球马的力度
[00:15:55.000 --> 00:15:57.000]  就是你的 你的什么 你的态度强不强
[00:15:57.000 --> 00:15:59.000]  转视
[00:15:59.000 --> 00:16:01.000]  和横盘中 横盘中比如说
[00:16:01.000 --> 00:16:03.000]  避浪嘛 对不对 避浪高量注
[00:16:03.000 --> 00:16:05.000]  看球马的力度
[00:16:05.000 --> 00:16:07.000]  所以我们说高量注
[00:16:07.000 --> 00:16:09.000]  中阳 大阳 突破 后视 庇护
[00:16:09.000 --> 00:16:11.000]  那么跳空 背量
[00:16:11.000 --> 00:16:13.000]  阳线 庇护 后视 庇护
[00:16:13.000 --> 00:16:15.000]  这个是在趋势进行当中
[00:16:15.000 --> 00:16:17.000]  因为现在跳空很少
[00:16:17.000 --> 00:16:19.000]  所以大家也不用特别担心
[00:16:19.000 --> 00:16:21.000]  现在基本上很少有跳空
[00:16:21.000 --> 00:16:23.000]  然后我们再来看第四个
[00:16:23.000 --> 00:16:25.000]  大量的巨量阴线 阳线
[00:16:25.000 --> 00:16:27.000]  不过压力重重
[00:16:27.000 --> 00:16:29.000]  如果是夏天过程中
[00:16:29.000 --> 00:16:31.000]  看转视的增加
[00:16:31.000 --> 00:16:33.000]  这个什么 就是
[00:16:33.000 --> 00:16:35.000]  我们说的必须过这个压力
[00:16:35.000 --> 00:16:37.000]  然后还有就到这里 加深量缩
[00:16:37.000 --> 00:16:39.000]  刚才讲的我们这里
[00:16:39.000 --> 00:16:41.000]  加深量缩 加平量缩
[00:16:41.000 --> 00:16:43.000]  加回手量缩 爆发
[00:16:43.000 --> 00:16:45.000]  惊人 持仓初期
[00:16:45.000 --> 00:16:47.000]  就是上升初期
[00:16:47.000 --> 00:16:49.000]  然后重在仙子
[00:16:49.000 --> 00:16:51.000]  重在仙子里面就是我们接下来
[00:16:51.000 --> 00:16:53.000]  要重点的
[00:16:53.000 --> 00:16:55.000]  重在仙子什么 调整到位的
[00:16:55.000 --> 00:16:57.000]  第一根背量柱
[00:16:57.000 --> 00:16:59.000]  对应的阳线
[00:16:59.000 --> 00:17:01.000]  或者是第二根背量柱
[00:17:01.000 --> 00:17:03.000]  对应的阳线 就是我们的
[00:17:03.000 --> 00:17:05.000]  买点确认
[00:17:05.000 --> 00:17:09.000]  这里 大家接一下圈起来
[00:17:09.000 --> 00:17:11.000]  重在仙子
[00:17:11.000 --> 00:17:13.000]  调整到位就是
[00:17:13.000 --> 00:17:15.000]  APCC mode 对吧 或上升
[00:17:15.000 --> 00:17:17.000]  这就是过程中的调整
[00:17:17.000 --> 00:17:19.000]  调整到位的第一根背量
[00:17:19.000 --> 00:17:21.000]  阳线
[00:17:21.000 --> 00:17:23.000]  再加一个阳柱
[00:17:23.000 --> 00:17:25.000]  背量柱阳线
[00:17:25.000 --> 00:17:27.000]  背量柱进空阳吧
[00:17:27.000 --> 00:17:29.000]  或者是第二根
[00:17:29.000 --> 00:17:31.000]  这个字怎么打成这个
[00:17:31.000 --> 00:17:33.000]  这个字叫什么字 我不认识
[00:17:33.000 --> 00:17:35.000]  没有过打成那个字
[00:17:35.000 --> 00:17:43.000]  第二根背量柱
[00:17:43.000 --> 00:17:45.000]  进空阳
[00:17:45.000 --> 00:17:47.000]  就是我们的
[00:17:47.000 --> 00:17:49.000]  买点确认
[00:17:49.000 --> 00:17:51.000]  买点出现
[00:17:51.000 --> 00:17:53.000]  买点确认买点出现
[00:17:53.000 --> 00:17:55.000]  这个很重要
[00:17:55.000 --> 00:18:01.000]  核心价值价量平衡
[00:18:01.000 --> 00:18:03.000]  这个理解就好了
[00:18:03.000 --> 00:18:05.000]  那我们再来看作业
[00:18:05.000 --> 00:18:07.000]  今天这个点 给大家把买点讲细点
[00:18:07.000 --> 00:18:09.000]  明天再讲
[00:18:09.000 --> 00:18:11.000]  明天再讲吧
[00:18:11.000 --> 00:18:13.000]  一次讲完
[00:18:13.000 --> 00:18:15.000]  一次讲完
[00:18:15.000 --> 00:18:17.000]  我怕你们那个会
[00:18:17.000 --> 00:18:19.000]  会什么 吸收不好
[00:18:19.000 --> 00:18:21.000]  早上精神比较好
[00:18:21.000 --> 00:18:25.000]  讲哈 讲完明天再加强
[00:18:25.000 --> 00:18:27.000]  加强好不好
[00:18:27.000 --> 00:18:29.000]  哎呀 舍不得讲啊
[00:18:29.000 --> 00:18:31.000]  好好讲吧
[00:18:31.000 --> 00:18:35.000]  我们用个图来讲
[00:18:35.000 --> 00:18:37.000]  好不好
[00:18:39.000 --> 00:18:41.000]  好 我们来看
[00:18:41.000 --> 00:18:43.000]  这里啊
[00:18:43.000 --> 00:18:45.000]  随便拿的图都是一样的
[00:18:45.000 --> 00:18:47.000]  这是不是
[00:18:47.000 --> 00:18:49.000]  这就是转空 对不对
[00:18:49.000 --> 00:18:51.000]  换一个
[00:18:51.000 --> 00:18:53.000]  这个是怀抱的
[00:18:53.000 --> 00:18:55.000]  也其实一样的
[00:18:55.000 --> 00:18:57.000]  来讲这一点
[00:18:57.000 --> 00:18:59.000]  我们来看看这就是转空
[00:18:59.000 --> 00:19:01.000]  这个就是怀抱
[00:19:01.000 --> 00:19:03.000]  怀抱直接启动是好的
[00:19:03.000 --> 00:19:05.000]  怀抱它对谁
[00:19:05.000 --> 00:19:07.000]  去进行进攻
[00:19:07.000 --> 00:19:09.000]  找到它的标指
[00:19:09.000 --> 00:19:11.000]  买点最重要的是某定
[00:19:11.000 --> 00:19:13.000]  它对谁
[00:19:13.000 --> 00:19:15.000]  发起进攻
[00:19:15.000 --> 00:19:17.000]  大家明白我意思没有
[00:19:17.000 --> 00:19:19.000]  那么我们来看一下这个阳线对应的
[00:19:19.000 --> 00:19:21.000]  是不是这两根阴线
[00:19:21.000 --> 00:19:23.000]  因为这就是平顿吧 对不对
[00:19:23.000 --> 00:19:25.000]  是不是对应这两根阴线组合
[00:19:25.000 --> 00:19:27.000]  在一起发起的进攻
[00:19:27.000 --> 00:19:29.000]  那OK 我们以
[00:19:29.000 --> 00:19:31.000]  这个阳线它是不是某定的是
[00:19:31.000 --> 00:19:33.000]  这两根阴线呢
[00:19:33.000 --> 00:19:35.000]  那我们接下来买怎么买呢
[00:19:35.000 --> 00:19:37.000]  给大家画个线
[00:19:37.000 --> 00:19:43.000]  这个画线跟这个
[00:19:43.000 --> 00:19:45.000]  讲完就是一句话
[00:19:45.000 --> 00:19:47.000]  好
[00:19:47.000 --> 00:19:49.000]  好
[00:19:49.000 --> 00:19:51.000]  好
[00:19:51.000 --> 00:19:53.000]  好
[00:19:53.000 --> 00:19:55.000]  好
[00:19:57.000 --> 00:19:59.000]  好
[00:19:59.000 --> 00:20:01.000]  好
[00:20:01.000 --> 00:20:03.000]  好
[00:20:03.000 --> 00:20:05.000]  好
[00:20:05.000 --> 00:20:07.000]  好
[00:20:07.000 --> 00:20:09.000]  好
[00:20:09.000 --> 00:20:11.000]  好
[00:20:11.000 --> 00:20:13.000]  好
[00:20:13.000 --> 00:20:15.000]  好
[00:20:15.000 --> 00:20:17.000]  好
[00:20:17.000 --> 00:20:19.000]  好
[00:20:19.000 --> 00:20:21.000]  好
[00:20:21.000 --> 00:20:23.000]  好
[00:20:23.000 --> 00:20:25.000]  好
[00:20:25.000 --> 00:20:27.000]  好
[00:20:27.000 --> 00:20:29.000]  好
[00:20:29.000 --> 00:20:31.000]  好
[00:20:31.000 --> 00:20:33.000]  好
[00:20:33.000 --> 00:20:35.000]  好
[00:20:35.000 --> 00:20:37.000]  好
[00:20:37.000 --> 00:20:39.000]  好
[00:20:39.000 --> 00:20:41.000]  好
[00:20:41.000 --> 00:20:43.000]  好
[00:20:43.000 --> 00:20:45.000]  好
[00:20:45.000 --> 00:20:47.000]  好
[00:20:47.000 --> 00:20:49.000]  好
[00:20:49.000 --> 00:20:51.000]  好
[00:20:51.000 --> 00:20:53.000]  好
[00:20:53.000 --> 00:20:55.000]  好
[00:20:55.000 --> 00:20:57.000]  好
[00:20:57.000 --> 00:20:59.000]  好
[00:20:59.000 --> 00:21:01.000]  好
[00:21:01.000 --> 00:21:03.000]  好
[00:21:03.000 --> 00:21:05.000]  好
[00:21:05.000 --> 00:21:07.000]  好
[00:21:07.000 --> 00:21:09.000]  好
[00:21:09.000 --> 00:21:11.000]  好
[00:21:11.000 --> 00:21:13.000]  好
[00:21:13.000 --> 00:21:15.000]  好
[00:21:15.000 --> 00:21:17.000]  好
[00:21:17.000 --> 00:21:19.000]  好
[00:21:19.000 --> 00:21:21.000]  好
[00:21:21.000 --> 00:21:23.000]  好
[00:21:23.000 --> 00:21:25.000]  好
[00:21:25.000 --> 00:21:27.000]  好
[00:21:27.000 --> 00:21:29.000]  好
[00:21:29.000 --> 00:21:31.000]  好
[00:21:31.000 --> 00:21:33.000]  好
[00:21:33.000 --> 00:21:35.000]  好
[00:21:35.000 --> 00:21:37.000]  好
[00:21:37.000 --> 00:21:39.000]  好
[00:21:39.000 --> 00:21:41.000]  好
[00:21:41.000 --> 00:21:43.000]  好
[00:21:43.000 --> 00:21:45.000]  好
[00:21:45.000 --> 00:21:47.000]  好
[00:21:47.000 --> 00:21:49.000]  好
[00:21:49.000 --> 00:21:51.000]  好
[00:21:51.000 --> 00:21:53.000]  好
[00:21:53.000 --> 00:21:55.000]  好
[00:21:55.000 --> 00:21:57.000]  好
[00:21:57.000 --> 00:21:59.000]  好
[00:21:59.000 --> 00:22:01.000]  好
[00:22:01.000 --> 00:22:03.000]  好
[00:22:03.000 --> 00:22:05.000]  好
[00:22:05.000 --> 00:22:07.000]  好
[00:22:07.000 --> 00:22:09.000]  好
[00:22:09.000 --> 00:22:11.000]  好
[00:22:11.000 --> 00:22:13.000]  好
[00:22:13.000 --> 00:22:15.000]  好
[00:22:15.000 --> 00:22:17.000]  好
[00:22:17.000 --> 00:22:19.000]  好
[00:22:19.000 --> 00:22:21.000]  好
[00:22:21.000 --> 00:22:23.000]  好
[00:22:23.000 --> 00:22:25.000]  好
[00:22:25.000 --> 00:22:27.000]  好
[00:22:27.000 --> 00:22:29.000]  好
[00:22:29.000 --> 00:22:31.000]  好
[00:22:31.000 --> 00:22:33.000]  好
[00:22:33.000 --> 00:22:35.000]  好
[00:22:35.000 --> 00:22:37.000]  好
[00:22:37.000 --> 00:22:39.000]  好
[00:22:39.000 --> 00:22:41.000]  好
[00:22:41.000 --> 00:22:43.000]  好
[00:22:43.000 --> 00:22:45.000]  好
[00:22:45.000 --> 00:22:47.000]  好
[00:22:47.000 --> 00:22:49.000]  好
[00:22:49.000 --> 00:22:51.000]  好
[00:22:51.000 --> 00:22:53.000]  好
[00:22:53.000 --> 00:22:55.000]  好
[00:22:55.000 --> 00:22:57.000]  好
[00:22:57.000 --> 00:22:59.000]  好
[00:22:59.000 --> 00:23:01.000]  好
[00:23:01.000 --> 00:23:03.000]  好
[00:23:03.000 --> 00:23:05.000]  好
[00:23:05.000 --> 00:23:07.000]  好
[00:23:07.000 --> 00:23:09.000]  好
[00:23:09.000 --> 00:23:11.000]  好
[00:23:11.000 --> 00:23:13.000]  好
[00:23:13.000 --> 00:23:15.000]  好
[00:23:15.000 --> 00:23:17.000]  好
[00:23:17.000 --> 00:23:19.000]  好
[00:23:19.000 --> 00:23:21.000]  好
[00:23:21.000 --> 00:23:23.000]  好
[00:23:23.000 --> 00:23:25.000]  好
[00:23:25.000 --> 00:23:27.000]  好
[00:23:27.000 --> 00:23:29.000]  好
[00:23:29.000 --> 00:23:31.000]  好
[00:23:31.000 --> 00:23:33.000]  好
[00:23:33.000 --> 00:23:35.000]  好
[00:23:35.000 --> 00:23:37.000]  好
[00:23:37.000 --> 00:23:39.000]  好
[00:23:39.000 --> 00:23:41.000]  好
[00:23:41.000 --> 00:23:43.000]  好
[00:23:43.000 --> 00:23:45.000]  好
[00:23:45.000 --> 00:23:47.000]  好
[00:23:47.000 --> 00:23:49.000]  好
[00:23:49.000 --> 00:23:51.000]  好
[00:23:51.000 --> 00:23:53.000]  好
[00:23:53.000 --> 00:23:55.000]  好
[00:23:55.000 --> 00:23:57.000]  好
[00:23:57.000 --> 00:23:59.000]  好
[00:23:59.000 --> 00:24:01.000]  好
[00:24:01.000 --> 00:24:03.000]  好
[00:24:03.000 --> 00:24:05.000]  好
[00:24:05.000 --> 00:24:07.000]  好
[00:24:07.000 --> 00:24:09.000]  好
[00:24:09.000 --> 00:24:11.000]  好
[00:24:11.000 --> 00:24:13.000]  好
[00:24:13.000 --> 00:24:15.000]  好
[00:24:15.000 --> 00:24:17.000]  好
[00:24:17.000 --> 00:24:19.000]  好
[00:24:19.000 --> 00:24:21.000]  好
[00:24:21.000 --> 00:24:23.000]  好
[00:24:23.000 --> 00:24:25.000]  好
[00:24:25.000 --> 00:24:27.000]  好
[00:24:27.000 --> 00:24:29.000]  好
[00:24:29.000 --> 00:24:31.000]  好
[00:24:31.000 --> 00:24:33.000]  好
[00:24:33.000 --> 00:24:35.000]  好
[00:24:35.000 --> 00:24:37.000]  好
[00:24:37.000 --> 00:24:39.000]  好
[00:24:39.000 --> 00:24:41.000]  好
[00:24:41.000 --> 00:24:43.000]  好
[00:24:43.000 --> 00:24:45.000]  好
[00:24:45.000 --> 00:24:47.000]  好
[00:24:47.000 --> 00:24:49.000]  好
[00:24:49.000 --> 00:24:51.000]  好
[00:24:51.000 --> 00:24:53.000]  好
[00:24:53.000 --> 00:24:55.000]  好
[00:24:55.000 --> 00:24:57.000]  好
[00:24:57.000 --> 00:24:59.000]  好
[00:24:59.000 --> 00:25:01.000]  好
[00:25:01.000 --> 00:25:03.000]  好
[00:25:03.000 --> 00:25:05.000]  好
[00:25:05.000 --> 00:25:07.000]  好
[00:25:07.000 --> 00:25:09.000]  好
[00:25:09.000 --> 00:25:11.000]  好
[00:25:11.000 --> 00:25:13.000]  好
[00:25:13.000 --> 00:25:15.000]  好
[00:25:15.000 --> 00:25:17.000]  好
[00:25:17.000 --> 00:25:19.000]  好
[00:25:19.000 --> 00:25:21.000]  好
[00:25:21.000 --> 00:25:23.000]  好
[00:25:23.000 --> 00:25:25.000]  好
[00:25:25.000 --> 00:25:27.000]  好
[00:25:27.000 --> 00:25:29.000]  好
[00:25:29.000 --> 00:25:31.000]  好
[00:25:31.000 --> 00:25:33.000]  好
[00:25:33.000 --> 00:25:35.000]  好
[00:25:35.000 --> 00:25:37.000]  好
[00:25:37.000 --> 00:25:39.000]  好
[00:25:39.000 --> 00:25:41.000]  好
[00:25:41.000 --> 00:25:43.000]  好
[00:25:43.000 --> 00:25:45.000]  好
[00:25:45.000 --> 00:25:47.000]  好
[00:25:47.000 --> 00:25:49.000]  好
[00:25:49.000 --> 00:25:51.000]  好
[00:25:51.000 --> 00:25:53.000]  好
[00:25:53.000 --> 00:25:55.000]  好
[00:25:55.000 --> 00:25:57.000]  好
[00:25:57.000 --> 00:25:59.000]  好
[00:25:59.000 --> 00:26:01.000]  好
[00:26:01.000 --> 00:26:03.000]  好
[00:26:03.000 --> 00:26:05.000]  好
[00:26:05.000 --> 00:26:07.000]  好
[00:26:07.000 --> 00:26:09.000]  好
[00:26:09.000 --> 00:26:11.000]  好
[00:26:11.000 --> 00:26:13.000]  好
[00:26:13.000 --> 00:26:15.000]  好
[00:26:15.000 --> 00:26:17.000]  好
[00:26:17.000 --> 00:26:19.000]  好
[00:26:19.000 --> 00:26:21.000]  好
[00:26:21.000 --> 00:26:23.000]  好
[00:26:23.000 --> 00:26:25.000]  好
[00:26:25.000 --> 00:26:27.000]  好
[00:26:27.000 --> 00:26:29.000]  好
[00:26:29.000 --> 00:26:31.000]  好
[00:26:31.000 --> 00:26:33.000]  好
[00:26:33.000 --> 00:26:35.000]  好
[00:26:35.000 --> 00:26:37.000]  好
[00:26:37.000 --> 00:26:39.000]  好
[00:26:39.000 --> 00:26:41.000]  好
[00:26:41.000 --> 00:26:43.000]  好
[00:26:43.000 --> 00:26:45.000]  好
[00:26:45.000 --> 00:26:47.000]  好
[00:26:47.000 --> 00:26:49.000]  好
[00:26:49.000 --> 00:26:51.000]  好
[00:26:51.000 --> 00:26:53.000]  好
[00:26:53.000 --> 00:26:55.000]  好
[00:26:55.000 --> 00:26:57.000]  好
[00:26:57.000 --> 00:26:59.000]  好
[00:26:59.000 --> 00:27:01.000]  好
[00:27:01.000 --> 00:27:03.000]  好
[00:27:03.000 --> 00:27:05.000]  好
[00:27:05.000 --> 00:27:07.000]  好
[00:27:07.000 --> 00:27:09.000]  好
[00:27:09.000 --> 00:27:11.000]  好
[00:27:11.000 --> 00:27:13.000]  好
[00:27:13.000 --> 00:27:15.000]  好
[00:27:15.000 --> 00:27:17.000]  好
[00:27:17.000 --> 00:27:19.000]  好
[00:27:19.000 --> 00:27:21.000]  好
[00:27:21.000 --> 00:27:23.000]  好
[00:27:23.000 --> 00:27:25.000]  好
[00:27:25.000 --> 00:27:27.000]  好
[00:27:27.000 --> 00:27:29.000]  好
[00:27:29.000 --> 00:27:31.000]  好
[00:27:31.000 --> 00:27:33.000]  好
[00:27:33.000 --> 00:27:35.000]  好
[00:27:35.000 --> 00:27:37.000]  好
[00:27:37.000 --> 00:27:39.000]  好
[00:27:39.000 --> 00:27:41.000]  好
[00:27:41.000 --> 00:27:43.000]  好
[00:27:43.000 --> 00:27:45.000]  好
[00:27:45.000 --> 00:27:47.000]  好
[00:27:47.000 --> 00:27:49.000]  好
[00:27:49.000 --> 00:27:51.000]  好
[00:27:51.000 --> 00:27:53.000]  好
[00:27:53.000 --> 00:27:55.000]  好
[00:27:55.000 --> 00:27:57.000]  好
[00:27:57.000 --> 00:27:59.000]  好
[00:27:59.000 --> 00:28:01.000]  好
[00:28:01.000 --> 00:28:03.000]  好
[00:28:03.000 --> 00:28:05.000]  好
[00:28:05.000 --> 00:28:07.000]  好
[00:28:07.000 --> 00:28:09.000]  好
[00:28:09.000 --> 00:28:11.000]  好
[00:28:11.000 --> 00:28:13.000]  好
[00:28:13.000 --> 00:28:15.000]  好
[00:28:15.000 --> 00:28:17.000]  好
[00:28:17.000 --> 00:28:19.000]  好
[00:28:19.000 --> 00:28:21.000]  好
[00:28:21.000 --> 00:28:23.000]  好
[00:28:23.000 --> 00:28:25.000]  好
[00:28:25.000 --> 00:28:27.000]  好
[00:28:27.000 --> 00:28:29.000]  好
[00:28:29.000 --> 00:28:31.000]  好
[00:28:31.000 --> 00:28:33.000]  好
[00:28:33.000 --> 00:28:35.000]  好
[00:28:35.000 --> 00:28:37.000]  好
[00:28:37.000 --> 00:28:39.000]  好
[00:28:39.000 --> 00:28:41.000]  好
[00:28:41.000 --> 00:28:43.000]  好
[00:28:43.000 --> 00:28:45.000]  好
[00:28:45.000 --> 00:28:47.000]  好
[00:28:47.000 --> 00:28:49.000]  好
[00:28:49.000 --> 00:28:51.000]  好
[00:28:51.000 --> 00:28:53.000]  好
[00:28:53.000 --> 00:28:55.000]  好
[00:28:55.000 --> 00:28:57.000]  好
[00:28:57.000 --> 00:28:59.000]  好
[00:28:59.000 --> 00:29:01.000]  好
[00:29:01.000 --> 00:29:03.000]  好
[00:29:03.000 --> 00:29:05.000]  好
[00:29:05.000 --> 00:29:07.000]  好
[00:29:07.000 --> 00:29:09.000]  好
[00:29:09.000 --> 00:29:11.000]  好
[00:29:11.000 --> 00:29:13.000]  好
[00:29:13.000 --> 00:29:15.000]  好
[00:29:15.000 --> 00:29:17.000]  好
[00:29:17.000 --> 00:29:19.000]  好
[00:29:19.000 --> 00:29:21.000]  好
[00:29:21.000 --> 00:29:23.000]  好
[00:29:23.000 --> 00:29:25.000]  好
[00:29:25.000 --> 00:29:27.000]  好
[00:29:27.000 --> 00:29:29.000]  好
[00:29:29.000 --> 00:29:31.000]  好
[00:29:31.000 --> 00:29:33.000]  好
[00:29:33.000 --> 00:29:35.000]  好
[00:29:35.000 --> 00:29:37.000]  好
[00:29:37.000 --> 00:29:39.000]  好
[00:29:39.000 --> 00:29:41.000]  好
[00:29:41.000 --> 00:29:43.000]  好
[00:29:43.000 --> 00:29:45.000]  好
[00:29:45.000 --> 00:29:47.000]  好
[00:29:47.000 --> 00:29:49.000]  好
[00:29:49.000 --> 00:29:51.000]  好
[00:29:51.000 --> 00:29:53.000]  好
[00:29:53.000 --> 00:29:55.000]  好
[00:29:55.000 --> 00:29:57.000]  好
[00:29:57.000 --> 00:29:59.000]  好
[00:29:59.000 --> 00:30:01.000]  好
[00:30:01.000 --> 00:30:03.000]  好
[00:30:03.000 --> 00:30:05.000]  好
[00:30:05.000 --> 00:30:07.000]  好
[00:30:07.000 --> 00:30:09.000]  好
[00:30:09.000 --> 00:30:11.000]  好
[00:30:11.000 --> 00:30:13.000]  好
[00:30:13.000 --> 00:30:15.000]  好
[00:30:15.000 --> 00:30:17.000]  好
[00:30:17.000 --> 00:30:19.000]  好
[00:30:19.000 --> 00:30:21.000]  好
[00:30:21.000 --> 00:30:23.000]  好
[00:30:23.000 --> 00:30:25.000]  好
[00:30:25.000 --> 00:30:27.000]  好
[00:30:27.000 --> 00:30:29.000]  好
[00:30:29.000 --> 00:30:31.000]  好
[00:30:31.000 --> 00:30:33.000]  好
[00:30:33.000 --> 00:30:35.000]  好
[00:30:35.000 --> 00:30:37.000]  好
[00:30:37.000 --> 00:30:39.000]  好
[00:30:39.000 --> 00:30:41.000]  好
[00:30:41.000 --> 00:30:43.000]  好
[00:30:43.000 --> 00:30:45.000]  好
[00:30:45.000 --> 00:30:47.000]  好
[00:30:47.000 --> 00:30:49.000]  好
[00:30:49.000 --> 00:30:51.000]  好
[00:30:51.000 --> 00:30:53.000]  好
[00:30:53.000 --> 00:30:55.000]  好
[00:30:55.000 --> 00:30:57.000]  好
[00:30:57.000 --> 00:30:59.000]  好
[00:30:59.000 --> 00:31:01.000]  好
[00:31:01.000 --> 00:31:03.000]  好
[00:31:03.000 --> 00:31:05.000]  好
[00:31:05.000 --> 00:31:07.000]  好
[00:31:07.000 --> 00:31:09.000]  好
[00:31:09.000 --> 00:31:11.000]  好
[00:31:11.000 --> 00:31:13.000]  好
[00:31:13.000 --> 00:31:15.000]  好
[00:31:15.000 --> 00:31:17.000]  好
[00:31:17.000 --> 00:31:19.000]  好
[00:31:19.000 --> 00:31:21.000]  好
[00:31:21.000 --> 00:31:23.000]  好
[00:31:23.000 --> 00:31:25.000]  好
[00:31:25.000 --> 00:31:27.000]  好
[00:31:27.000 --> 00:31:29.000]  好
[00:31:29.000 --> 00:31:31.000]  好
[00:31:31.000 --> 00:31:33.000]  好
[00:31:33.000 --> 00:31:35.000]  好
[00:31:35.000 --> 00:31:37.000]  好
[00:31:37.000 --> 00:31:39.000]  好
[00:31:39.000 --> 00:31:41.000]  好
[00:31:41.000 --> 00:31:43.000]  好
[00:31:43.000 --> 00:31:45.000]  好
[00:31:45.000 --> 00:31:47.000]  好
[00:31:47.000 --> 00:31:49.000]  好
[00:31:49.000 --> 00:31:51.000]  好
[00:31:51.000 --> 00:31:53.000]  好
[00:31:53.000 --> 00:31:55.000]  好
[00:31:55.000 --> 00:31:57.000]  好
[00:31:57.000 --> 00:31:59.000]  好
[00:31:59.000 --> 00:32:01.000]  好
[00:32:01.000 --> 00:32:03.000]  好
[00:32:03.000 --> 00:32:05.000]  好
[00:32:05.000 --> 00:32:07.000]  好
[00:32:07.000 --> 00:32:09.000]  好
[00:32:09.000 --> 00:32:11.000]  好
[00:32:11.000 --> 00:32:13.000]  好
[00:32:13.000 --> 00:32:15.000]  好
[00:32:15.000 --> 00:32:17.000]  好
[00:32:17.000 --> 00:32:19.000]  好
[00:32:19.000 --> 00:32:21.000]  好
[00:32:21.000 --> 00:32:23.000]  好
[00:32:23.000 --> 00:32:25.000]  好
[00:32:25.000 --> 00:32:27.000]  好
[00:32:27.000 --> 00:32:29.000]  好
[00:32:29.000 --> 00:32:31.000]  好
[00:32:31.000 --> 00:32:33.000]  好
[00:32:33.000 --> 00:32:35.000]  好
[00:32:35.000 --> 00:32:37.000]  好
[00:32:37.000 --> 00:32:39.000]  好
[00:32:39.000 --> 00:32:41.000]  好
[00:32:41.000 --> 00:32:43.000]  好
[00:32:43.000 --> 00:32:45.000]  好
[00:32:45.000 --> 00:32:47.000]  好
[00:32:47.000 --> 00:32:49.000]  好
[00:32:49.000 --> 00:32:51.000]  好
[00:32:51.000 --> 00:32:53.000]  好
[00:32:53.000 --> 00:32:55.000]  好
[00:32:55.000 --> 00:32:57.000]  好
[00:32:57.000 --> 00:32:59.000]  好
[00:32:59.000 --> 00:33:01.000]  好
[00:33:01.000 --> 00:33:03.000]  好
[00:33:03.000 --> 00:33:05.000]  好
[00:33:05.000 --> 00:33:07.000]  好
[00:33:07.000 --> 00:33:09.000]  好
[00:33:09.000 --> 00:33:11.000]  好
[00:33:11.000 --> 00:33:13.000]  好
[00:33:13.000 --> 00:33:15.000]  好
[00:33:15.000 --> 00:33:17.000]  好
[00:33:17.000 --> 00:33:19.000]  好
[00:33:19.000 --> 00:33:21.000]  好
[00:33:21.000 --> 00:33:23.000]  好
[00:33:23.000 --> 00:33:25.000]  好
[00:33:25.000 --> 00:33:27.000]  好
[00:33:27.000 --> 00:33:29.000]  好
[00:33:29.000 --> 00:33:31.000]  好
[00:33:31.000 --> 00:33:33.000]  好
[00:33:33.000 --> 00:33:35.000]  好
[00:33:35.000 --> 00:33:37.000]  好
[00:33:37.000 --> 00:33:39.000]  好
[00:33:39.000 --> 00:33:41.000]  好
[00:33:41.000 --> 00:33:43.000]  好
[00:33:43.000 --> 00:33:45.000]  好
[00:33:45.000 --> 00:33:47.000]  好
[00:33:47.000 --> 00:33:49.000]  好
[00:33:49.000 --> 00:33:51.000]  好
[00:33:51.000 --> 00:33:53.000]  好
[00:33:53.000 --> 00:33:55.000]  好
[00:33:55.000 --> 00:33:57.000]  好
[00:33:57.000 --> 00:33:59.000]  好
[00:33:59.000 --> 00:34:01.000]  好
[00:34:01.000 --> 00:34:03.000]  好
[00:34:03.000 --> 00:34:05.000]  好
[00:34:05.000 --> 00:34:07.000]  好
[00:34:07.000 --> 00:34:09.000]  好
[00:34:09.000 --> 00:34:11.000]  好
[00:34:11.000 --> 00:34:13.000]  好
[00:34:13.000 --> 00:34:15.000]  好
[00:34:15.000 --> 00:34:17.000]  好
[00:34:17.000 --> 00:34:19.000]  好
[00:34:19.000 --> 00:34:21.000]  好
[00:34:21.000 --> 00:34:23.000]  好
[00:34:23.000 --> 00:34:25.000]  好
[00:34:25.000 --> 00:34:27.000]  好
[00:34:27.000 --> 00:34:29.000]  好
[00:34:29.000 --> 00:34:31.000]  好
[00:34:31.000 --> 00:34:33.000]  好
[00:34:33.000 --> 00:34:35.000]  好
[00:34:35.000 --> 00:34:37.000]  好
[00:34:37.000 --> 00:34:39.000]  好
[00:34:39.000 --> 00:34:41.000]  好
[00:34:41.000 --> 00:34:43.000]  好
[00:34:43.000 --> 00:34:45.000]  好
