[00:00:00.000 --> 00:00:22.800]  (拍攝中)
[00:17:07.200 --> 00:17:10.900]  這是一個最主要的一個評判的標準
[00:17:10.900 --> 00:17:12.600]  然後第二個品牌表格就是
[00:17:12.600 --> 00:17:14.900]  一個成熟產業店出現創新
[00:17:14.900 --> 00:17:17.400]  也可以說出現產業升級那種情況
[00:17:17.400 --> 00:17:19.200]  比如說我一開始做一個
[00:17:19.200 --> 00:17:22.000]  很初階的這種面板
[00:17:22.000 --> 00:17:23.000]  然後結果呢
[00:17:23.000 --> 00:17:25.800]  然後我把這種面板再進行再升級
[00:17:25.800 --> 00:17:29.000]  然後被市場認可
[00:17:29.000 --> 00:17:30.000]  其實也是可以
[00:17:30.000 --> 00:17:31.800]  這也是在成熟產業當中
[00:17:31.800 --> 00:17:33.500]  進行再創新
[00:17:33.500 --> 00:17:35.100]  這是另外一塊
[00:17:35.100 --> 00:17:36.900]  然後在這兩塊當中
[00:17:36.900 --> 00:17:38.100]  最好是選擇一種
[00:17:38.100 --> 00:17:39.900]  市場空間稍微大一點
[00:17:39.900 --> 00:17:42.500]  就在從全球的情況下來講
[00:17:42.500 --> 00:17:45.600]  最好是500億
[00:17:45.600 --> 00:17:46.900]  有點比往上走
[00:17:46.900 --> 00:17:48.700]  從市場上的空間來講
[00:17:48.700 --> 00:17:51.300]  因為它其實也是給到我們一個
[00:17:51.300 --> 00:17:52.600]  趨勢性的廣仗
[00:17:52.600 --> 00:17:53.700]  而不是說就是說
[00:17:53.700 --> 00:17:56.600]  我一個產品可能賣到中國
[00:17:56.600 --> 00:18:00.400]  比如說賣了兩三二十億三十億
[00:18:00.400 --> 00:18:01.400]  然後上面就沒有了
[00:18:01.400 --> 00:18:02.500]  上面就沒有空間了
[00:18:02.500 --> 00:18:04.800]  可能在一些自然的一些
[00:18:06.500 --> 00:18:08.000]  跟風或者是波動當中
[00:18:08.000 --> 00:18:09.800]  就直接把這個股價給提前
[00:18:09.800 --> 00:18:11.600]  給提前炒掉了
[00:18:11.600 --> 00:18:13.800]  等等你再去抄
[00:18:13.800 --> 00:18:16.100]  你再去看它的市場空間的時候就
[00:18:16.100 --> 00:18:17.600]  就已經沒有意義了
[00:18:17.600 --> 00:18:19.400]  這是第一條
[00:18:19.400 --> 00:18:21.800]  第二條公司自身能力在過去的
[00:18:21.800 --> 00:18:23.700]  三到五年不呈現上升趨勢
[00:18:23.700 --> 00:18:26.700]  我感覺這一段是我最近發現的一個
[00:18:26.700 --> 00:18:28.700]  比較重要的一個點就是說
[00:18:28.700 --> 00:18:31.600]  如果說我在過去的
[00:18:31.600 --> 00:18:33.900]  三到五年呈現出上升趨勢的話
[00:18:33.900 --> 00:18:35.000]  如果再配合
[00:18:35.200 --> 00:18:38.100]  剛剛前面講的一個金融
[00:18:38.100 --> 00:18:42.100]  一個金融資產定價的扭轉的話
[00:18:42.100 --> 00:18:45.100]  它會提前透支掉未來幾乎所有的
[00:18:45.100 --> 00:18:47.100]  股價可能的表現
[00:18:47.100 --> 00:18:49.400]  也就是說它可以幾乎透支掉
[00:18:49.400 --> 00:18:52.500]  未來公司的所有的內在價值
[00:18:52.500 --> 00:18:57.400]  然後第三條條件就是在未來三到五年
[00:18:57.400 --> 00:18:59.600]  呈現出一種上升趨勢
[00:18:59.600 --> 00:19:03.900]  這一條和這條公司用來
[00:19:04.700 --> 00:19:08.000]  保障我可以操作的或者說我的安全墊
[00:19:08.000 --> 00:19:10.900]  相對來說更加的厚一點
[00:19:10.900 --> 00:19:12.400]  而不至於說
[00:19:12.400 --> 00:19:14.400]  而不至於說我這個錢投進去之後
[00:19:14.400 --> 00:19:15.900]  可能再過了幾個月
[00:19:15.900 --> 00:19:17.700]  或者說過了一年左右
[00:19:17.700 --> 00:19:19.100]  這個安全墊就沒有了
[00:19:19.100 --> 00:19:20.700]  我就得重新去選擇
[00:19:20.700 --> 00:19:24.800]  要為大部分人加你的研究成本
[00:19:24.800 --> 00:19:26.400]  你就和你的實際成本
[00:19:26.400 --> 00:19:30.100]  而這種起勢的上升趨勢的改變
[00:19:30.100 --> 00:19:31.400]  更多在圖形上來說
[00:19:31.400 --> 00:19:32.900]  可以呈現出月性的動作
[00:19:33.600 --> 00:19:34.800]  可以參考月性的流轉
[00:19:34.800 --> 00:19:36.600]  基本上是這樣
[00:19:36.600 --> 00:19:38.200]  可以參考月性的流轉
[00:19:38.200 --> 00:19:41.900]  然後第三層防火牆是對於
[00:19:41.900 --> 00:19:44.300]  他公司自身的一個問題
[00:19:44.300 --> 00:19:45.800]  一個好的商業模式
[00:19:45.800 --> 00:19:48.300]  對於他的營利能力是一個
[00:19:48.300 --> 00:19:50.600]  非常非常重要的前提
[00:19:50.600 --> 00:19:52.900]  然後第一條公司在上下游租
[00:19:52.900 --> 00:19:54.800]  就叫小朋友溢價能力
[00:19:54.800 --> 00:19:57.200]  這這一點是我其實最近
[00:19:57.200 --> 00:19:59.400]  一直所要堅持的一個問題
[00:19:59.400 --> 00:20:02.600]  這一點我可以跟大家展開的數據
[00:20:02.900 --> 00:20:06.300]  所以說我對於比如說
[00:20:06.300 --> 00:20:15.700]  比如說我把一個產業鏈分成
[00:20:15.700 --> 00:20:18.000]  上游中游和下游
[00:20:18.000 --> 00:20:21.000]  如果說我的上游是
[00:20:21.000 --> 00:20:23.100]  又有較強溢價能力的情況下
[00:20:23.100 --> 00:20:27.600]  那麼中游對於我上游的訂單的
[00:20:27.600 --> 00:20:29.500]  體量是不是應該要聽我的
[00:20:30.800 --> 00:20:33.400]  因為我是交代的時候是不一無二的
[00:20:33.400 --> 00:20:37.500]  也就是說我在選擇公司的時候
[00:20:37.500 --> 00:20:39.100]  只有他一家可以選擇
[00:20:39.100 --> 00:20:40.700]  而對於我而言
[00:20:40.700 --> 00:20:42.300]  對於這個上游而言
[00:20:42.300 --> 00:20:43.900]  我有好幾家公司可以選擇
[00:20:43.900 --> 00:20:45.000]  如果說下游是
[00:20:45.000 --> 00:20:47.200]  中游是成一種分散的情況的話
[00:20:47.200 --> 00:20:48.900]  我有好幾家公司可以選擇
[00:20:48.900 --> 00:20:51.400]  所以說在雙方雙向進行
[00:20:51.400 --> 00:20:56.000]  在進行牽合作來的
[00:20:56.000 --> 00:20:57.200]  就是在牽合不能過過的
[00:20:57.200 --> 00:20:58.600]  可能他的溢價能力更強
[00:20:58.600 --> 00:21:00.100]  從而體現就是說
[00:21:00.100 --> 00:21:02.000]  我的營業收入
[00:21:02.000 --> 00:21:13.400]  不受控吧
[00:21:13.400 --> 00:21:14.800]  應該是可以這樣子
[00:21:14.800 --> 00:21:21.000]  對於上游
[00:21:21.000 --> 00:21:22.200]  我的營業收入的上游
[00:21:22.200 --> 00:21:23.800]  會更加不容易受到控制
[00:21:23.800 --> 00:21:25.000]  而對於中游而言
[00:21:25.000 --> 00:21:29.500]  比如說我跟他簽了一個的訂單
[00:21:29.500 --> 00:21:30.600]  我可能在短期內
[00:21:30.600 --> 00:21:31.900]  我可以拿到那個時候過
[00:21:31.900 --> 00:21:33.800]  但是他在付款的中期到時候
[00:21:33.800 --> 00:21:35.700]  是可以有很強的壓價能力
[00:21:35.700 --> 00:21:37.500]  或者是付款週期的
[00:21:37.500 --> 00:21:40.200]  比如說我跟他簽了一個億的訂單量
[00:21:40.200 --> 00:21:42.300]  結果他在初期的時候
[00:21:42.300 --> 00:21:44.500]  我可以願意支給你兩千萬
[00:21:44.500 --> 00:21:47.000]  然後在
[00:21:47.000 --> 00:21:50.000]  在遞交材料的中期
[00:21:50.000 --> 00:21:50.800]  我再給你
[00:21:50.800 --> 00:21:52.700]  我再給你三千萬
[00:21:52.700 --> 00:21:53.800]  然後最後的五千萬
[00:21:53.800 --> 00:21:56.200]  我給你花到最後的應收帳號上
[00:21:56.200 --> 00:21:58.800]  我這個錢我可給你
[00:21:58.800 --> 00:22:00.200]  我也可以往後拖
[00:22:00.200 --> 00:22:01.200]  我也可以不給你
[00:22:01.200 --> 00:22:02.000]  也就是說實際
[00:22:02.000 --> 00:22:02.700]  那麼就實際上
[00:22:02.700 --> 00:22:04.000]  對於中游企業而言
[00:22:04.000 --> 00:22:06.100]  表面上看起來我簽了一個訂單
[00:22:06.100 --> 00:22:08.300]  結果實際到場可能就五千萬
[00:22:08.300 --> 00:22:11.800]  對於他的營業收入的上限的彈性而言
[00:22:11.800 --> 00:22:14.100]  是會大致的受到制約的
[00:22:14.100 --> 00:22:16.600]  所以說在這一條的產業內的過程當中
[00:22:16.600 --> 00:22:18.600]  我優先選他而不是選他
[00:22:18.600 --> 00:22:20.600]  這點大家可以
[00:22:20.600 --> 00:22:23.000]  可以相對可以理解吧
[00:22:23.000 --> 00:22:26.700]  比如說像這樣的公司化主力
[00:22:26.700 --> 00:22:29.800]  可以暫時好像
[00:22:29.800 --> 00:22:32.800]  這個局力最主要的那個就是他吧
[00:22:32.800 --> 00:22:36.600]  我個人認為
[00:22:36.600 --> 00:22:39.200]  最主要的就是他一家的一對
[00:22:39.200 --> 00:22:40.500]  可能會更強一點
[00:22:40.500 --> 00:22:42.600]  然後第二條如果說是選中游的話
[00:22:42.600 --> 00:22:44.600]  打個比方是尼德時代的
[00:22:44.600 --> 00:22:53.900]  打個比方是尼德時代的
[00:22:53.900 --> 00:22:55.600]  尼德時代的下游是車企
[00:22:56.700 --> 00:22:58.700]  然後上游是原材料
[00:22:58.700 --> 00:23:08.400]  從競資格局上來說
[00:23:08.400 --> 00:23:11.100]  他中間這一塊的電池而言
[00:23:11.100 --> 00:23:13.500]  市場份額最大的是尼德時代
[00:23:13.500 --> 00:23:15.000]  其他還有後面還有好幾家
[00:23:15.000 --> 00:23:15.900]  比如說還有B&B
[00:23:15.900 --> 00:23:17.100]  也就大概競資格局上
[00:23:17.100 --> 00:23:18.700]  只有一家或者是兩家的情況
[00:23:18.700 --> 00:23:23.200]  而對於原材料的上價量也特別多
[00:23:23.200 --> 00:23:25.100]  因為他本質需要的材料也特別多
[00:23:25.100 --> 00:23:29.600]  而每一個材料所占的這個供應商的加速也特別多
[00:23:29.600 --> 00:23:32.000]  所以說對於雙方的競爭
[00:23:32.000 --> 00:23:34.200]  雙方的供應關係而言
[00:23:34.200 --> 00:23:37.800]  是尼德時代占主要的一個一家能力
[00:23:37.800 --> 00:23:42.700]  他可以去控制上游給他的價格
[00:23:42.700 --> 00:23:45.400]  所以說他擁有可以簽長約的能力
[00:23:45.400 --> 00:23:46.400]  但是從上游而言
[00:23:46.400 --> 00:23:49.200]  他沒有辦法要求尼德時代去跟他簽長約
[00:23:49.200 --> 00:23:54.000]  這個可以大家可以理解了
[00:23:54.000 --> 00:23:56.400]  這個是上游的
[00:23:56.400 --> 00:24:03.400]  這是一個上游的一個相互之間的一個上下游關係
[00:24:03.400 --> 00:24:04.400]  然後對於下游而言
[00:24:04.400 --> 00:24:06.200]  車企也是一樣的
[00:24:06.200 --> 00:24:09.700]  他車企的品牌特別多
[00:24:09.700 --> 00:24:11.600]  但是能啟動車企的電池
[00:24:11.600 --> 00:24:13.100]  只有尼德時代或者是Diablo
[00:24:13.100 --> 00:24:14.600]  或者是等等一些
[00:24:14.600 --> 00:24:16.900]  其他一些特別小的一些電視廠家
[00:24:16.900 --> 00:24:20.700]  然後對於他而言
[00:24:20.700 --> 00:24:25.000]  他只能拿個現金去購買電池
[00:24:25.000 --> 00:24:26.800]  而不能對尼德時代進行奢賬
[00:24:26.800 --> 00:24:28.600]  因為我可以不購給你
[00:24:28.600 --> 00:24:33.100]  我可以選擇在供應的關係當中
[00:24:33.100 --> 00:24:35.600]  我可以選擇我不購給你
[00:24:35.600 --> 00:24:38.700]  所以在這樣的一個上下游的關係當中
[00:24:38.700 --> 00:24:41.400]  他的現金是可以得到控
[00:24:41.400 --> 00:24:44.000]  是可以得到他的現金
[00:24:44.000 --> 00:24:47.100]  或者是營業收入是可以呈現不受控的情況
[00:24:49.900 --> 00:24:52.900]  所以說如果說風口來的時候
[00:24:52.900 --> 00:24:57.600]  這個錢盡量是建立在產業
[00:24:57.600 --> 00:25:02.600]  還是屬於一種逐漸被市場特殊的階段
[00:25:02.600 --> 00:25:06.800]  如果說最終你在看這條產業的時候
[00:25:06.800 --> 00:25:08.800]  最大的可能是選擇他
[00:25:08.800 --> 00:25:10.500]  而不是選擇上游
[00:25:10.500 --> 00:25:13.100]  所以說如果再讓我重新去選擇一次的話
[00:25:13.100 --> 00:25:14.800]  我不會選擇天賜材料
[00:25:14.800 --> 00:25:18.200]  我可能是選擇他的
[00:25:18.200 --> 00:25:21.200]  所以說這個在哪怕是我作對
[00:25:21.200 --> 00:25:23.000]  對我而言可能在背後的國家上
[00:25:23.000 --> 00:25:24.900]  我一樣會把他推翻
[00:25:24.900 --> 00:25:26.200]  因為從競爭關係上來說
[00:25:26.200 --> 00:25:27.900]  他的優勢更大
[00:25:27.900 --> 00:25:28.900]  而這種優勢更大
[00:25:28.900 --> 00:25:33.200]  從思美老師的圖像上而言就是金公陽
[00:25:33.200 --> 00:25:34.900]  就是那個
[00:25:34.900 --> 00:25:41.700]  比如說就是金公能力更強的那根K線
[00:25:41.700 --> 00:25:45.800]  而這種K線所代表的意思就是
[00:25:45.800 --> 00:25:48.100]  他的強意向能力
[00:25:48.100 --> 00:25:49.300]  這是一個點
[00:25:49.300 --> 00:25:51.700]  然後第二個點就是
[00:25:51.700 --> 00:25:54.500]  一個公司在同行業中擁有成本優勢
[00:25:54.500 --> 00:25:55.300]  或者是規模優勢
[00:25:55.300 --> 00:25:57.300]  或者是一個技術優勢
[00:25:57.300 --> 00:26:01.800]  也就是說他在同行業中入迷為替代了
[00:26:01.800 --> 00:26:05.900]  這一點上在畫工裡面
[00:26:05.900 --> 00:26:07.700]  可能會更加的體現出來
[00:26:07.700 --> 00:26:12.200]  比如說我一些原材料當中
[00:26:12.200 --> 00:26:13.600]  我可以生成
[00:26:13.600 --> 00:26:15.300]  我先講這個規模優勢吧
[00:26:15.300 --> 00:26:19.400]  這個規模優勢在反貿易盤吧
[00:26:19.400 --> 00:26:21.600]  那個電視劇
[00:26:21.600 --> 00:26:26.900]  就是他裡面有一個老闆
[00:26:26.900 --> 00:26:32.400]  然後他想要找到一個供應商
[00:26:32.400 --> 00:26:34.200]  他想賣那個供應商
[00:26:34.200 --> 00:26:39.800]  然後他想在上海把供應商的產品給鋪開了
[00:26:39.800 --> 00:26:42.400]  然後他的競爭對手
[00:26:42.400 --> 00:26:45.300]  就找了幾家小的門店
[00:26:45.300 --> 00:26:46.900]  然後是可能大致上的供應
[00:26:46.900 --> 00:26:49.700]  比如說三千個服裝的
[00:26:49.700 --> 00:26:52.300]  這麼一個賣的一個規模料
[00:26:52.300 --> 00:26:54.400]  但是那個主角
[00:26:54.400 --> 00:26:56.400]  或者說那個老闆
[00:26:56.400 --> 00:26:58.700]  他可以說規模優勢
[00:26:58.700 --> 00:27:01.900]  單單吃掉八十萬間的一個能力
[00:27:01.900 --> 00:27:03.400]  也就是說在這裡
[00:27:03.400 --> 00:27:06.600]  從規模優勢方面而言
[00:27:06.600 --> 00:27:08.400]  顯然他的一講能力
[00:27:08.400 --> 00:27:14.000]  也是相對來說更平衡
[00:27:14.000 --> 00:27:16.200]  然後第三條就是
[00:27:16.200 --> 00:27:18.000]  就是公司的營利服務
[00:27:18.000 --> 00:27:20.700]  最好是主要來自於他的一個自我產品
[00:27:20.700 --> 00:27:24.600]  因為從單單只是分析他的那個報表上面
[00:27:24.600 --> 00:27:27.100]  我們如果說進行一個長期更新的話
[00:27:27.100 --> 00:27:29.600]  很多會發現他有些的不業收入
[00:27:29.600 --> 00:27:32.300]  或者是一些一些金利的來源
[00:27:32.300 --> 00:27:34.700]  主要是來自於一些投資收益
[00:27:34.700 --> 00:27:38.000]  或者說來自於一些本身的一些報表上的波動
[00:27:38.000 --> 00:27:41.000]  比如說我可能今天科口一些管理費用
[00:27:41.000 --> 00:27:42.500]  可能科口一些研發費用
[00:27:42.500 --> 00:27:45.500]  形成報表上面短期內看起來好看一點
[00:27:45.500 --> 00:27:49.100]  或者說短期內形成一個很大的增幅
[00:27:49.100 --> 00:27:51.600]  但是對於我前面提到的要求點
[00:27:51.600 --> 00:27:53.000]  在未來三到五年預期
[00:27:53.000 --> 00:27:56.200]  成為上漲上升趨勢的這個前提
[00:27:56.200 --> 00:27:57.600]  大前提條件下
[00:27:57.600 --> 00:27:58.600]  他從短期波動
[00:27:58.600 --> 00:27:59.900]  我們盡量是不參與
[00:27:59.900 --> 00:28:04.700]  去做一個角色上的一個認同的
[00:28:04.700 --> 00:28:10.600]  這是第三條的一個假設吧
[00:28:10.600 --> 00:28:17.100]  就是第三道防火牆
[00:28:17.100 --> 00:28:19.100]  然後第四道防火牆
[00:28:19.100 --> 00:28:21.100]  然後下面假的就是
[00:28:21.100 --> 00:28:24.700]  我個人的一些操作的一些習慣
[00:28:24.700 --> 00:28:26.100]  或者說一些方式
[00:28:26.100 --> 00:28:27.300]  但像像這個的話
[00:28:27.300 --> 00:28:28.500]  我從寫上去之後
[00:28:28.500 --> 00:28:31.700]  我就發現可能從安全性來講
[00:28:31.700 --> 00:28:34.800]  可能師母老師的那個方法會更好一點
[00:28:34.800 --> 00:28:36.500]  但是我下面就是講一個
[00:28:36.500 --> 00:28:40.300]  我個人的一個操作方式
[00:28:40.300 --> 00:28:42.000]  在近期的時候
[00:28:42.000 --> 00:28:43.300]  就是價格下跌到一個
[00:28:43.300 --> 00:28:45.700]  自身認為合理價格的曲線
[00:28:45.700 --> 00:28:47.400]  這個自身合理的價格曲線是
[00:28:47.400 --> 00:28:49.200]  我們對於我們
[00:28:49.200 --> 00:28:51.300]  我研究基本運來講
[00:28:51.300 --> 00:28:53.100]  需要大家自己去算
[00:28:53.100 --> 00:28:55.100]  不是大致認為這個公司在當下
[00:28:55.100 --> 00:28:57.200]  或者說在過去一兩年
[00:28:57.200 --> 00:28:58.600]  或者是未來一兩年的時候
[00:28:58.600 --> 00:29:01.400]  它是屬於一個相對來說是較低的價格
[00:29:01.400 --> 00:29:05.500]  而這個較低的價格一定不能看圖形
[00:29:05.500 --> 00:29:11.200]  就是圖形會給你很大的一個障眼法
[00:29:11.200 --> 00:29:21.900]  比如說我一個天線
[00:29:21.900 --> 00:29:25.100]  比如說我一個天線從上次開始
[00:29:25.100 --> 00:29:29.700]  向下跌形成一個在這種位置
[00:29:29.700 --> 00:29:32.100]  如果單單從估值的角度上
[00:29:32.100 --> 00:29:33.400]  如果從單單的圖形來講
[00:29:33.400 --> 00:29:38.500]  它可能看起來是屬於一個相對來說的低估
[00:29:38.500 --> 00:29:40.900]  但是如果你只是用圖形上去看
[00:29:40.900 --> 00:29:43.900]  而不是去算它的這個
[00:29:43.900 --> 00:29:46.200]  合理的一個價格區間的話
[00:29:46.200 --> 00:29:51.500]  這裡有可能是一個蠻負性的一個陷阱
[00:29:51.500 --> 00:29:56.000]  它也可能繼續往下
[00:29:56.000 --> 00:29:58.000]  這是很大概的存在的
[00:29:58.000 --> 00:30:02.900]  如果說你在公司本身沒有發生
[00:30:02.900 --> 00:30:06.100]  營利性能力的扭轉的前提之下
[00:30:06.100 --> 00:30:10.500]  去單方面的去看這個點的話
[00:30:10.500 --> 00:30:12.700]  安全點是不夠厚的
[00:30:12.700 --> 00:30:14.100]  我個人認為要
[00:30:14.100 --> 00:30:18.500]  所以說我在這個價格
[00:30:18.500 --> 00:30:19.400]  第四道方向
[00:30:19.400 --> 00:30:22.000]  就是在我的價格是下跌到支撐
[00:30:22.000 --> 00:30:24.000]  認為的一個合理的價格區間
[00:30:24.000 --> 00:30:26.800]  同時我在這個點的判斷是
[00:30:26.800 --> 00:30:31.100]  向上的概率要比向下的概率要大很多
[00:30:31.100 --> 00:30:34.800]  起碼是要經歷是70%到80%
[00:30:34.800 --> 00:30:41.800]  這個概率性的問題
[00:30:41.800 --> 00:30:45.200]  然後在跌到這個買路區間之後
[00:30:45.200 --> 00:30:48.400]  我的操作能力就是分配買路
[00:30:48.400 --> 00:30:50.300]  然後嚴苛折扣折扣間
[00:30:50.300 --> 00:30:54.800]  下面這個就是我一拍腦門的事情
[00:30:54.800 --> 00:30:58.700]  大致會選擇這樣的一種操作方式
[00:30:58.700 --> 00:31:04.500]  在整個我個人就是對於
[00:31:04.500 --> 00:31:07.300]  我認為的便宜的這個點
[00:31:07.300 --> 00:31:09.300]  這個誘惑力是很難接受的
[00:31:09.300 --> 00:31:09.900]  是考驗的
[00:31:09.900 --> 00:31:11.600]  就是它實在是太便宜了
[00:31:11.600 --> 00:31:13.500]  就是覺得說我還是想去
[00:31:13.500 --> 00:31:15.800]  做一個買路的這個一個動作
[00:31:15.800 --> 00:31:17.200]  但是前面大家也看到了
[00:31:17.200 --> 00:31:20.300]  我有兩個失敗的案例
[00:31:20.300 --> 00:31:21.800]  機器手在這個點進行了買路
[00:31:21.800 --> 00:31:24.800]  但是它後面還是跌了30%到40%
[00:31:24.800 --> 00:31:28.500]  所以說我在自我的這個交易機器手中的更改
[00:31:28.500 --> 00:31:30.800]  就改成了這個
[00:31:30.800 --> 00:31:35.800]  在到達一個我認為合理的這個倉庫之後
[00:31:35.800 --> 00:31:37.600]  是一個5%的止損線
[00:31:37.600 --> 00:31:40.800]  比如說我總倉位願意
[00:31:40.800 --> 00:31:43.000]  給它買三成倉庫也是四成倉庫
[00:31:43.000 --> 00:31:45.000]  我在買到三成到四成倉之後
[00:31:45.000 --> 00:31:46.100]  如果還下個5%
[00:31:46.100 --> 00:31:49.300]  我選擇最終選擇無條件的止損
[00:31:49.300 --> 00:31:52.500]  然後重新去判斷它的這個買路點
[00:31:52.500 --> 00:31:54.500]  為什麼我要去賣掉之後
[00:31:54.500 --> 00:31:55.600]  再重新去判斷之後
[00:31:55.600 --> 00:31:57.300]  我會給我講
[00:31:57.300 --> 00:31:59.400]  然後如果說它
[00:31:59.400 --> 00:32:01.100]  我們第一次買路之後
[00:32:01.100 --> 00:32:03.000]  它直接往上反轉了
[00:32:03.000 --> 00:32:05.600]  那我就等它扭轉之後等待
[00:32:05.600 --> 00:32:08.700]  可以先扭轉的那個位置再進行買路
[00:32:08.700 --> 00:32:10.000]  這些動作則是說
[00:32:10.000 --> 00:32:11.000]  抬高一點承擔而已
[00:32:11.000 --> 00:32:14.400]  然後會增加那個確定性
[00:32:14.400 --> 00:32:20.700]  一共有在買路的時候兩種應對的方式
[00:32:20.700 --> 00:32:23.700]  然後然後還有一個點就是
[00:32:23.700 --> 00:32:24.900]  我的這種方法
[00:32:24.900 --> 00:32:27.100]  對於買兩年的時候是等出來的
[00:32:27.100 --> 00:32:28.500]  我需要對一下物資進行
[00:32:28.500 --> 00:32:31.700]  或者說擠開物資進行一個長期的一種跟蹤
[00:32:31.700 --> 00:32:33.200]  然後去習慣
[00:32:33.200 --> 00:32:36.000]  或者說去發現它
[00:32:36.000 --> 00:32:37.900]  可能會出現那種低點
[00:32:37.900 --> 00:32:40.800]  然後或者說可能會出現反轉的信號
[00:32:40.800 --> 00:32:42.000]  等到了那個點
[00:32:42.000 --> 00:32:43.700]  然後我再進行給它去買路
[00:32:43.700 --> 00:32:46.400]  當然也可以去找出來
[00:32:46.400 --> 00:32:48.900]  這個方法大家可以
[00:32:48.900 --> 00:32:50.400]  都可以用
[00:32:50.400 --> 00:32:52.000]  也不論
[00:32:52.000 --> 00:32:55.500]  然後最後有一個提醒的點
[00:32:55.500 --> 00:32:56.700]  就是說我剛剛說了
[00:32:56.700 --> 00:32:59.900]  我一定要做出一個邁出的動作之後
[00:32:59.900 --> 00:33:03.600]  再去重新地判斷
[00:33:03.600 --> 00:33:06.200]  我是否一樣可以買路這家公司的理由
[00:33:06.200 --> 00:33:09.100]  原因就在於就是不能在買路公司之後
[00:33:09.100 --> 00:33:11.400]  再去尋找或者是再去找到它
[00:33:11.400 --> 00:33:12.900]  支持它上漲的地方
[00:33:12.900 --> 00:33:14.200]  這裡有個錨定效益
[00:33:14.200 --> 00:33:15.700]  這是一個心理學的問題
[00:33:15.700 --> 00:33:16.700]  就是說你買了之後
[00:33:16.700 --> 00:33:18.500]  你很希望它漲
[00:33:18.500 --> 00:33:19.700]  然後在希望它漲的時候
[00:33:19.700 --> 00:33:21.000]  你會去
[00:33:21.000 --> 00:33:22.600]  可能會被動的
[00:33:22.600 --> 00:33:24.700]  也不是你自己主觀的一種意識
[00:33:24.700 --> 00:33:27.300]  你可能會去被動地去尋找
[00:33:27.300 --> 00:33:30.100]  支持它上漲的理由的一些條件
[00:33:30.100 --> 00:33:32.800]  和一些理由
[00:33:32.800 --> 00:33:35.700]  然後會存在一定的
[00:33:35.700 --> 00:33:40.900]  影響你個人的判斷的一個能力
[00:33:40.900 --> 00:33:42.900]  所以在這條上面
[00:33:42.900 --> 00:33:45.300]  對於我以上的方法來說
[00:33:45.300 --> 00:33:50.500]  是最大的忌諱
[00:33:50.500 --> 00:33:52.700]  然後第二部分就是
[00:33:52.700 --> 00:33:55.400]  買入之後的持倉的一個心態
[00:33:55.400 --> 00:33:58.000]  這個我剛剛在講的就是
[00:33:58.000 --> 00:34:00.300]  在跌到一定的價格去定之後
[00:34:00.300 --> 00:34:03.400]  我願意向上的概率
[00:34:03.400 --> 00:34:05.000]  會大於向下的概率
[00:34:05.000 --> 00:34:07.500]  在判斷出這樣的概率之後
[00:34:07.500 --> 00:34:10.100]  我願意買多少金額大小
[00:34:10.100 --> 00:34:17.800]  去買這樣的一個概率性的問題
[00:34:17.800 --> 00:34:19.900]  然後第二個恰如去味
[00:34:19.900 --> 00:34:21.100]  不追求買在最低點
[00:34:21.100 --> 00:34:23.100]  也不追求賣在最高點
[00:34:23.100 --> 00:34:25.600]  我只要達到我心裡的合理預期的利潤
[00:34:25.600 --> 00:34:26.800]  我就可以提前走
[00:34:26.800 --> 00:34:28.000]  哪怕它是在上升
[00:34:28.000 --> 00:34:29.600]  或者是拉升的過程當中
[00:34:29.600 --> 00:34:30.300]  也沒有關係的
[00:34:30.300 --> 00:34:33.400]  就是說我大概到了我就走了
[00:34:33.400 --> 00:34:34.500]  它後面是即使再漲
[00:34:34.500 --> 00:34:38.400]  那個那一部分也不屬於我了
[00:34:38.400 --> 00:34:39.300]  然後第三個就是
[00:34:39.300 --> 00:34:40.100]  負利也可以
[00:34:40.100 --> 00:34:41.900]  我剛剛前面講的所有的一些問題
[00:34:41.900 --> 00:34:43.500]  只是在於買點和持倉的問題
[00:34:43.500 --> 00:34:44.700]  我並沒有講
[00:34:44.700 --> 00:34:47.100]  一共是大概漲幅是大概是多少
[00:34:47.100 --> 00:34:49.300]  這很多的時候
[00:34:49.300 --> 00:34:51.700]  並不是由我們自己的判斷
[00:34:51.700 --> 00:34:57.700]  或者是計算是可以完全地算得很清楚的
[00:34:57.700 --> 00:35:00.300]  只是在我們第一初期的一個判斷的時候
[00:35:00.300 --> 00:35:02.800]  比如說它可以漲30%或40%
[00:35:02.800 --> 00:35:04.300]  我們可以接受這部分的利潤
[00:35:04.300 --> 00:35:06.700]  然後我們再去找下一部分
[00:35:06.700 --> 00:35:09.100]  下一部分3%多或40%
[00:35:09.100 --> 00:35:11.400]  如果說我們這兩個都能找到的話
[00:35:11.400 --> 00:35:12.800]  對於它本身
[00:35:12.800 --> 00:35:14.700]  前面的股份其實它漲了一倍
[00:35:14.700 --> 00:35:15.700]  這個所發揮的時間
[00:35:15.700 --> 00:35:16.500]  我們找2%
[00:35:16.500 --> 00:35:19.100]  但是31%依然也可以達到我們
[00:35:19.100 --> 00:35:22.300]  看見的這個一倍的這個收益力
[00:35:22.300 --> 00:35:27.200]  所以心態還是要稍微可以調整一點
[00:35:27.200 --> 00:35:28.900]  然後第三個就是
[00:35:28.900 --> 00:35:33.200]  最後一個就是一個極端的一個思想
