[00:00:00.000 --> 00:00:03.720]  有的人比像我们说的做油资的多厉害
[00:19:15.000 --> 00:19:17.000]  (买点)
[00:19:17.000 --> 00:19:19.000]  (买点)
[00:19:19.000 --> 00:19:21.000]  (买点)
[00:19:21.000 --> 00:19:23.000]  (买点)
[00:19:23.000 --> 00:19:25.000]  (买点)
[00:19:25.000 --> 00:19:27.000]  (买点)
[00:19:27.000 --> 00:19:29.000]  (买点)
[00:19:29.000 --> 00:19:31.000]  (买点)
[00:19:31.000 --> 00:19:33.000]  (买点)
[00:19:33.000 --> 00:19:35.000]  (买点)
[00:19:35.000 --> 00:19:37.000]  (买点)
[00:19:37.000 --> 00:19:39.000]  (买点)
[00:19:39.000 --> 00:19:41.000]  (买点)
[00:19:41.000 --> 00:19:43.000]  (买点)
[00:19:43.000 --> 00:19:45.000]  (买点)
[00:19:45.000 --> 00:19:47.000]  (买点)
[00:19:47.000 --> 00:19:49.000]  (买点)
[00:19:49.000 --> 00:19:51.000]  (买点)
[00:19:51.000 --> 00:19:53.000]  (买点)
[00:19:53.000 --> 00:19:55.000]  (买点)
[00:19:55.000 --> 00:19:57.000]  (买点)
[00:19:57.000 --> 00:19:59.000]  (买点)
[00:19:59.000 --> 00:20:01.000]  (买点)
[00:20:01.000 --> 00:20:03.000]  (买点)
[00:20:03.000 --> 00:20:05.000]  (买点)
[00:20:05.000 --> 00:20:07.000]  (买点)
[00:20:07.000 --> 00:20:09.000]  (买点)
[00:20:09.000 --> 00:20:11.000]  (买点)
[00:20:11.000 --> 00:20:13.000]  (买点)
[00:20:13.000 --> 00:20:15.000]  (买点)
[00:20:15.000 --> 00:20:17.000]  (买点)
[00:20:17.000 --> 00:20:19.000]  (买点)
[00:20:19.000 --> 00:20:21.000]  (买点)
[00:20:21.000 --> 00:20:23.000]  (买点)
[00:20:23.000 --> 00:20:25.000]  (买点)
[00:20:25.000 --> 00:20:27.000]  (买点)
[00:20:27.000 --> 00:20:29.000]  (买点)
[00:20:29.000 --> 00:20:31.000]  (买点)
[00:20:31.000 --> 00:20:33.000]  (买点)
[00:20:33.000 --> 00:20:35.000]  (买点)
[00:20:35.000 --> 00:20:37.000]  (买点)
[00:20:37.000 --> 00:20:39.000]  (买点)
[00:20:39.000 --> 00:20:41.000]  (买点)
[00:20:41.000 --> 00:20:43.000]  (买点)
[00:20:43.000 --> 00:20:45.000]  (买点)
[00:20:45.000 --> 00:20:47.000]  (买点)
[00:20:47.000 --> 00:20:49.000]  (买点)
[00:20:49.000 --> 00:20:51.000]  (买点)
[00:20:51.000 --> 00:20:53.000]  (买点)
[00:20:53.000 --> 00:20:55.000]  (买点)
[00:20:55.000 --> 00:20:57.000]  (买点)
[00:20:57.000 --> 00:20:59.000]  (买点)
[00:20:59.000 --> 00:21:01.000]  (买点)
[00:21:01.000 --> 00:21:03.000]  (买点)
[00:21:03.000 --> 00:21:05.000]  (买点)
[00:21:05.000 --> 00:21:07.000]  (买点)
[00:21:07.000 --> 00:21:09.000]  (买点)
[00:21:09.000 --> 00:21:11.000]  (买点)
[00:21:11.000 --> 00:21:13.000]  (买点)
[00:21:13.000 --> 00:21:15.000]  (买点)
[00:21:15.000 --> 00:21:17.000]  (买点)
[00:21:17.000 --> 00:21:19.000]  (买点)
[00:21:19.000 --> 00:21:21.000]  (买点)
[00:21:21.000 --> 00:21:23.000]  (买点)
[00:21:23.000 --> 00:21:25.000]  (买点)
[00:21:25.000 --> 00:21:27.000]  (买点)
[00:21:27.000 --> 00:21:29.000]  (买点)
[00:21:29.000 --> 00:21:31.000]  (买点)
[00:21:31.000 --> 00:21:33.000]  (买点)
[00:21:33.000 --> 00:21:35.000]  (买点)
[00:21:35.000 --> 00:21:37.000]  (买点)
[00:21:37.000 --> 00:21:39.000]  (买点)
[00:21:39.000 --> 00:21:41.000]  (买点)
[00:21:41.000 --> 00:21:43.000]  (买点)
[00:21:43.000 --> 00:21:45.000]  (买点)
[00:21:45.000 --> 00:21:47.000]  (买点)
[00:21:47.000 --> 00:21:49.000]  (买点)
[00:21:49.000 --> 00:21:51.000]  (买点)
[00:21:51.000 --> 00:21:53.000]  (买点)
[00:21:53.000 --> 00:21:55.000]  (买点)
[00:21:55.000 --> 00:21:57.000]  (买点)
[00:21:57.000 --> 00:21:59.000]  (买点)
[00:21:59.000 --> 00:22:01.000]  (买点)
[00:22:01.000 --> 00:22:03.000]  (买点)
[00:22:03.000 --> 00:22:05.000]  (买点)
[00:22:05.000 --> 00:22:07.000]  (买点)
[00:22:07.000 --> 00:22:09.000]  (买点)
[00:22:09.000 --> 00:22:11.000]  (买点)
[00:22:11.000 --> 00:22:13.000]  (买点)
[00:22:13.000 --> 00:22:15.000]  (买点)
[00:22:15.000 --> 00:22:17.000]  (买点)
[00:22:17.000 --> 00:22:19.000]  (买点)
[00:22:19.000 --> 00:22:21.000]  (买点)
[00:22:21.000 --> 00:22:23.000]  (买点)
[00:22:23.000 --> 00:22:25.000]  (买点)
[00:22:25.000 --> 00:22:27.000]  (买点)
[00:22:27.000 --> 00:22:29.000]  (买点)
[00:22:29.000 --> 00:22:31.000]  (买点)
[00:22:31.000 --> 00:22:33.000]  (买点)
[00:22:33.000 --> 00:22:35.000]  (买点)
[00:22:35.000 --> 00:22:37.000]  (买点)
[00:22:37.000 --> 00:22:39.000]  (买点)
[00:22:39.000 --> 00:22:41.000]  (买点)
[00:22:41.000 --> 00:22:43.000]  (买点)
[00:22:43.000 --> 00:22:45.000]  (买点)
[00:22:45.000 --> 00:22:47.000]  (买点)
[00:22:47.000 --> 00:22:49.000]  (买点)
[00:22:49.000 --> 00:22:51.000]  (买点)
[00:22:51.000 --> 00:22:53.000]  (买点)
[00:22:53.000 --> 00:22:55.000]  (买点)
[00:22:55.000 --> 00:22:57.000]  (买点)
[00:22:57.000 --> 00:22:59.000]  (买点)
[00:22:59.000 --> 00:23:01.000]  (买点)
[00:23:01.000 --> 00:23:03.000]  (买点)
[00:23:03.000 --> 00:23:07.000]  每一步的突破都万分艰辛
[00:23:07.000 --> 00:23:09.000]  对 我相信我们在做股
[00:23:09.000 --> 00:23:11.000]  时间比较长的都有感受啊
[00:23:11.000 --> 00:23:13.000]  只要你在做交易的
[00:23:13.000 --> 00:23:15.000]  每一步的突破 可能我讲的是一句话
[00:23:15.000 --> 00:23:17.000]  每一步的突破都万分艰辛
[00:23:17.000 --> 00:23:19.000]  就是你赚钱呢
[00:23:19.000 --> 00:23:21.000]  对吧 你能够赚到50%
[00:23:21.000 --> 00:23:23.000]  你能够熬住不卖
[00:23:23.000 --> 00:23:25.000]  继续放大到70
[00:23:25.000 --> 00:23:27.000]  熬住不卖到一倍
[00:23:27.000 --> 00:23:29.000]  一倍不卖再熬住到一倍半
[00:23:29.000 --> 00:23:31.000]  我告诉你 这也是很艰辛的
[00:23:31.000 --> 00:23:33.000]  赚钱也不容易的
[00:23:33.000 --> 00:23:37.000]  这个你 只要你自己去慢慢去感受
[00:23:37.000 --> 00:23:39.000]  所以像我们说
[00:23:39.000 --> 00:23:41.000]  我唯一没有过多的深刻的
[00:23:41.000 --> 00:23:43.000]  就是从
[00:23:43.000 --> 00:23:45.000]  亏到50
[00:23:45.000 --> 00:23:47.000]  或者是30 50
[00:23:47.000 --> 00:23:49.000]  我这个我没有体会过
[00:23:49.000 --> 00:23:51.000]  体会过的时候 我是懵懵懂懂的体会的
[00:23:51.000 --> 00:23:53.000]  但是当我真正认知之后 我没有这种体会
[00:23:53.000 --> 00:23:55.000]  我最多不会超过10%的回正
[00:23:55.000 --> 00:23:57.000]  一般都5% 6% 我就不干了
[00:23:57.000 --> 00:23:59.000]  我休息行不行 我就不相信我的资金
[00:23:59.000 --> 00:24:01.000]  因为我会盯自己的资金曲线
[00:24:01.000 --> 00:24:03.000]  我就不相信我的资金曲线还回去
[00:24:03.000 --> 00:24:05.000]  我不干难道还回去啊
[00:24:05.000 --> 00:24:07.000]  我就休息休息休息到自己各个方面
[00:24:07.000 --> 00:24:09.000]  或者说学习学习 调整好自己
[00:24:09.000 --> 00:24:11.000]  然后再慢慢看盘 找到那个符合的机会再做
[00:24:11.000 --> 00:24:13.000]  那你这个时候再出手 基本上不大会做了
[00:24:13.000 --> 00:24:15.000]  可能就是一下子就把那个
[00:24:15.000 --> 00:24:17.000]  就是我们说的五七个点的回事
[00:24:17.000 --> 00:24:19.000]  就我账户的那个
[00:24:19.000 --> 00:24:21.000]  我就又往上拉起来一点了
[00:24:21.000 --> 00:24:23.000]  所以你自己是要看自己的一个
[00:24:23.000 --> 00:24:25.000]  就是最后你会发现就是
[00:24:25.000 --> 00:24:27.000]  关照自己
[00:24:27.000 --> 00:24:29.000]  就是更难 我觉得这个就是
[00:24:29.000 --> 00:24:31.000]  你们自我感悟
[00:24:31.000 --> 00:24:33.000]  就是没反那个的时候就跟自己
[00:24:33.000 --> 00:24:35.000]  要需要和解
[00:24:35.000 --> 00:24:37.000]  好 我们先来说这一个
[00:24:37.000 --> 00:24:39.000]  来客 来客呢我们说
[00:24:39.000 --> 00:24:41.000]  这一个买点
[00:24:41.000 --> 00:24:43.000]  基本上大家都可以看出来是在这
[00:24:43.000 --> 00:24:45.000]  对吧 因为这是一个扭转
[00:24:45.000 --> 00:24:47.000]  然后回调再上转对不对
[00:24:47.000 --> 00:24:49.000]  是不是在这 然后这个
[00:24:49.000 --> 00:24:51.000]  我们可以看一下它进攻的是什么
[00:24:51.000 --> 00:24:53.000]  进攻这个高点
[00:24:53.000 --> 00:24:55.000]  和这个高点和这个高点
[00:24:55.000 --> 00:24:57.000]  就是从怀抱的方式来进行一个进攻的
[00:24:57.000 --> 00:24:59.000]  我们说了
[00:24:59.000 --> 00:25:01.000]  在K线里面
[00:25:01.000 --> 00:25:03.000]  有强中弱 强是谁啊
[00:25:03.000 --> 00:25:05.000]  怀抱 其次
[00:25:05.000 --> 00:25:07.000]  再其次
[00:25:07.000 --> 00:25:09.000]  切入
[00:25:09.000 --> 00:25:11.000]  你首先要把这三个是记在心里面的
[00:25:11.000 --> 00:25:13.000]  然后我们可以看到
[00:25:13.000 --> 00:25:15.000]  怀抱之后通常是走强的
[00:25:15.000 --> 00:25:17.000]  是不是走一个怀抱
[00:25:17.000 --> 00:25:19.000]  对吧 那我们是不是可以
[00:25:19.000 --> 00:25:21.000]  你正在的引线的高架
[00:25:21.000 --> 00:25:23.000]  和正在的引线的高架连一条线
[00:25:23.000 --> 00:25:25.000]  因为你这一段可以先把这一段时间
[00:25:25.000 --> 00:25:27.000]  全部给攻下了嘛
[00:25:27.000 --> 00:25:29.000]  对不对 那么这个攻下的防守
[00:25:29.000 --> 00:25:31.000]  是不是这个价格的最高架
[00:25:31.000 --> 00:25:33.000]  就是它的 它是极最强防守
[00:25:33.000 --> 00:25:35.000]  第二防守是因为这个
[00:25:35.000 --> 00:25:37.000]  这里的高点和高点
[00:25:37.000 --> 00:25:39.000]  收缓价格相连是第二防守
[00:25:39.000 --> 00:25:41.000]  大家明白我意思没有 是不是第二防守
[00:25:41.000 --> 00:25:43.000]  那么我们买是不是买在
[00:25:43.000 --> 00:25:45.000]  这里 买在这里啊
[00:25:45.000 --> 00:25:47.000]  买在这 买在这 我建议
[00:25:47.000 --> 00:25:49.000]  大家不着急 这种不要买
[00:25:49.000 --> 00:25:51.000]  为什么呢 你可以连一根线
[00:25:51.000 --> 00:25:53.000]  这根线 包括实体
[00:25:53.000 --> 00:25:55.000]  你会发现这里的收缓价
[00:25:55.000 --> 00:25:57.000]  比你要的 就是我们所说
[00:25:57.000 --> 00:25:59.000]  城墙的防守的价格
[00:25:59.000 --> 00:26:01.000]  远还是近
[00:26:01.000 --> 00:26:03.000]  远 你就不要买
[00:26:03.000 --> 00:26:07.000]  能明白我意思没有
[00:26:07.000 --> 00:26:09.000]  就是这里的防守嘛 你算你先画一条线
[00:26:09.000 --> 00:26:11.000]  是不是最强的 回射不能碰的
[00:26:11.000 --> 00:26:13.000]  其实是不是这个实体的
[00:26:13.000 --> 00:26:15.000]  收缓啊 就是这个高点
[00:26:15.000 --> 00:26:17.000]  这个高点就是不到实体
[00:26:17.000 --> 00:26:19.000]  和这个高点是不是实体的
[00:26:19.000 --> 00:26:21.000]  这个收缓价格里一条线
[00:26:21.000 --> 00:26:23.000]  就你回头 最强你是回头的
[00:26:23.000 --> 00:26:25.000]  上一线最高价 其次你就是回头的
[00:26:25.000 --> 00:26:27.000]  实体嘛 我们这里是
[00:26:27.000 --> 00:26:29.000]  长出来的啊 这个
[00:26:29.000 --> 00:26:31.000]  没长出来 你怎么知道它在上面这么顶着呢
[00:26:31.000 --> 00:26:33.000]  大家认同吧
[00:26:33.000 --> 00:26:35.000]  没长出来是不确定的 那我知道
[00:26:35.000 --> 00:26:37.000]  的就是你要进攻
[00:26:37.000 --> 00:26:39.000]  你往下 第一个
[00:26:39.000 --> 00:26:41.000]  最强你就是到这个上方
[00:26:41.000 --> 00:26:43.000]  你再差 你不能跌过
[00:26:43.000 --> 00:26:45.000]  这个什么 实体
[00:26:45.000 --> 00:26:47.000]  大家明白我意思没有 在这里是不确定的
[00:26:47.000 --> 00:26:49.000]  比如说这一天下雨线 这一天打到
[00:26:49.000 --> 00:26:51.000]  你就可以买的 为什么可以买呢
[00:26:51.000 --> 00:26:53.000]  因为价格离
[00:26:53.000 --> 00:26:55.000]  我们所说的那个防守
[00:26:55.000 --> 00:26:57.000]  很近
[00:26:57.000 --> 00:26:59.000]  你是可以买的 我们要
[00:26:59.000 --> 00:27:01.000]  为什么这里在解决一个什么问题呢
[00:27:01.000 --> 00:27:03.000]  怎么样把你的
[00:27:03.000 --> 00:27:05.000]  止损空间
[00:27:05.000 --> 00:27:07.000]  尽量的降压缩一些
[00:27:07.000 --> 00:27:09.000]  能理解我意思吧
[00:27:09.000 --> 00:27:11.000]  比如说这一天下雨线
[00:27:11.000 --> 00:27:13.000]  你打到这个 底线的这个分时
[00:27:13.000 --> 00:27:15.000]  比如说打一下勾头 掉点
[00:27:15.000 --> 00:27:17.000]  像这种掉点你肯定会看的嘛 对不对
[00:27:17.000 --> 00:27:19.000]  是可以买的 但是比如说
[00:27:19.000 --> 00:27:21.000]  到了这一天 这个开完
[00:27:21.000 --> 00:27:23.000]  价 包括到这个收款价
[00:27:23.000 --> 00:27:25.000]  离这个 你们自己画像
[00:27:25.000 --> 00:27:27.000]  离这个上一线的线和这个实体的线
[00:27:27.000 --> 00:27:29.000]  是不是很远呢 你是不能买的
[00:27:29.000 --> 00:27:31.000]  因为从这个价格到这个价格
[00:27:31.000 --> 00:27:33.000]  可能波动会有七八个点
[00:27:33.000 --> 00:27:35.000]  甚至有十一二个点你就不能买
[00:27:35.000 --> 00:27:37.000]  说明什么 你在这里买
[00:27:37.000 --> 00:27:39.000]  如果它走坏 你要承受多大的止损
[00:27:39.000 --> 00:27:41.000]  是不是十几个点的止损
[00:27:41.000 --> 00:27:43.000]  你是不能买的 明白我意思没有
[00:27:43.000 --> 00:27:45.000]  再来看 这个位置 这个位置收完
[00:27:45.000 --> 00:27:47.000]  是不是基本上都是在这个区间呢
[00:27:47.000 --> 00:27:49.000]  所以你除了买了这一笔之后
[00:27:49.000 --> 00:27:51.000]  后面加仓是没有你的机会嘛
[00:27:51.000 --> 00:27:53.000]  你突破K线
[00:27:53.000 --> 00:27:55.000]  这是不是都是上一线 上一线 上一线
[00:27:55.000 --> 00:27:57.000]  那你什么时候加仓 你攻克下一个城池
[00:27:57.000 --> 00:27:59.000]  就是把这里的价格区间
[00:27:59.000 --> 00:28:01.000]  你看 这也没有突破 对不对
[00:28:01.000 --> 00:28:03.000]  这位子又回到了一个小队线
[00:28:03.000 --> 00:28:05.000]  它是不是一直 你从这一笔买了之后
[00:28:05.000 --> 00:28:07.000]  是一直属于持仓的要求中啊
[00:28:07.000 --> 00:28:09.000]  但也没有加仓的要求
[00:28:09.000 --> 00:28:11.000]  没有加仓 你宁可成本高一点
[00:28:11.000 --> 00:28:13.000]  我们的成本高是追求确定性
[00:28:13.000 --> 00:28:15.000]  但是 明白我意思没有
[00:28:15.000 --> 00:28:17.000]  到这个位子 这一天是不是把
[00:28:17.000 --> 00:28:19.000]  这个过程中的 这个调整的
[00:28:19.000 --> 00:28:21.000]  一个高点又给加上了
[00:28:21.000 --> 00:28:23.000]  那你可以在这一天收盘的时候买
[00:28:23.000 --> 00:28:25.000]  明白我意思没有
[00:28:25.000 --> 00:28:27.000]  因为这一天买完之后
[00:28:27.000 --> 00:28:29.000]  你的防守是提到了
[00:28:29.000 --> 00:28:31.000]  它进攻的是这个高点
[00:28:31.000 --> 00:28:33.000]  你是可以直接提到这个高点来
[00:28:33.000 --> 00:28:35.000]  这个呢 明白我意思没有
[00:28:35.000 --> 00:28:37.000]  所以我们所谓守着低息
[00:28:37.000 --> 00:28:39.000]  你也尽量地
[00:28:39.000 --> 00:28:41.000]  尽量地靠近我们的防守
[00:28:41.000 --> 00:28:43.000]  它目的是减少你的
[00:28:43.000 --> 00:28:45.000]  最大回撤
[00:28:45.000 --> 00:28:47.000]  你不要一买进去 对吧
[00:28:47.000 --> 00:28:49.000]  很好 亏个十几个点 你心态就崩了
[00:28:49.000 --> 00:28:51.000]  因为为什么会崩的原因呢
[00:28:51.000 --> 00:28:53.000]  这个十几个点我卖了
[00:28:53.000 --> 00:28:55.000]  后面是涨起来涨到三四十个点
[00:28:55.000 --> 00:28:57.000]  那个十几个点我没卖
[00:28:57.000 --> 00:28:59.000]  最后是跌三四十个点
[00:28:59.000 --> 00:29:01.000]  就是讲这个细节点
[00:29:01.000 --> 00:29:03.000]  我们再来看下一个图
[00:29:03.000 --> 00:29:05.000]  这个图
[00:29:05.000 --> 00:29:11.000]  这个图
[00:29:11.000 --> 00:29:13.000]  这个图它特别好
[00:29:13.000 --> 00:29:15.000]  因为这也是我们知道的
[00:29:15.000 --> 00:29:17.000]  一二三一四二九三三
[00:29:17.000 --> 00:29:19.000]  首先你得看懂
[00:29:19.000 --> 00:29:21.000]  这个阳线出来你得跟我前面
[00:29:21.000 --> 00:29:23.000]  我们有节奏 对不对
[00:29:23.000 --> 00:29:25.000]  这是空转的时候你知道这是三一 对吧
[00:29:25.000 --> 00:29:27.000]  什么这个三一在进攻的是什么呢
[00:29:27.000 --> 00:29:29.000]  这些推线
[00:29:29.000 --> 00:29:31.000]  还有这个阴线 这个一起拿下
[00:29:31.000 --> 00:29:33.000]  首先第一个你画的就是这个阴线的最高架
[00:29:33.000 --> 00:29:35.000]  因为这是一个小的
[00:29:35.000 --> 00:29:37.000]  形态的小高点
[00:29:37.000 --> 00:29:39.000]  这个是最高架
[00:29:39.000 --> 00:29:41.000]  画一条线
[00:29:41.000 --> 00:29:43.000]  其次它居然把这个阴线也给攻下
[00:29:43.000 --> 00:29:45.000]  这个阴线的才把他画一条线
[00:29:45.000 --> 00:29:49.000]  也就是接下来的价格走势
[00:29:49.000 --> 00:29:51.000]  只要它将近
[00:29:51.000 --> 00:29:53.000]  靠近这一条线
[00:29:53.000 --> 00:29:55.000]  不是强 是吗
[00:29:55.000 --> 00:29:57.000]  你本身长得一半你不可能再回到这嘛
[00:29:57.000 --> 00:29:59.000]  回到这就漂亮 对不对
[00:29:59.000 --> 00:30:01.000]  你这条线会强
[00:30:01.000 --> 00:30:03.000]  你只要后面的价格分10或者K线
[00:30:03.000 --> 00:30:05.000]  接近这条线你就可以买
[00:30:05.000 --> 00:30:07.000]  这就明白我意思没有
[00:30:07.000 --> 00:30:09.000]  就是你就可以买
[00:30:09.000 --> 00:30:11.000]  因为你在这里买你的防守
[00:30:11.000 --> 00:30:13.000]  就是天后它 天后这个阴线你走
[00:30:13.000 --> 00:30:15.000]  你的风控是不是
[00:30:15.000 --> 00:30:17.000]  比较小
[00:30:17.000 --> 00:30:19.000]  这就能理解我意思没有
[00:30:19.000 --> 00:30:21.000]  然后在这个过程之中
[00:30:21.000 --> 00:30:23.000]  如果你说我要加仓的
[00:30:23.000 --> 00:30:25.000]  就算这个K线对它进行一项
[00:30:25.000 --> 00:30:27.000]  这个K线对这个航盘
[00:30:27.000 --> 00:30:29.000]  可以先进行一个怀抱吧
[00:30:29.000 --> 00:30:31.000]  怀抱之后
[00:30:31.000 --> 00:30:33.000]  这是3号怀抱还是4号怀抱吧
[00:30:33.000 --> 00:30:35.000]  一半
[00:30:35.000 --> 00:30:37.000]  4号怀抱之后我们说怎么讲呢
[00:30:37.000 --> 00:30:39.000]  还会有个
[00:30:39.000 --> 00:30:41.000]  回 3号是加仓
[00:30:41.000 --> 00:30:43.000]  4号是会有个停顿
[00:30:43.000 --> 00:30:45.000]  需时上方停顿
[00:30:45.000 --> 00:30:47.000]  再来一个后量超前量
[00:30:47.000 --> 00:30:49.000]  对吧 再来一个后量超前量
[00:30:49.000 --> 00:30:51.000]  所以你这个出来就在这停顿
[00:30:51.000 --> 00:30:53.000]  这个停顿是可以加仓的
[00:30:53.000 --> 00:30:55.000]  为什么 因为这个停顿的价格
[00:30:55.000 --> 00:30:57.000]  是正好不续接近这个什么
[00:30:57.000 --> 00:30:59.000]  前面这个阴线的
[00:30:59.000 --> 00:31:01.000]  我们所谓的防守位
[00:31:01.000 --> 00:31:03.000]  你买在防守的区间
[00:31:03.000 --> 00:31:05.000]  也就只要它
[00:31:05.000 --> 00:31:07.000]  不然后量超前量出阴线就把市场
[00:31:07.000 --> 00:31:09.000]  坏了你就吃损
[00:31:09.000 --> 00:31:11.000]  所以你的风控
[00:31:11.000 --> 00:31:13.000]  因为我们做股票这样第一天跟他聊的
[00:31:13.000 --> 00:31:15.000]  你首先考虑不亏钱
[00:31:15.000 --> 00:31:17.000]  你先把不亏钱的这个问题
[00:31:17.000 --> 00:31:19.000]  能够应对出来
[00:31:19.000 --> 00:31:21.000]  大家说是吧
[00:31:21.000 --> 00:31:23.000]  比如说我买完之后我的回车幅度很大
[00:31:23.000 --> 00:31:25.000]  就会很痛苦 先考虑不亏钱
[00:31:25.000 --> 00:31:27.000]  这是我们说对于这个
[00:31:27.000 --> 00:31:29.000]  这个的一个
[00:31:29.000 --> 00:31:31.000]  我们的买点
[00:31:31.000 --> 00:31:33.000]  那么这个图的话
[00:31:33.000 --> 00:31:35.000]  基本上都不错
[00:31:35.000 --> 00:31:37.000]  这种走势的话大家都不错
[00:31:37.000 --> 00:31:39.000]  这个就是没有什么
[00:31:39.000 --> 00:31:41.000]  特别清晰的形态结构
[00:31:41.000 --> 00:31:43.000]  它就是在一个趋势过程之中
[00:31:43.000 --> 00:31:45.000]  这里其实没有完全的破坏
[00:31:45.000 --> 00:31:47.000]  因为它只是捂下去了
[00:31:47.000 --> 00:31:49.000]  它很快就收起来了 对不对
[00:31:49.000 --> 00:31:51.000]  而且实际上真正的买点就是在这一点
[00:31:51.000 --> 00:31:53.000]  有同学的话
[00:31:53.000 --> 00:31:55.000]  这一根就是互施量
[00:31:55.000 --> 00:31:57.000]  我昨天讲的买点的那个
[00:31:57.000 --> 00:31:59.000]  拐点阳线的放量
[00:31:59.000 --> 00:32:01.000]  最差是什么
[00:32:01.000 --> 00:32:03.000]  最差是什么 备量
[00:32:03.000 --> 00:32:05.000]  还有量量
[00:32:05.000 --> 00:32:07.000]  来看有没有达到我们说的备量
[00:32:07.000 --> 00:32:09.000]  备量我说了不要对昨天
[00:32:09.000 --> 00:32:11.000]  对过去一个
[00:32:11.000 --> 00:32:13.000]  区间
[00:32:13.000 --> 00:32:15.000]  它是不是不够啊 所以有的把这里当
[00:32:15.000 --> 00:32:17.000]  买点的话会发现你
[00:32:17.000 --> 00:32:19.000]  基本上赚不了钱 这也是属于趋势中的
[00:32:19.000 --> 00:32:21.000]  然后整个一直在趋势正当向上的过程中
[00:32:21.000 --> 00:32:23.000]  这一天是不是写成了一个
[00:32:23.000 --> 00:32:25.000]  对这个钱高的一个突破
[00:32:25.000 --> 00:32:27.000]  对钱高的突破
[00:32:27.000 --> 00:32:29.000]  之后大家可以看一下
[00:32:29.000 --> 00:32:31.000]  是不是你看当天 包括第二天
[00:32:31.000 --> 00:32:33.000]  是不是都是可以分数都是可以买点
[00:32:33.000 --> 00:32:35.000]  然后再看前天量是不是如何
[00:32:35.000 --> 00:32:37.000]  对吧 这应该来讲
[00:32:37.000 --> 00:32:39.000]  比备量做好 比备量做大
[00:32:39.000 --> 00:32:41.000]  因为低于高量度 是不是
[00:32:41.000 --> 00:32:43.000]  形成了一个信用中的一个阳线
[00:32:43.000 --> 00:32:45.000]  然后随后
[00:32:45.000 --> 00:32:47.000]  这都是短线啊 跟咱讲的都是短线
[00:32:47.000 --> 00:32:49.000]  短线 你就按均线和坏线
[00:32:49.000 --> 00:32:51.000]  你看均线均线是不是都是正常持仗的
[00:32:51.000 --> 00:32:53.000]  出现分歧你就出
[00:32:53.000 --> 00:32:55.000]  短线啊 结果刚才讲的
[00:32:55.000 --> 00:32:57.000]  这三个都是短线集会
[00:32:57.000 --> 00:32:59.000]  为什么我没有卖点
[00:32:59.000 --> 00:33:01.000]  卖点我就一句话告诉到大家
[00:33:01.000 --> 00:33:03.000]  出现分歧就出
[00:33:03.000 --> 00:33:05.000]  出现那种大分歧
[00:33:05.000 --> 00:33:07.000]  你就可以卖了 你不要说
[00:33:07.000 --> 00:33:09.000]  我要等到一个阴线反包不够
[00:33:09.000 --> 00:33:11.000]  我再卖 短线阴线哪来的
[00:33:11.000 --> 00:33:13.000]  给你反包啊 本身就是筹码
[00:33:13.000 --> 00:33:15.000]  你想筹码切的就很少
[00:33:15.000 --> 00:33:17.000]  人家一天两天都卖掉了
[00:33:17.000 --> 00:33:19.000]  还给你反包呢
[00:33:19.000 --> 00:33:21.000]  短线就是出现分歧你就卖出
[00:33:21.000 --> 00:33:23.000]  出现分歧就卖出
[00:33:23.000 --> 00:33:25.000]  那同样的方法
[00:33:25.000 --> 00:33:29.000]  同样的方法大家来考虑一下
[00:33:29.000 --> 00:33:31.000]  怎么做波段 那就回到
[00:33:31.000 --> 00:33:33.000]  短线出现分歧就卖破
[00:33:33.000 --> 00:33:35.000]  同样的方法怎么做波段
[00:33:35.000 --> 00:33:37.000]  再来看这几个图
[00:33:43.000 --> 00:33:45.000]  铁刻轨道模型5
[00:33:45.000 --> 00:33:51.000]  新安股份
[00:33:51.000 --> 00:33:53.000]  模型1的变异
[00:33:53.000 --> 00:33:57.000]  蓝色光标
[00:33:57.000 --> 00:34:11.000]  德恩金光
[00:34:13.000 --> 00:34:15.000]  九远云海
[00:34:15.000 --> 00:34:17.000]  青川网络
[00:34:17.000 --> 00:34:19.000]  这几个都是有结构的
[00:34:19.000 --> 00:34:23.000]  青川网络 九远云海
[00:34:23.000 --> 00:34:25.000]  德恩金光
[00:34:25.000 --> 00:34:27.000]  蓝色光标
[00:34:27.000 --> 00:34:29.000]  新安股份 铁刻轨道
[00:34:29.000 --> 00:34:31.000]  再来把这几个图
[00:34:31.000 --> 00:34:33.000]  这几个大家会发现
[00:34:33.000 --> 00:34:35.000]  他们都是属于周线
[00:34:35.000 --> 00:34:37.000]  就是你做波段你就参考这几个图
[00:34:37.000 --> 00:34:39.000]  然后再来把这几个图
[00:34:39.000 --> 00:34:41.000]  你做波段你就参考这几个图
[00:34:41.000 --> 00:34:43.000]  做日线短线
[00:34:43.000 --> 00:34:45.000]  你就参考高残的三个图
[00:34:45.000 --> 00:34:47.000]  这就明摆了意思吧
[00:34:47.000 --> 00:34:49.000]  做波段你就用周线的周期
[00:34:49.000 --> 00:34:51.000]  来参考这几个图
[00:34:51.000 --> 00:35:03.000]  做波段
[00:35:03.000 --> 00:35:05.000]  请先画好结构
[00:35:05.000 --> 00:35:07.000]  123132
[00:35:07.000 --> 00:35:09.000]  把这个结构画好
[00:35:09.000 --> 00:35:11.000]  然后看这个311是怎么进攻的
