[00:00:00.000 --> 00:00:05.500]  好 我们准备开始了
[00:15:39.000 --> 00:15:40.500]  动是不是静止
[00:15:40.500 --> 00:15:43.000]  对不对
[00:15:43.000 --> 00:15:44.500]  套是静止
[00:15:44.500 --> 00:15:46.200]  你们发现这两个还不死的
[00:15:46.200 --> 00:15:47.300]  我们百分之
[00:15:47.300 --> 00:15:49.200]  就是真的主力的角度来讲
[00:15:49.200 --> 00:15:50.600]  就是把你给
[00:15:50.600 --> 00:15:52.000]  静止不动了
[00:15:52.000 --> 00:15:53.500]  对吧
[00:15:53.500 --> 00:15:54.200]  为什么呢
[00:15:54.200 --> 00:15:56.000]  只有静止不动的
[00:15:56.000 --> 00:15:58.500]  就接近的下一步
[00:15:58.500 --> 00:15:59.700]  只会跟什么
[00:15:59.700 --> 00:16:02.700]  静就是停住的人
[00:16:02.700 --> 00:16:03.700]  他下一步
[00:16:03.700 --> 00:16:06.000]  最强烈的一个心思是什么
[00:16:06.000 --> 00:16:06.700]  动动
[00:16:06.700 --> 00:16:07.700]  是不是就是动吧
[00:16:07.700 --> 00:16:09.500]  是不是就是动
[00:16:09.500 --> 00:16:11.700]  你不可能说我静在那里
[00:16:11.700 --> 00:16:14.800]  你所有个人你是你是动不得你不动
[00:16:14.800 --> 00:16:16.400]  所以你还处于静的过程中
[00:16:16.600 --> 00:16:18.800]  一旦有机会你就什么
[00:16:18.800 --> 00:16:21.000]  你就动如偷偷了是不是
[00:16:21.000 --> 00:16:22.300]  是不是这样子的
[00:16:22.300 --> 00:16:24.300]  那么把这两个就是我们说用
[00:16:24.300 --> 00:16:26.900]  用中国的这个我们说文字啊
[00:16:26.900 --> 00:16:29.100]  来理解这两个字
[00:16:29.100 --> 00:16:31.600]  那我们再把这两个字结合起来
[00:16:31.600 --> 00:16:33.500]  来解析主力的座盘
[00:16:33.500 --> 00:16:35.900]  你会发现真的太有意思了
[00:16:35.900 --> 00:16:37.300]  好回到这里
[00:16:37.300 --> 00:16:38.800]  回到这一个
[00:16:38.800 --> 00:16:41.400]  那么我们讲的解他首先是一个动词
[00:16:41.400 --> 00:16:42.800]  回到我们股票上
[00:16:42.800 --> 00:16:43.900]  解决什么
[00:16:46.300 --> 00:16:47.100]  解决的什么
[00:16:47.100 --> 00:16:48.200]  是不是解决问题啊
[00:16:48.200 --> 00:16:50.000]  在那说解放解决
[00:16:50.000 --> 00:16:52.000]  对吧我解手
[00:16:52.000 --> 00:16:54.100]  是不是解决的是什么
[00:16:54.100 --> 00:16:56.700]  解解决的是什么
[00:16:56.700 --> 00:16:58.800]  解决的是问题吧
[00:16:58.800 --> 00:17:00.700]  解脱也是解决问题吧
[00:17:00.700 --> 00:17:01.300]  对不对
[00:17:01.300 --> 00:17:02.900]  是不是解决问题啊
[00:17:02.900 --> 00:17:04.500]  那么我们来思考一下
[00:17:04.500 --> 00:17:06.600]  股市上最大的问题是什么
[00:17:06.600 --> 00:17:11.900]  股市最大的问题是什么
[00:17:11.900 --> 00:17:14.100]  就是我没有什么
[00:17:15.200 --> 00:17:17.700]  我想要就比如说我们讲
[00:17:17.700 --> 00:17:19.900]  这个大家做企业应该更有意思
[00:17:19.900 --> 00:17:22.700]  我想要在这个行业站到老大
[00:17:22.700 --> 00:17:24.200]  我就去收购吧
[00:17:24.200 --> 00:17:25.700]  对不对
[00:17:25.700 --> 00:17:27.900]  对吧我现在是不是老大
[00:17:27.900 --> 00:17:29.700]  但是我有钱我钱多呀
[00:17:29.700 --> 00:17:31.200]  我就收购嘛
[00:17:31.200 --> 00:17:34.400]  全部贵入于我的集团之下了
[00:17:34.400 --> 00:17:36.500]  那不是解决问题我说了算吗
[00:17:36.500 --> 00:17:38.000]  我控股吗对不对
[00:17:38.000 --> 00:17:40.400]  那么反过来回到股加上是不是两个
[00:17:40.400 --> 00:17:41.800]  是不是就是变到的什么
[00:17:41.800 --> 00:17:43.500]  筹码呀
[00:17:44.800 --> 00:17:46.000]  是不是筹码的问题啊
[00:17:46.000 --> 00:17:47.400]  解决就是筹码的问题
[00:17:47.400 --> 00:17:49.700]  那么筹码也是两个字啊
[00:17:49.700 --> 00:17:50.500]  收购啊
[00:17:50.500 --> 00:17:53.700]  是不是收购筹码的问题啊
[00:17:53.700 --> 00:17:56.300]  所以我们来讲回到就是解
[00:17:56.300 --> 00:17:58.500]  他的一个动词
[00:17:58.500 --> 00:18:01.400]  他的意义回到股市上
[00:18:01.400 --> 00:18:02.200]  就是我们说的
[00:18:02.200 --> 00:18:03.500]  要解决问题
[00:18:03.500 --> 00:18:06.400]  而股市上的问题就是筹码的问题
[00:18:06.400 --> 00:18:07.700]  解决什么
[00:18:07.700 --> 00:18:10.100]  那么既然是筹码跟我们说收购
[00:18:10.100 --> 00:18:12.500]  你强你收购的是什么样的一个公司
[00:18:12.500 --> 00:18:14.500]  不如你的公司吗
[00:18:15.100 --> 00:18:16.500]  是不是不如你的公司
[00:18:16.500 --> 00:18:19.000]  或者是公司发展经营不下去的公司
[00:18:19.000 --> 00:18:19.700]  对不对
[00:18:19.700 --> 00:18:22.700]  是不是就是目前在困境边缘的
[00:18:22.700 --> 00:18:24.600]  否则你怎么会愿意人家收购吗
[00:18:24.600 --> 00:18:26.100]  我自己做的好好的专长好的
[00:18:26.100 --> 00:18:28.500]  为什么让你收购我拒绝对吧
[00:18:28.500 --> 00:18:31.300]  我现在困境中边缘扎了什么
[00:18:31.300 --> 00:18:32.300]  挣扎
[00:18:32.300 --> 00:18:34.700]  正好你可以让我轻轻松松的
[00:18:34.700 --> 00:18:36.000]  对吧都能出局
[00:18:36.000 --> 00:18:37.700]  我很开心的卖给你
[00:18:37.700 --> 00:18:40.800]  是不是解决收购的是有问题的呀
[00:18:40.800 --> 00:18:43.500]  也就是反过来说
[00:18:43.500 --> 00:18:46.100]  只有有问题的才愿意被收购
[00:18:46.100 --> 00:18:47.300]  对不对
[00:18:47.300 --> 00:18:49.200]  那回到股市上也是一样的
[00:18:49.200 --> 00:18:51.200]  我们要去解决问题
[00:18:51.200 --> 00:18:53.300]  为什么我说扭转的这一波不做
[00:18:53.300 --> 00:18:54.000]  你们好好听啊
[00:18:54.000 --> 00:18:55.700]  就是这个环节再次强调
[00:18:55.700 --> 00:18:57.700]  为什么有效扭转的是一个不做
[00:18:57.700 --> 00:19:01.000]  有效扭转的这一波就是在解决这个什么
[00:19:01.000 --> 00:19:03.900]  在收购有问题的
[00:19:03.900 --> 00:19:06.600]  我已经边临什么
[00:19:06.600 --> 00:19:08.600]  边临生死边缘的
[00:19:08.600 --> 00:19:10.000]  只要你不让我什么
[00:19:10.000 --> 00:19:11.600]  只要能让我贫血的
[00:19:11.600 --> 00:19:13.800]  对吧现在网络上很多段子
[00:19:13.800 --> 00:19:16.600]  亏了100万人是亏了30万
[00:19:16.600 --> 00:19:18.700]  我经常不知道情怪的刷到这些的
[00:19:18.700 --> 00:19:20.200]  现在都是图文
[00:19:20.200 --> 00:19:22.600]  对吧还不是视频太长的
[00:19:22.600 --> 00:19:24.200]  都是什么什么什么
[00:19:24.200 --> 00:19:27.200]  前两天还刷到一套210万的房子买进去
[00:19:27.200 --> 00:19:28.900]  最后亏了100多个
[00:19:28.900 --> 00:19:31.000]  要么就是房子亏钱的
[00:19:31.000 --> 00:19:32.400]  要么就是不是亏钱的
[00:19:32.400 --> 00:19:34.100]  我真的不想刷到这些信息
[00:19:34.100 --> 00:19:36.600]  我想看谁50万多到1个亿的
[00:19:36.600 --> 00:19:38.300]  100万多到3个亿的
[00:19:38.300 --> 00:19:40.100]  我想看这种信息给我呀
[00:19:40.900 --> 00:19:42.900]  对吧就是就是我们所说的
[00:19:42.900 --> 00:19:44.200]  就是解决问题
[00:19:44.200 --> 00:19:47.000]  因为我们会发现所有这个所有的信息
[00:19:47.000 --> 00:19:50.400]  负面的信息都比正面的多的太多了
[00:19:50.400 --> 00:19:53.200]  负面可能真的达到了90%以上
[00:19:53.200 --> 00:19:55.200]  你要悬求那个10%的
[00:19:55.200 --> 00:19:57.600]  让你积极向上的信息就很难搜索
[00:19:57.600 --> 00:19:58.400]  大家认同吧
[00:19:58.400 --> 00:20:01.200]  这种环境那股票我们回到了股东
[00:20:01.200 --> 00:20:03.900]  所以我们解决问题是筹码的问题
[00:20:03.900 --> 00:20:06.200]  就近就要解决的筹码的问题
[00:20:06.200 --> 00:20:07.900]  我们不可能解决很晚的
[00:20:07.900 --> 00:20:09.200]  所以我们来回
[00:20:10.300 --> 00:20:12.300]  再回到我们所说的这个有效的
[00:20:12.300 --> 00:20:12.800]  就是什么
[00:20:12.800 --> 00:20:15.500]  有效的这个扭转没事可以
[00:20:15.500 --> 00:20:18.900]  有效的这个扭转的这个环节
[00:20:18.900 --> 00:20:22.200]  解决问题回到股价上是什么
[00:20:22.200 --> 00:20:26.600]  是不是就是我们说的扭转和突破
[00:20:26.600 --> 00:20:29.300]  因为所有的解决问题
[00:20:29.300 --> 00:20:30.600]  我们要从本心上
[00:20:30.600 --> 00:20:32.000]  就要做生意的本心上
[00:20:32.000 --> 00:20:33.100]  你平平给我
[00:20:33.100 --> 00:20:33.800]  我是不卖的
[00:20:33.800 --> 00:20:35.000]  那我再继续扛好
[00:20:35.000 --> 00:20:38.000]  要给你有一定的力
[00:20:38.000 --> 00:20:39.600]  幼稚吗
[00:20:40.100 --> 00:20:42.600]  你幼稚你才愿意
[00:20:42.600 --> 00:20:43.500]  放手吗
[00:20:43.500 --> 00:20:44.100]  对不对
[00:20:44.100 --> 00:20:47.400]  所以同样的我们在股市上解决问题
[00:20:47.400 --> 00:20:50.400]  你说啊我这个给别人稍微对吧
[00:20:50.400 --> 00:20:53.100]  回本稍微赚点钱
[00:20:53.100 --> 00:20:54.700]  少赚点钱
[00:20:54.700 --> 00:20:55.900]  你都不愿意
[00:20:55.900 --> 00:20:58.500]  你怎么可能说啊我做大做强
[00:20:58.500 --> 00:21:02.300]  就是从解的问题是不是就给看出来了
[00:21:02.300 --> 00:21:04.500]  从解这个字就可以看出来
[00:21:04.500 --> 00:21:06.400]  回到我们所说的突破
[00:21:06.400 --> 00:21:08.700]  为什么有的时候突破
[00:21:08.700 --> 00:21:11.000]  他转多之后又回下来了
[00:21:11.000 --> 00:21:14.100]  就是因为他在解决问题的时候什么
[00:21:14.100 --> 00:21:15.500]  不愿意
[00:21:15.500 --> 00:21:18.000]  我就不愿意给你多转一丢丢
[00:21:18.000 --> 00:21:19.800]  对吧
[00:21:19.800 --> 00:21:21.800]  我就不愿意去让你解套
[00:21:21.800 --> 00:21:24.100]  所以他解决问题之后
[00:21:24.100 --> 00:21:26.300]  因为解决问题需要的是什么
[00:21:26.300 --> 00:21:29.400]  所有不管是股市还是生意
[00:21:29.400 --> 00:21:30.600]  哪怕是人情
[00:21:30.600 --> 00:21:32.200]  都是什么
[00:21:32.200 --> 00:21:34.300]  钱能解决问题的
[00:21:34.300 --> 00:21:36.000]  大家认同吧
[00:21:36.400 --> 00:21:38.900]  这叫什么这叫规律
[00:21:38.900 --> 00:21:41.100]  不叫市里叫规律
[00:21:41.100 --> 00:21:43.000]  但我是这么来理解的
[00:21:43.000 --> 00:21:45.200]  就是你需要花钱来解决问题
[00:21:45.200 --> 00:21:47.100]  那么钱是有限的
[00:21:47.100 --> 00:21:50.400]  那么在花钱解决问题的过程中
[00:21:50.400 --> 00:21:52.400]  你不愿意给别人毛利
[00:21:52.400 --> 00:21:54.600]  你就达不到你所想要的什么
[00:21:54.600 --> 00:21:56.000]  预期
[00:21:56.000 --> 00:21:57.100]  是这样吧
[00:21:57.100 --> 00:21:59.300]  所以我们来看突破的过程中
[00:21:59.300 --> 00:22:01.300]  他转也转多了
[00:22:01.300 --> 00:22:03.800]  或者是根本就不敢转多
[00:22:03.800 --> 00:22:06.100]  就是因为他在解决问题的时候
[00:22:06.100 --> 00:22:08.000]  他发现了更大的问题
[00:22:08.000 --> 00:22:10.400]  他发现我慢慢慢慢买家就出
[00:22:10.400 --> 00:22:11.900]  我能解决一小部分的问题
[00:22:11.900 --> 00:22:13.200]  发现更多的人
[00:22:13.200 --> 00:22:13.500]  对吧
[00:22:13.500 --> 00:22:15.300]  这个逼你什么
[00:22:15.300 --> 00:22:17.400]  逼你生死的人太多了
[00:22:17.400 --> 00:22:20.200]  我好不容易给我少分20%的我出了
[00:22:20.200 --> 00:22:23.300]  反正我已经对股市失去失去信心了
[00:22:23.300 --> 00:22:24.800]  是不是这样的
[00:22:24.800 --> 00:22:25.500]  我出了
[00:22:25.500 --> 00:22:28.300]  所以在解决问题的时候发现什么
[00:22:28.300 --> 00:22:30.540]  本来预期可能哎多少多少
[00:22:30.540 --> 00:22:32.300]  多少服从我能接得住的
[00:22:32.300 --> 00:22:33.900]  结果发现接不住了
[00:22:33.900 --> 00:22:35.100]  接不住你怎么办
[00:22:35.300 --> 00:22:36.700]  你收购了收购了三家
[00:22:36.700 --> 00:22:38.300]  发现更多人找你上面收购
[00:22:38.300 --> 00:22:38.900]  你怎么办
[00:22:38.900 --> 00:22:40.500]  不收购了收紧关口
[00:22:40.500 --> 00:22:41.800]  再看一看
[00:22:41.800 --> 00:22:44.300]  是不是就是这么一个一个一个
[00:22:44.300 --> 00:22:45.100]  又回事
[00:22:45.100 --> 00:22:46.400]  然后发现再看一看
[00:22:46.400 --> 00:22:48.300]  你不收购的过程中你肯定是什么
[00:22:48.300 --> 00:22:49.600]  价格也降低吗
[00:22:49.600 --> 00:22:50.500]  对吧
[00:22:50.500 --> 00:22:52.600]  本来我准备一个一个东西
[00:22:52.600 --> 00:22:54.300]  可以收购你家公司的
[00:22:54.300 --> 00:22:55.800]  7000万收购你要不要
[00:22:55.800 --> 00:22:56.300]  对吧
[00:22:56.300 --> 00:22:57.300]  我往下压吗
[00:22:57.300 --> 00:22:59.500]  你要不要你不要就算了
[00:22:59.500 --> 00:23:01.400]  什么因为人多吗
[00:23:01.400 --> 00:23:02.800]  公司关系吗
[00:23:02.800 --> 00:23:04.700]  好再来回到
[00:23:04.700 --> 00:23:06.100]  这就是为什么失败的
[00:23:06.100 --> 00:23:08.200]  为什么我说一定要把这个一走出来
[00:23:08.200 --> 00:23:09.800]  从仇的角度来理解
[00:23:09.800 --> 00:23:11.800]  那么我再来看哎
[00:23:11.800 --> 00:23:13.100]  后面又来了
[00:23:13.100 --> 00:23:14.600]  又来了一个解决问题
[00:23:14.600 --> 00:23:17.000]  但这个解决问题呢就很强
[00:23:17.000 --> 00:23:19.100]  有钱有高亮度
[00:23:19.100 --> 00:23:20.700]  有倦量度有贝亮度
[00:23:20.700 --> 00:23:22.800]  同时呢价格啊
[00:23:22.800 --> 00:23:25.100]  就是我们刚才讲到做股票
[00:23:25.100 --> 00:23:27.300]  真的遵守比方真的太有意思了
[00:23:27.300 --> 00:23:29.200]  叫什么预先
[00:23:29.200 --> 00:23:31.900]  就是这我刚才讲的利而幼之
[00:23:32.900 --> 00:23:35.000]  是不是叫利而幼之啊
[00:23:35.000 --> 00:23:38.900]  我们说你想要得到什么
[00:23:38.900 --> 00:23:41.000]  利而幼之是最好达到的
[00:23:41.000 --> 00:23:42.600]  那就认同吧
[00:23:42.600 --> 00:23:44.000]  是不是这样子
[00:23:44.000 --> 00:23:46.500]  所以ok 我们这次什么我给你利
[00:23:46.500 --> 00:23:48.200]  让你解套
[00:23:48.200 --> 00:23:50.600]  甚至让小部分人还能赚钱
[00:23:50.600 --> 00:23:54.000]  因为我们刚才讲到套是一个什么
[00:23:54.000 --> 00:23:55.400]  动词
[00:23:55.400 --> 00:23:58.700]  你这我们所说的一个你是被套的
[00:23:58.700 --> 00:24:00.000]  你的心已经是吧
[00:24:00.000 --> 00:24:02.200]  你的就是你的筹码就死在那里了
[00:24:02.200 --> 00:24:02.800]  对不对
[00:24:02.800 --> 00:24:05.000]  但是动完之后的唯一的什么
[00:24:05.000 --> 00:24:06.200]  没有变化的就是动
[00:24:06.200 --> 00:24:08.300]  套进的时候唯一的变化就是动
[00:24:08.300 --> 00:24:10.300]  所以如何让你动
[00:24:10.300 --> 00:24:11.700]  利而幼之
[00:24:11.700 --> 00:24:13.400]  给你什么
[00:24:13.400 --> 00:24:14.700]  给你一点机会
[00:24:14.700 --> 00:24:16.500]  给你一点毛利让你解套
[00:24:16.500 --> 00:24:18.100]  哎发现来了这么一个
[00:24:18.100 --> 00:24:21.200]  对吧有雄心有大志的人
[00:24:21.200 --> 00:24:22.400]  给他解
[00:24:22.400 --> 00:24:23.700]  解决了问题
[00:24:23.700 --> 00:24:25.500]  当然他不可能解决所有的问题啊
[00:24:25.500 --> 00:24:26.700]  只能解决一部分的问题
[00:24:26.700 --> 00:24:27.300]  对不对
[00:24:27.300 --> 00:24:29.700]  那么在解决一部分的问题的过程中
[00:24:29.700 --> 00:24:31.500]  他也不会说我解决啊
[00:24:31.500 --> 00:24:32.900]  在往上在往上在往上
[00:24:32.900 --> 00:24:35.300]  你就发现所有在往上在往上在往上
[00:24:35.300 --> 00:24:37.600]  一定是在过去下跌反弹
[00:24:37.600 --> 00:24:39.400]  震荡过程中
[00:24:39.400 --> 00:24:42.500]  他已经用多次的弱势已经解决的问题了
[00:24:42.500 --> 00:24:45.300]  他才能耳联的均线直直直向上
[00:24:45.300 --> 00:24:47.000]  所以他没有解决问题的
[00:24:47.000 --> 00:24:48.700]  他解决了一定的程度之后
[00:24:48.700 --> 00:24:49.900]  他不会再解决了
[00:24:49.900 --> 00:24:53.200]  对吧给到你毛利了你不出你贪心了
[00:24:53.200 --> 00:24:54.200]  对吧贪心不足
[00:24:54.200 --> 00:24:56.000]  舌尊相又回到了什么
[00:24:56.000 --> 00:24:58.600]  因为本身他自己也没有达到说我一统
[00:24:58.600 --> 00:25:00.100]  我一统天下
[00:25:00.300 --> 00:25:02.300]  我在尝试我在试对不对
[00:25:02.300 --> 00:25:04.300]  那他又会制造一个套
[00:25:04.300 --> 00:25:08.100]  解决一定的程度的问题之后
[00:25:08.100 --> 00:25:10.800]  是不是收购了一部分筹码呀
[00:25:10.800 --> 00:25:13.600]  是不是收购了一部分的筹码
[00:25:13.600 --> 00:25:16.300]  然后他又会再制造一个套
[00:25:16.300 --> 00:25:20.300]  因为当他解决问题的时候我们人是这样子的
[00:25:20.300 --> 00:25:24.000]  都不管是做股票还是做房子都是一个特点
[00:25:24.000 --> 00:25:25.500]  看涨看跌
[00:25:25.500 --> 00:25:27.400]  看涨大家都看涨
[00:25:27.400 --> 00:25:29.300]  看跌大家都看跌
[00:25:29.300 --> 00:25:30.900]  大家发现这个特性没有
[00:25:30.900 --> 00:25:32.900]  这应该也是人之本性吧
[00:25:32.900 --> 00:25:37.100]  对吧因为我们不看涨是有一个安全憋气的样
[00:25:37.100 --> 00:25:39.200]  看跌是没有安全憋气的
[00:25:39.200 --> 00:25:40.500]  大家说是不是这样
[00:25:40.500 --> 00:25:42.200]  所以ok我们又回到了
[00:25:42.200 --> 00:25:44.000]  当这个位置解决问题的时候
[00:25:44.000 --> 00:25:46.200]  股价肯定会引起波动的上涨
[00:25:46.200 --> 00:25:47.800]  因为利而又之嘛
[00:25:47.800 --> 00:25:49.500]  利而又之什么空间嘛
[00:25:49.500 --> 00:25:53.300]  给你空间有不空间波动才能有利而又之嘛
[00:25:53.300 --> 00:25:54.800]  又会有跟踪盘
[00:25:54.800 --> 00:25:58.100]  又解决了过去的筹码的一些什么就是
[00:25:58.300 --> 00:25:59.400]  有有迈盘
[00:25:59.400 --> 00:26:01.300]  那也有些犹豫的
[00:26:01.300 --> 00:26:03.700]  所以他的筹码是很不稳定的
[00:26:03.700 --> 00:26:05.600]  大家明白我意思吗
[00:26:05.600 --> 00:26:09.300]  这也是为何我们说在有效扭转就是多转空的这一步
[00:26:09.300 --> 00:26:10.700]  不要大家做的原因
[00:26:10.700 --> 00:26:13.300]  因为这一段其实是不确定的
[00:26:13.300 --> 00:26:15.700]  而且他在利而又之的时候
[00:26:15.700 --> 00:26:18.100]  到底准备用多大的力
[00:26:18.100 --> 00:26:20.900]  多高的力量空间利而又之是不知道的
[00:26:20.900 --> 00:26:23.500]  我们看到有的涨了70%
[00:26:23.500 --> 00:26:25.400]  有的涨了30%有的涨了20%
[00:26:25.400 --> 00:26:27.300]  甚至有的可能就涨了十五七八个点
[00:26:27.400 --> 00:26:28.400]  我们是不知道的
[00:26:28.400 --> 00:26:29.500]  余茂天是没有
[00:26:29.500 --> 00:26:31.000]  但他不会持续
[00:26:31.000 --> 00:26:33.000]  因为他这里的筹码不稳定
[00:26:33.000 --> 00:26:34.800]  他会再次制造一个套
[00:26:34.800 --> 00:26:37.300]  这个套就是代表我们说从
[00:26:37.300 --> 00:26:39.400]  从结构的角度上进入的什么
[00:26:39.400 --> 00:26:40.600]  啊
[00:26:40.600 --> 00:26:45.100]  那这个套的过程之中又是一种很强大的一个心理的一个博弈
[00:26:45.100 --> 00:26:45.700]  对不对
[00:26:45.700 --> 00:26:47.100]  然后我又回来了
[00:26:47.100 --> 00:26:48.800]  这个套这是解
[00:26:48.800 --> 00:26:50.500]  这是套
[00:26:50.500 --> 00:26:52.900]  套完之后心态又什么
[00:26:52.900 --> 00:26:55.100]  被套的筹码是又静止的
[00:26:55.900 --> 00:26:59.000]  在静止的过程中为什么说必闹要放量
[00:26:59.000 --> 00:27:02.700]  必闹反弹的时候让你什么动一动
[00:27:02.700 --> 00:27:03.800]  对吧
[00:27:03.800 --> 00:27:06.800]  静止的人给你一点力小力之动一动
[00:27:06.800 --> 00:27:09.300]  然后在这个c的下跌的过程中
[00:27:09.300 --> 00:27:11.200]  是不是经常会有阳线的弹药
[00:27:11.200 --> 00:27:12.900]  调整不是一直是阴线吗
[00:27:12.900 --> 00:27:14.200]  就我们刚才看到的
[00:27:14.200 --> 00:27:16.900]  一个破坏阴之后跟几根体重可以线
[00:27:16.900 --> 00:27:17.700]  对吧
[00:27:17.700 --> 00:27:19.500]  就是力小力而又之
[00:27:19.500 --> 00:27:20.300]  你出来吧
[00:27:20.300 --> 00:27:22.500]  这个你看大跌之后我都给你机会出来
[00:27:22.500 --> 00:27:23.200]  你快出来
[00:27:23.200 --> 00:27:23.900]  对吧
[00:27:23.900 --> 00:27:25.800]  你不出来后面又是一个破坏阴线
[00:27:25.900 --> 00:27:26.700]  你也就走了
[00:27:26.700 --> 00:27:29.500]  看一看k线技术的人是不是这样子的
[00:27:29.500 --> 00:27:30.600]  你也就走了
[00:27:30.600 --> 00:27:31.900]  然后你再不走对吧
[00:27:31.900 --> 00:27:33.400]  那我再放在里面吗
[00:27:33.400 --> 00:27:34.600]  再反弹一下
[00:27:34.600 --> 00:27:36.800]  让你解套小解套
[00:27:36.800 --> 00:27:38.100]  然后你不走是吧
[00:27:38.100 --> 00:27:39.100]  我又一个阴线
[00:27:39.100 --> 00:27:42.400]  你一般人是吃不了几根阴线的
[00:27:42.400 --> 00:27:44.500]  哪怕这个阴线不亏钱
[00:27:44.500 --> 00:27:45.500]  为什么呢
[00:27:45.500 --> 00:27:46.800]  人有一个本心
[00:27:46.800 --> 00:27:49.100]  就是我们会有个特点
[00:27:49.100 --> 00:27:51.800]  认为那个拉上去的那个
[00:27:51.800 --> 00:27:54.600]  少女线的最高点的那个财富也是我的
[00:27:55.900 --> 00:27:56.800]  哈哈哈
[00:27:56.800 --> 00:27:58.300]  是不是这样
[00:27:58.300 --> 00:28:01.200]  就是你不会觉得那个上一线的最高价值
[00:28:01.200 --> 00:28:02.200]  才不是我的
[00:28:02.200 --> 00:28:03.300]  对吧
[00:28:03.300 --> 00:28:05.100]  你那个上一线的最高价的财富
[00:28:05.100 --> 00:28:06.300]  你看他赚不多动
[00:28:06.300 --> 00:28:07.800]  今天赚了比上的多少
[00:28:07.800 --> 00:28:10.300]  然后当刚那个上一线的价格回下来的时候
[00:28:10.300 --> 00:28:11.200]  你不会觉得哦
[00:28:11.200 --> 00:28:12.000]  这不回下来
[00:28:12.000 --> 00:28:15.100]  你会把回下来的上一线的最高价的财富都算成自己的
[00:28:15.100 --> 00:28:16.700]  我今天对吧
[00:28:16.700 --> 00:28:17.600]  本来可以这样做
[00:28:17.600 --> 00:28:18.800]  现在回下来多少
[00:28:18.800 --> 00:28:19.900]  好了这还没事
[00:28:19.900 --> 00:28:21.100]  你心里可能还ok
[00:28:21.100 --> 00:28:23.200]  第二天再来一个阴线
[00:28:23.300 --> 00:28:25.900]  你从上一线的最高价到这个阴线收盘价
[00:28:25.900 --> 00:28:27.100]  都会算成是你的财富
[00:28:27.100 --> 00:28:28.300]  你应该赚收益了
[00:28:28.300 --> 00:28:30.000]  这是人性的坐点
[00:28:30.000 --> 00:28:31.500]  大家为什么聊这些
[00:28:31.500 --> 00:28:34.600]  资金在坐盘充分利用人性的坐点
[00:28:34.600 --> 00:28:36.800]  大家明白我意思没有
[00:28:36.800 --> 00:28:39.200]  如果说你仅仅了解技术
[00:28:39.200 --> 00:28:41.400]  所以我每次都在第三天来讲这些
[00:28:41.400 --> 00:28:43.400]  你仅仅只是从技术的层面
[00:28:43.400 --> 00:28:45.400]  我只能说台词太粗了
[00:28:45.400 --> 00:28:46.700]  太粗浅了
[00:28:46.700 --> 00:28:48.900]  一定要从
[00:28:48.900 --> 00:28:50.800]  人性的角度
[00:28:50.800 --> 00:28:53.200]  为什么这么做的角度去考虑问题
[00:28:53.300 --> 00:28:54.900]  你再解读这个图
[00:28:54.900 --> 00:28:56.700]  你的感受就不一样了
[00:28:56.700 --> 00:28:58.200]  那我们再回到
[00:28:58.200 --> 00:29:00.400]  所以我们讲调整形态的时候要缩量
[00:29:00.400 --> 00:29:01.800]  缩量的运气是什么
[00:29:01.800 --> 00:29:04.400]  你解决了问题的这个手腕就不能出局
[00:29:04.400 --> 00:29:06.100]  你别啪解决之后
[00:29:06.100 --> 00:29:07.900]  运气就什么你就气蕉而逃了
[00:29:07.900 --> 00:29:10.400]  是不是这里调整就会高位就会放大量了
[00:29:10.400 --> 00:29:12.000]  是不是
[00:29:12.000 --> 00:29:13.400]  那你高位不放量
[00:29:13.400 --> 00:29:15.300]  相对缩量是不是解决完之后
[00:29:15.300 --> 00:29:17.900]  我反正什么我下一个没有出
[00:29:17.900 --> 00:29:20.200]  你没有出肯定还有运气进化
[00:29:20.200 --> 00:29:21.800]  所有都是运气啊
[00:29:22.600 --> 00:29:24.200]  所以进入一个 abc 里面
[00:29:24.200 --> 00:29:25.900]  abc 里面我们刚才讲到了
[00:29:25.900 --> 00:29:27.900]  解决问题的时候是不具备什么
[00:29:27.900 --> 00:29:29.600]  不具备说我一统江山的
[00:29:29.600 --> 00:29:32.400]  我还在还在什么还在博弈中
[00:29:32.400 --> 00:29:35.200]  有可能我们说讲的
[00:29:35.200 --> 00:29:38.000]  好了博着博着博着把自己又博到什么
[00:29:38.000 --> 00:29:40.300]  自己也把自己们套里面去了
[00:29:40.300 --> 00:29:41.500]  对吧
[00:29:41.500 --> 00:29:44.000]  那最次的就是你把自己套里面
[00:29:44.000 --> 00:29:45.300]  你看低一点的手腕
[00:29:45.300 --> 00:29:47.200]  所以我们看 abc 有转空的
[00:29:47.200 --> 00:29:50.300]  因为所有所有的操作啊
[00:29:50.300 --> 00:29:52.500]  他就是跟着就是所有的操作
[00:29:52.500 --> 00:29:55.900]  都有一种叫 wush 这他是一个立体
[00:29:55.900 --> 00:30:00.600]  任何人包括我们说的资金做盘也是一个立体
[00:30:00.600 --> 00:30:03.400]  大家不要把觉得主力一定怎么样一定怎么样
[00:30:03.400 --> 00:30:06.000]  他也违抗不了天时
[00:30:06.000 --> 00:30:09.800]  他也没法违抗的了封口什么时候呈现
[00:30:09.800 --> 00:30:11.300]  大家能没有意思吧
[00:30:11.300 --> 00:30:13.400]  这是这是难以去
