[00:00:00.000 --> 00:00:02.500]  还怕啥 机会肯定是多于风险的
[00:25:35.600 --> 00:25:37.600]  转空了我说过了
[00:25:37.600 --> 00:25:39.600]  风范体系都是一样的
[00:25:39.600 --> 00:25:41.600]  只要你价格的下跌
[00:25:41.600 --> 00:25:43.600]  把5和10带到20的下方
[00:25:43.600 --> 00:25:45.600]  就叫空头
[00:25:45.600 --> 00:25:47.600]  就要什么重新
[00:25:47.600 --> 00:25:49.600]  扭转就要重新扭转
[00:25:49.600 --> 00:25:51.600]  这两天的上涨是不是重新把
[00:25:51.600 --> 00:25:53.600]  5和10带到为多头
[00:25:53.600 --> 00:25:55.600]  然后在这里调整
[00:25:55.600 --> 00:25:57.600]  调整完到这一天是不是反包这个
[00:25:57.600 --> 00:25:59.600]  是明线是不是就是买点
[00:25:59.600 --> 00:26:01.600]  这一天反包就是我们说的
[00:26:01.600 --> 00:26:03.600]  短线买点
[00:26:03.600 --> 00:26:05.600]  那么昨天上涨包括
[00:26:05.600 --> 00:26:07.600]  今天版今天封版量还可以
[00:26:07.600 --> 00:26:09.600]  明天冲高就是什么
[00:26:09.600 --> 00:26:11.600]  走人了这就是短线
[00:26:11.600 --> 00:26:13.600]  大家能没有意思没有
[00:26:13.600 --> 00:26:15.600]  我把短线放在板块的各股的角度去切入了啊
[00:26:15.600 --> 00:26:17.600]  因为知识体系是一样的灵活
[00:26:17.600 --> 00:26:19.600]  那我们再来看
[00:26:19.600 --> 00:26:25.600]  星辰科技是不是也是一样的
[00:26:27.600 --> 00:26:29.600]  这个已经什么
[00:26:29.600 --> 00:26:31.600]  完成了一个空间了
[00:26:31.600 --> 00:26:33.600]  这个买点没那么友好
[00:26:33.600 --> 00:26:35.600]  我觉得昨天那个也是属于
[00:26:35.600 --> 00:26:37.600]  不是那么友好的
[00:26:37.600 --> 00:26:39.600]  安达尔这个大家可以看看
[00:26:39.600 --> 00:26:41.600]  就我们叫什么
[00:26:41.600 --> 00:26:43.600]  怎么说呢
[00:26:43.600 --> 00:26:45.600]  不咋好看
[00:26:45.600 --> 00:26:47.600]  太乱了
[00:26:47.600 --> 00:26:49.600]  对吧你是趋势多头
[00:26:49.600 --> 00:26:51.600]  但是你这里的调整包括今天这个反攻
[00:26:51.600 --> 00:26:53.600]  对吧你收盘目前还没有
[00:26:53.600 --> 00:26:55.600]  还45还是55分钟收盘的
[00:26:55.600 --> 00:26:57.600]  你这个价格过不过得去都是不确定的
[00:26:57.600 --> 00:26:59.600]  那如果说过不去
[00:26:59.600 --> 00:27:01.600]  这个可以先告诉我
[00:27:01.600 --> 00:27:03.600]  是不是就是一个短线又多了
[00:27:03.600 --> 00:27:05.600]  对吧因为低空的股票那么多
[00:27:05.600 --> 00:27:07.600]  不代表每个都涨
[00:27:07.600 --> 00:27:09.600]  那这个就是不符合要求的了啊
[00:27:09.600 --> 00:27:11.600]  你就一个一个卡符合要求来讲
[00:27:11.600 --> 00:27:13.600]  你像这个这个是什么这天进行反包的对不对
[00:27:13.600 --> 00:27:15.600]  是不是有些有效扭转然后在这个
[00:27:15.600 --> 00:27:17.600]  阴线这么大的量
[00:27:17.600 --> 00:27:19.600]  这天居然能够去反包它
[00:27:19.600 --> 00:27:21.600]  不要超过这个量
[00:27:21.600 --> 00:27:23.600]  这是一个短线两天资金进场
[00:27:23.600 --> 00:27:25.600]  短线洗盘照这里进行一个反包
[00:27:25.600 --> 00:27:29.600]  对吧今天冲高级是属于什么
[00:27:29.600 --> 00:27:31.600]  也是属于在拉升
[00:27:31.600 --> 00:27:33.600]  短线就是15分钟级别
[00:27:33.600 --> 00:27:35.600]  就是几十个点
[00:27:35.600 --> 00:27:37.600]  这种就是不符合要求
[00:27:37.600 --> 00:27:39.600]  这种也不符合要求
[00:27:39.600 --> 00:27:41.600]  大家自己去慢慢看就看出感觉了
[00:27:41.600 --> 00:27:43.600]  这个是不是
[00:27:43.600 --> 00:27:45.600]  符合要求
[00:27:45.600 --> 00:27:47.600]  对吧那符合要求
[00:27:47.600 --> 00:27:49.600]  今天这个就属于什么
[00:27:49.600 --> 00:27:51.600]  就是这个把我们就叫
[00:27:51.600 --> 00:27:53.600]  开甲放水
[00:27:53.600 --> 00:27:55.600]  因为它今天的这个K线
[00:27:55.600 --> 00:27:57.600]  你看上涨趋势多头
[00:27:57.600 --> 00:27:59.600]  模型4对不对
[00:27:59.600 --> 00:28:01.600]  是不是这个量大于前面
[00:28:01.600 --> 00:28:03.600]  模型4ABC趋势多头今天是不是反包
[00:28:03.600 --> 00:28:05.600]  反包把这几根
[00:28:05.600 --> 00:28:07.600]  这个阴线是不是全部收住了
[00:28:07.600 --> 00:28:09.600]  对吧那我们就是一个短线的
[00:28:09.600 --> 00:28:11.600]  下周短线的一个溢价空间
[00:28:11.600 --> 00:28:13.600]  这个不符合要求
[00:28:13.600 --> 00:28:15.600]  这个不符合要求
[00:28:15.600 --> 00:28:17.600]  这个不符合要求
[00:28:17.600 --> 00:28:19.600]  这个股票也很有意思的
[00:28:19.600 --> 00:28:21.600]  也是属于趋势多头
[00:28:21.600 --> 00:28:23.600]  这个就明天结合进价是很重要的
[00:28:23.600 --> 00:28:25.600]  盘子很小
[00:28:25.600 --> 00:28:27.600]  为什么呢你看它在这个过程中
[00:28:27.600 --> 00:28:29.600]  涨停跌停反包
[00:28:29.600 --> 00:28:31.600]  对吧那现在关键位置是对于这个价格明天高开
[00:28:31.600 --> 00:28:33.600]  那它也是短线的溢价
[00:28:33.600 --> 00:28:35.600]  亏钱的吧好像是
[00:28:35.600 --> 00:28:37.600]  我们还会就是先
[00:28:37.600 --> 00:28:39.600]  跟大家聊啊
[00:28:39.600 --> 00:28:41.600]  你像这种也是属于短线的
[00:28:41.600 --> 00:28:43.600]  我们回到这里
[00:28:43.600 --> 00:28:45.600]  回到这一根
[00:28:45.600 --> 00:28:47.600]  其实这个
[00:28:47.600 --> 00:28:49.600]  这个还没有那么漂亮
[00:28:49.600 --> 00:28:51.600]  但是没那么容易好绑
[00:28:51.600 --> 00:28:53.600]  这种也是属于我们所说的
[00:28:53.600 --> 00:28:55.600]  短线的一个思路啊
[00:28:55.600 --> 00:28:57.600]  我就给大家先过
[00:28:57.600 --> 00:28:59.600]  先有这个什么有这个认知
[00:28:59.600 --> 00:29:01.600]  这是房地产的融生发展应该是房地产的
[00:29:01.600 --> 00:29:05.600]  先有这个认知去理解它
[00:29:05.600 --> 00:29:07.600]  比如说结创智能这种
[00:29:07.600 --> 00:29:09.600]  也是属于什么这就是
[00:29:09.600 --> 00:29:11.600]  趋势多头但是它的
[00:29:11.600 --> 00:29:13.600]  是属于什么
[00:29:15.600 --> 00:29:17.600]  这个是属于什么
[00:29:17.600 --> 00:29:19.600]  三个都是箭头向上的也还好
[00:29:19.600 --> 00:29:21.600]  对吧
[00:29:21.600 --> 00:29:23.600]  那它的缺点是什么就是它是在
[00:29:23.600 --> 00:29:25.600]  就是对这两个阴线的反包目前态度什么
[00:29:25.600 --> 00:29:27.600]  不积极
[00:29:27.600 --> 00:29:29.600]  我回到跟他讲知识点的时候
[00:29:29.600 --> 00:29:31.600]  买点的那根K线必须过关键的阴线
[00:29:31.600 --> 00:29:33.600]  不能过的你就小心骗你
[00:29:33.600 --> 00:29:35.600]  必须给我漂漂亮亮的过
[00:29:35.600 --> 00:29:37.600]  必须给我漂漂亮亮的过
[00:29:37.600 --> 00:29:39.600]  必须给我漂漂亮亮的过
[00:29:39.600 --> 00:29:41.600]  必须给我漂漂亮亮的过
[00:29:41.600 --> 00:29:43.600]  必须给我漂漂亮亮的过
[00:29:43.600 --> 00:29:47.600]  这个也是属于在趋势中的
[00:29:47.600 --> 00:29:49.600]  这种也是在趋势中的
[00:29:49.600 --> 00:29:51.600]  这个就是我们说的先讲趋势
[00:29:51.600 --> 00:29:53.600]  因为回到量价关系又有一些细节可能
[00:29:53.600 --> 00:29:55.600]  它不是那么完美的对不对
[00:29:55.600 --> 00:29:57.600]  所以我们所看到的
[00:29:57.600 --> 00:29:59.600]  回到我刚才所讲的就是
[00:29:59.600 --> 00:30:01.600]  低空经济我们看到板块指数是OK的
[00:30:01.600 --> 00:30:03.600]  那么回到个股里面
[00:30:03.600 --> 00:30:05.600]  是这个OK是已经大部分
[00:30:05.600 --> 00:30:07.600]  已经完成了涨幅还是刚刚
[00:30:07.600 --> 00:30:09.600]  启动来再来什么判断
[00:30:09.600 --> 00:30:11.600]  这个板块短期的延续力
[00:30:11.600 --> 00:30:13.600]  大家能理解我的意思没有
[00:30:13.600 --> 00:30:15.600]  那就像房地产也是一样的呢
[00:30:15.600 --> 00:30:17.600]  房地产它
[00:30:17.600 --> 00:30:19.600]  在这个位置包括这一天
[00:30:19.600 --> 00:30:21.600]  对吧也是属于趋势多头
[00:30:21.600 --> 00:30:25.600]  大家可以看一下到这一天也是属于
[00:30:25.600 --> 00:30:27.600]  一个趋势多头扭转回调
[00:30:27.600 --> 00:30:29.600]  再继续向上是不是属于
[00:30:29.600 --> 00:30:31.600]  日线的趋势多头啊
[00:30:31.600 --> 00:30:33.600]  它周线月线都不可以日线的
[00:30:33.600 --> 00:30:35.600]  趋势多头就是小短线嘛
[00:30:35.600 --> 00:30:37.600]  那我们就板块做出小短线
[00:30:37.600 --> 00:30:39.600]  我们就在这个板块里面的
[00:30:39.600 --> 00:30:41.600]  这是什么
[00:30:41.600 --> 00:30:43.600]  没事吧 有没有受伤
[00:30:43.600 --> 00:30:45.600]  是外面的
[00:30:45.600 --> 00:30:49.600]  那我刚才讲到了啊
[00:30:49.600 --> 00:30:51.600]  因为我现在想讲小波段的时候
[00:30:51.600 --> 00:30:53.600]  我就很担心大家
[00:30:53.600 --> 00:30:55.600]  我们小波段的前提是降维啊
[00:30:55.600 --> 00:30:57.600]  月线空头周线空头都没得看了
[00:30:57.600 --> 00:30:59.600]  只剩下日线最近什么
[00:30:59.600 --> 00:31:01.600]  有几个板块冒冒尖的
[00:31:01.600 --> 00:31:03.600]  就叫小短线
[00:31:03.600 --> 00:31:05.600]  明白我的意思没有
[00:31:05.600 --> 00:31:07.600]  那么这个的情况下就知识底细是一样的
[00:31:07.600 --> 00:31:09.600]  那我们来看这一天的上涨
[00:31:09.600 --> 00:31:11.600]  是不是这根阳线的上涨
[00:31:11.600 --> 00:31:15.600]  把五合十改于转为多头啊
[00:31:15.600 --> 00:31:17.600]  对不对
[00:31:17.600 --> 00:31:19.600]  在这里都不确定 那么这一天是不是可以确定
[00:31:19.600 --> 00:31:21.600]  转为多头之后
[00:31:21.600 --> 00:31:23.600]  价格的收盘价也在五合十的上方
[00:31:23.600 --> 00:31:25.600]  那么说明它短线是不是
[00:31:25.600 --> 00:31:27.600]  这里有个延续性呢
[00:31:27.600 --> 00:31:29.600]  15分钟级别的延续性
[00:31:29.600 --> 00:31:31.600]  然后你在这里面再去选相关的
[00:31:31.600 --> 00:31:33.600]  个股 大家能理解我的意思没有
[00:31:33.600 --> 00:31:35.600]  就是板块你可以做
[00:31:35.600 --> 00:31:37.600]  比如说反弹
[00:31:37.600 --> 00:31:39.600]  但是属于趋势多头的反弹
[00:31:39.600 --> 00:31:41.600]  但是个股必须做趋势多头的主升
[00:31:41.600 --> 00:31:43.600]  永远记住啊
[00:31:43.600 --> 00:31:45.600]  个股必须做趋势多头的主升
[00:31:45.600 --> 00:31:47.600]  比如说我们来看特发
[00:31:47.600 --> 00:31:49.600]  你说在那一天启动的时候特发服务是不是一个反
[00:31:49.600 --> 00:31:51.600]  是不是属于小波
[00:31:51.600 --> 00:31:53.600]  在这里大家可以看 就在这一天
[00:31:53.600 --> 00:31:55.600]  特发服务是不是一个小趋势的一个多头
[00:31:55.600 --> 00:31:57.600]  那么这一天就没有什么
[00:31:57.600 --> 00:31:59.600]  没有过掉那前面两颗阴线的
[00:31:59.600 --> 00:32:01.600]  最高价对不对
[00:32:01.600 --> 00:32:03.600]  那还会反复
[00:32:03.600 --> 00:32:05.600]  还会反复代表它不好呀
[00:32:05.600 --> 00:32:07.600]  反复反复
[00:32:07.600 --> 00:32:09.600]  这一天的价格
[00:32:09.600 --> 00:32:11.600]  有没有把这两天调整的K线价格给收住
[00:32:11.600 --> 00:32:13.600]  收住就是短线机会
[00:32:13.600 --> 00:32:15.600]  因为板块在趋势多头
[00:32:15.600 --> 00:32:17.600]  板块在日线
[00:32:17.600 --> 00:32:19.600]  日线代表小波段嘛
[00:32:19.600 --> 00:32:21.600]  板块在日线的趋势多头
[00:32:21.600 --> 00:32:23.600]  个股在日线的趋势多头
[00:32:23.600 --> 00:32:25.600]  那么就是什么
[00:32:25.600 --> 00:32:27.600]  有短线的溢价空间
[00:32:27.600 --> 00:32:29.600]  我们再来看啊
[00:32:29.600 --> 00:32:31.600]  这个我爱我家是不是在这一天
[00:32:31.600 --> 00:32:33.600]  是不是也一样的
[00:32:33.600 --> 00:32:35.600]  上涨回调这一天是不是进行反包
[00:32:35.600 --> 00:32:37.600]  把这几根K线价格全部给反包
[00:32:37.600 --> 00:32:39.600]  但不着急啊
[00:32:39.600 --> 00:32:41.600]  我回到比如说我爱我家
[00:32:41.600 --> 00:32:43.600]  我们到了第三天的时候应该是明天或后天吧
[00:32:43.600 --> 00:32:45.600]  这个涨停板出来了
[00:32:45.600 --> 00:32:47.600]  对吧 你涨停板不敢追
[00:32:47.600 --> 00:32:49.600]  是因为我不知道下线怎么设
[00:32:49.600 --> 00:32:51.600]  认不认同
[00:32:51.600 --> 00:32:53.600]  大家想想看是不是这样子
[00:32:53.600 --> 00:32:55.600]  如果这个阳线
[00:32:55.600 --> 00:32:57.600]  不管你是涨停板还是七八个点的反包
[00:32:57.600 --> 00:32:59.600]  反之我告诉你
[00:32:59.600 --> 00:33:01.600]  那么两三个点三五个点的反包的股票都是弱股票
[00:33:01.600 --> 00:33:03.600]  敢于七八个点的
[00:33:03.600 --> 00:33:05.600]  七八个点
[00:33:05.600 --> 00:33:07.600]  八九个点反包的K线
[00:33:07.600 --> 00:33:09.600]  才是强股票
[00:33:09.600 --> 00:33:11.600]  你不要看那七八个点之后就害怕了
[00:33:11.600 --> 00:33:13.600]  害怕的原因就是
[00:33:13.600 --> 00:33:15.600]  我不知道这我是买在一个反弹的高点
[00:33:15.600 --> 00:33:17.600]  我不知道防守位在哪里
[00:33:17.600 --> 00:33:19.600]  认同吧 我只要告诉你
[00:33:19.600 --> 00:33:21.600]  这个阳线反包照下方的防守位
[00:33:21.600 --> 00:33:23.600]  如果它照主升它这个位置不会破的
[00:33:23.600 --> 00:33:25.600]  那你就大胆敢买了
[00:33:25.600 --> 00:33:27.600]  因为你知道最大的
[00:33:27.600 --> 00:33:29.600]  知道最大的亏损是多少你敢不敢买
[00:33:29.600 --> 00:33:31.600]  要是就敢买了
[00:33:31.600 --> 00:33:33.600]  认同吧 如果说像现在
[00:33:33.600 --> 00:33:35.600]  比如说我也不知道我告诉你怎么设
[00:33:35.600 --> 00:33:37.600]  你就知道这个涨停板如果明天
[00:33:37.600 --> 00:33:39.600]  回到这个价格对吧大不了
[00:33:39.600 --> 00:33:41.600]  我就亏两三个点吧
[00:33:41.600 --> 00:33:43.600]  一般情况下很少说超过五个点的
[00:33:43.600 --> 00:33:45.600]  那我相信你肯定是敢参与操作的
[00:33:45.600 --> 00:33:47.600]  就是我们慢慢来展开
[00:33:47.600 --> 00:33:49.600]  先把短期趋势
[00:33:49.600 --> 00:33:51.600]  也必须按照这个体系
[00:33:51.600 --> 00:33:53.600]  但大家发现一个问题没有
[00:33:53.600 --> 00:33:55.600]  在讲这个短期的时候我说了
[00:33:55.600 --> 00:33:57.600]  你必须要配合当下的什么
[00:33:57.600 --> 00:33:59.600]  热点
[00:33:59.600 --> 00:34:01.600]  你不要给我啥都没有的
[00:34:01.600 --> 00:34:03.600]  在这里按照技术扣扣扣扣扣
[00:34:03.600 --> 00:34:05.600]  那就出问题的啊
[00:34:05.600 --> 00:34:07.600]  大家记住没有
[00:34:07.600 --> 00:34:09.600]  你看我前面讲趋势讲波段我没有讲
[00:34:09.600 --> 00:34:11.600]  热点为什么呢
[00:34:11.600 --> 00:34:13.600]  板块指数做好三囊的结构准备
[00:34:13.600 --> 00:34:15.600]  热点自然会配合
[00:34:15.600 --> 00:34:17.600]  明白我的意思没有
[00:34:17.600 --> 00:34:19.600]  就像之前大家可以看到
[00:34:19.600 --> 00:34:21.600]  就是软件服务走出三囊
[00:34:21.600 --> 00:34:23.600]  去年上半年包括以前
[00:34:23.600 --> 00:34:25.600]  对吧 越线走出三囊
[00:34:25.600 --> 00:34:27.600]  配件设备储能那时候都没有什么热点的时候
[00:34:27.600 --> 00:34:29.600]  你板块指数只要做好了三囊
[00:34:29.600 --> 00:34:31.600]  包括你看中国
[00:34:31.600 --> 00:34:33.600]  就是那个中国联通
[00:34:33.600 --> 00:34:35.600]  把那个电信运营那个板块
[00:34:35.600 --> 00:34:37.600]  中国联通中国移动
[00:34:37.600 --> 00:34:39.600]  把电信运营那个板块带动中线
[00:34:39.600 --> 00:34:41.600]  趋势多头的时候自然
[00:34:41.600 --> 00:34:43.600]  是不是有消息面配合它
[00:34:43.600 --> 00:34:45.600]  能理解我的意思吗
[00:34:45.600 --> 00:34:47.600]  趋势波段是做好准备
[00:34:47.600 --> 00:34:49.600]  封口会配合着来的
[00:34:49.600 --> 00:34:51.600]  但是短线必须是在
[00:34:51.600 --> 00:34:53.600]  热的里面去挖掘机会
[00:34:53.600 --> 00:34:55.600]  去找机会跟随这个热点
[00:34:55.600 --> 00:34:57.600]  然后我们所说的
[00:34:57.600 --> 00:34:59.600]  这其实就是什么就是一个短线的小波段
[00:34:59.600 --> 00:35:01.600]  短线不代表说一定是几个点
[00:35:01.600 --> 00:35:03.600]  我说的短线也是属于单边主声
[00:35:03.600 --> 00:35:05.600]  日线的一个小主声
[00:35:05.600 --> 00:35:07.600]  但是它周线符不符合
[00:35:07.600 --> 00:35:09.600]  大家可以看周线符不符合
[00:35:09.600 --> 00:35:11.600]  空头 月线符不符合
[00:35:11.600 --> 00:35:13.600]  不符合它就是日线符合
[00:35:13.600 --> 00:35:15.600]  所以我们就叫小短线
[00:35:15.600 --> 00:35:17.600]  大家明白
[00:35:17.600 --> 00:35:19.600]  但是如果说未来
[00:35:19.600 --> 00:35:21.600]  周线符合 日线符合
[00:35:21.600 --> 00:35:23.600]  那肯定就是做波段了
[00:35:23.600 --> 00:35:25.600]  因为叫有共振的嘛 对不对
[00:35:25.600 --> 00:35:27.600]  我们再看一个 大姐
[00:35:27.600 --> 00:35:29.600]  就差不多了 成见发展
[00:35:29.600 --> 00:35:31.600]  昨天晚上我就选了这一个
[00:35:31.600 --> 00:35:33.600]  就是我们那个胡杨大哥
[00:35:33.600 --> 00:35:35.600]  对 微信名是胡杨
[00:35:35.600 --> 00:35:37.600]  我就记习惯了
[00:35:37.600 --> 00:35:39.600]  昨天跟我讲 我聊了一下
[00:35:39.600 --> 00:35:41.600]  就在这一天聊了一下
[00:35:41.600 --> 00:35:43.600]  他对于这个房电厂政策
[00:35:43.600 --> 00:35:45.600]  现在不是宇航区
[00:35:45.600 --> 00:35:47.600]  他收那个什么房
[00:35:47.600 --> 00:35:49.600]  把这个振出来
[00:35:49.600 --> 00:35:51.600]  纯量房
[00:35:51.600 --> 00:35:53.600]  他也是做这个行业的
[00:35:53.600 --> 00:35:55.600]  做亲屋行业的 就聊到这一块
[00:35:55.600 --> 00:35:57.600]  他觉得城头应该是最好的
[00:35:57.600 --> 00:35:59.600]  因为钱都流向城头
[00:35:59.600 --> 00:36:01.600]  我就听到这句话 我就找城头的股票
[00:36:01.600 --> 00:36:03.600]  选了两个都是板
[00:36:03.600 --> 00:36:05.600]  然后云南城头呢 我没看
[00:36:05.600 --> 00:36:07.600]  云南城头已经两个板起来了
[00:36:07.600 --> 00:36:09.600]  相当于是城头的拧头羊
[00:36:09.600 --> 00:36:11.600]  而成见是一个的
[00:36:11.600 --> 00:36:13.600]  那它是不是完全符合我所教给大家的小短线
[00:36:13.600 --> 00:36:15.600]  月线不符合 周线不符合
[00:36:15.600 --> 00:36:17.600]  短线有热点 日线符合
[00:36:17.600 --> 00:36:19.600]  然后我们学完K线
[00:36:19.600 --> 00:36:21.600]  新朋友学到K线
[00:36:21.600 --> 00:36:23.600]  K线你们这叫进攻羊
[00:36:23.600 --> 00:36:25.600]  你进攻的态度去扭转这个势是最强的
[00:36:25.600 --> 00:36:27.600]  是不是两个时点进攻羊
[00:36:27.600 --> 00:36:29.600]  扭转之后来看
[00:36:29.600 --> 00:36:31.600]  趋势多佬 对不对
[00:36:31.600 --> 00:36:33.600]  又是昨天 听你了不是
[00:36:33.600 --> 00:36:35.600]  昨天正好复盘了
[00:36:35.600 --> 00:36:37.600]  然后在这里进行一个趋势多佬调整
[00:36:37.600 --> 00:36:39.600]  这里启动 然后目前房地产的这个
[00:36:39.600 --> 00:36:41.600]  是 对吧 昨天又出了一个政策
[00:36:41.600 --> 00:36:43.600]  这个密集说明短时间还会在这里反复
[00:36:43.600 --> 00:36:45.600]  那它今天是一个缩量
[00:36:45.600 --> 00:36:47.600]  今天是一个长停版
[00:36:47.600 --> 00:36:49.600]  那可能明后下周还会有一些溢价空间
[00:36:49.600 --> 00:36:51.600]  但是你不要把这个消息
[00:36:51.600 --> 00:36:53.600]  我觉得胡杨大哥这次来学习完的帮助太大了
[00:36:53.600 --> 00:36:55.600]  因为你太会解读了
[00:36:55.600 --> 00:36:57.600]  你解读出机会一定要跟我分享
[00:36:57.600 --> 00:36:59.600]  对 这是你的强项
[00:36:59.600 --> 00:37:01.600]  比如说你解读出这个政策的方向之后
[00:37:01.600 --> 00:37:03.600]  你把我今天所讲的级别
[00:37:03.600 --> 00:37:05.600]  一佐证
[00:37:05.600 --> 00:37:07.600]  你一定是威力无限的
[00:37:07.600 --> 00:37:09.600]  比如说哪怕你不够
[00:37:09.600 --> 00:37:11.600]  威力无限的 比如说哪怕这个政策再好
[00:37:11.600 --> 00:37:13.600]  但是回到我们所说的图形上走势
[00:37:13.600 --> 00:37:15.600]  因为图形是最真实的
[00:37:15.600 --> 00:37:17.600]  只是月线不好 周线不好
[00:37:17.600 --> 00:37:19.600]  我们就是看一个日线的
[00:37:19.600 --> 00:37:21.600]  日线周期的小短线的一个思路
[00:37:21.600 --> 00:37:23.600]  小短线我再次强调
[00:37:23.600 --> 00:37:25.600]  热点中的短线不代表长复空间小
[00:37:25.600 --> 00:37:27.600]  热点中的短线也可以轻轻松松
[00:37:27.600 --> 00:37:29.600]  二三十三五十个点的
[00:37:29.600 --> 00:37:31.600]  大家明白我的意思没有
[00:37:31.600 --> 00:37:33.600]  非热点中的短线
[00:37:33.600 --> 00:37:35.600]  我就告诉你三五个点都吃得很累
[00:37:35.600 --> 00:37:37.600]  热点中的短线不代表
[00:37:37.600 --> 00:37:39.600]  热点中的短线不代表长复小
[00:37:39.600 --> 00:37:41.600]  它是级别超盘周期
[00:37:41.600 --> 00:37:43.600]  达不到大周期的空盘
[00:37:43.600 --> 00:37:45.600]  就是一个波段 当下的这个波段
[00:37:45.600 --> 00:37:47.600]  而已 大家能理解我的意思吗
[00:37:47.600 --> 00:37:49.600]  这就是我们所说的
[00:37:49.600 --> 00:37:51.600]  短线也必须符合我教给大家的
[00:37:51.600 --> 00:37:53.600]  价格的上涨
[00:37:53.600 --> 00:37:55.600]  必须带动市的转多
[00:37:55.600 --> 00:37:57.600]  市的转多进行调整完之后
[00:37:57.600 --> 00:37:59.600]  最后那个收盘价
[00:37:59.600 --> 00:38:01.600]  必须收在什么
[00:38:01.600 --> 00:38:03.600]  五合十的
[00:38:03.600 --> 00:38:05.600]  二十的上方
[00:38:05.600 --> 00:38:07.600]  如果像这种全部都在五合十
[00:38:07.600 --> 00:38:09.600]  二十的上方 就必须给我
[00:38:09.600 --> 00:38:11.600]  把阴线的价格反包
[00:38:11.600 --> 00:38:13.600]  这就是短线的一个思路
[00:38:13.600 --> 00:38:15.600]  它其实反而简单
[00:38:15.600 --> 00:38:17.600]  就是我们说的就看量价关系就好了
[00:38:17.600 --> 00:38:19.600]  就是看量价关系
[00:38:19.600 --> 00:38:21.600]  那就是我们对于
[00:38:21.600 --> 00:38:23.600]  这后面我就不展开了
[00:38:23.600 --> 00:38:25.600]  大家其实慢慢你看到一个热点你都会看的
[00:38:25.600 --> 00:38:27.600]  对不对 你像这种是不是城头
[00:38:27.600 --> 00:38:29.600]  空谷也是昨天晚上选的
[00:38:29.600 --> 00:38:31.600]  也是一样
[00:38:31.600 --> 00:38:33.600]  就选了城头里面
[00:38:33.600 --> 00:38:35.600]  我是把你说的那个云南城头
[00:38:35.600 --> 00:38:37.600]  然后一打开
[00:38:37.600 --> 00:38:39.600]  相关行业跟城头两关
[00:38:39.600 --> 00:38:41.600]  两个字相关的点点点点了几个
[00:38:41.600 --> 00:38:43.600]  就那两个觉得昨天的收盘还比较不错
[00:38:43.600 --> 00:38:45.600]  就是这种方式来
[00:38:45.600 --> 00:38:47.600]  挖掘的
[00:38:47.600 --> 00:38:49.600]  然后我们再来看它也是一样的
[00:38:49.600 --> 00:38:51.600]  其实像你的解读比较强
[00:38:51.600 --> 00:38:53.600]  我说实话我的弱势就是在这
[00:38:53.600 --> 00:38:55.600]  政策的解读没有那么敏感
[00:38:55.600 --> 00:38:57.600]  我这方面敏感一点应该会好一些
[00:38:57.600 --> 00:38:59.600]  像我们
[00:38:59.600 --> 00:39:01.600]  我们陈姐你已经提前解读到了
[00:39:01.600 --> 00:39:03.600]  那一天上一线收盘
[00:39:03.600 --> 00:39:05.600]  已经收好了就可以买了
[00:39:05.600 --> 00:39:07.600]  就可以买了
[00:39:07.600 --> 00:39:09.600]  它的防守
[00:39:09.600 --> 00:39:11.600]  就是这个小十字形的开盘价
[00:39:11.600 --> 00:39:13.600]  你攻
[00:39:13.600 --> 00:39:15.600]  回到这里我后面再跟他讲
[00:39:15.600 --> 00:39:17.600]  又回到孙子兵反正作战一样的
[00:39:17.600 --> 00:39:19.600]  你给我攻
[00:39:19.600 --> 00:39:21.600]  你就不能给我退兵退回
[00:39:21.600 --> 00:39:23.600]  围城
[00:39:23.600 --> 00:39:25.600]  你退城了说明你
[00:39:25.600 --> 00:39:27.600]  进攻失败
[00:39:27.600 --> 00:39:29.600]  这就是我们说阴阳博弈
[00:39:29.600 --> 00:39:31.600]  慢慢来展开
[00:39:31.600 --> 00:39:33.600]  我们慢慢来展开还是回到趋势
[00:39:33.600 --> 00:39:35.600]  还是这么一个细节点
[00:39:35.600 --> 00:39:37.600]  大家来看一下我在讲短线的时候
[00:39:37.600 --> 00:39:39.600]  我有没有给大家这样说说说说说
[00:39:39.600 --> 00:39:41.600]  没有
[00:39:41.600 --> 00:39:43.600]  我跟你讲你这么一说啥也看不懂
[00:39:43.600 --> 00:39:45.600]  是不是
[00:39:45.600 --> 00:39:47.600]  这样子
[00:39:47.600 --> 00:39:49.600]  短线的核心逻辑是热点是封口
[00:39:49.600 --> 00:39:51.600]  再次强调
[00:39:51.600 --> 00:39:53.600]  第二才是技术做好准备
[00:39:53.600 --> 00:39:55.600]  你不要颠倒了
[00:39:55.600 --> 00:39:57.600]  按技术找股票找短线
[00:39:57.600 --> 00:39:59.600]  那就什么
[00:39:59.600 --> 00:40:01.600]  那就得不偿失了
[00:40:01.600 --> 00:40:03.600]  你是先思考下目前市场最热的
[00:40:03.600 --> 00:40:05.600]  封口是什么
[00:40:05.600 --> 00:40:07.600]  现在同化社也好东方财富也好最热的方向
[00:40:07.600 --> 00:40:09.600]  信息都会推送给我们
[00:40:09.600 --> 00:40:11.600]  有些是需要解读的
[00:40:11.600 --> 00:40:13.600]  有些反正就是说白了那个
[00:40:13.600 --> 00:40:15.600]  绑在那里就是封口
