[00:00:00.000 --> 00:00:05.640]  然后转为有效的这个结构这里的黑线是怎么把它给转出来的看得懂了吧
[00:17:41.840 --> 00:17:43.840]  因为它前高点那个高点下来直接
[00:17:43.840 --> 00:17:45.840]  缩到五分之一那个高位根本就没有什么
[00:17:45.840 --> 00:17:47.840]  压力的所以高位
[00:17:47.840 --> 00:17:49.840]  就是小高点之后的回调啊
[00:17:49.840 --> 00:17:51.840]  而且我讲的是初期
[00:17:51.840 --> 00:17:53.840]  你不要哎调调调调调到这个位置
[00:17:53.840 --> 00:17:55.840]  缩到五分缩到一半了那肯定
[00:17:55.840 --> 00:17:57.840]  缩到一半了对吧
[00:17:57.840 --> 00:17:59.840]  跌了那么久肯定都跌啥都跌
[00:17:59.840 --> 00:18:01.840]  啥都都是安静的对不对
[00:18:01.840 --> 00:18:03.840]  所以我们要就是调整的这个初期看到没有
[00:18:03.840 --> 00:18:05.840]  调整的这个初期
[00:18:05.840 --> 00:18:07.840]  我记得有
[00:18:07.840 --> 00:18:09.840]  有同事问过我我说这股票可能就不大
[00:18:09.840 --> 00:18:11.840]  好因为这个调整的过程中这个音量
[00:18:11.840 --> 00:18:13.840]  和阳量差不多就不好了
[00:18:13.840 --> 00:18:15.840]  调整的初期最起码是缩到三分之一左右
[00:18:15.840 --> 00:18:17.840]  这个这个大家就是
[00:18:17.840 --> 00:18:19.840]  要要要注意的啊就是这是
[00:18:19.840 --> 00:18:21.840]  很重要的一些要点
[00:18:21.840 --> 00:18:23.840]  然后我们来看你看这个位置呢
[00:18:23.840 --> 00:18:25.840]  这是不是调整的初期
[00:18:25.840 --> 00:18:27.840]  我们就看这个小高点呢
[00:18:27.840 --> 00:18:29.840]  调整的初期是不是相对来讲对于这里的
[00:18:29.840 --> 00:18:31.840]  上涨是不是相对缩量的
[00:18:31.840 --> 00:18:33.840]  缩三分之一左右再来看这是不是
[00:18:33.840 --> 00:18:35.840]  一个上涨一个调整之后再上涨
[00:18:35.840 --> 00:18:37.840]  这个调整的初期就是A浪嘛
[00:18:37.840 --> 00:18:39.840]  对吧你看A浪的这个
[00:18:39.840 --> 00:18:41.840]  调整初期是不是你看这里的量是不是
[00:18:41.840 --> 00:18:43.840]  比这里放量对比是不是
[00:18:43.840 --> 00:18:45.840]  缩三分之一左右
[00:18:45.840 --> 00:18:47.840]  缩量是跟左边那个上升波段的
[00:18:47.840 --> 00:18:49.840]  放量对比
[00:18:49.840 --> 00:18:51.840]  缩量是这么去进行一个对比啊
[00:18:51.840 --> 00:18:53.840]  你看这里的上涨就是小倍量然后巨量
[00:18:53.840 --> 00:18:55.840]  对吧放量你就看这今天的对比
[00:18:55.840 --> 00:18:57.840]  跟昨天对比是不是去是不是
[00:18:57.840 --> 00:18:59.840]  倍量还是巨量还是
[00:18:59.840 --> 00:19:01.840]  什么高量柱啊
[00:19:01.840 --> 00:19:03.840]  还是高量柱那我们再回到这一段
[00:19:03.840 --> 00:19:05.840]  来好好展开啊
[00:19:05.840 --> 00:19:07.840]  高量柱这个图不匹配啊
[00:19:07.840 --> 00:19:09.840]  高量柱我们换一个
[00:19:09.840 --> 00:19:11.840]  我们换我给大家准备的图啊
[00:19:11.840 --> 00:19:13.840]  我给大家准备的走势
[00:19:13.840 --> 00:19:19.840]  来看这就是我大家可以看明白的
[00:19:19.840 --> 00:19:21.840]  高量柱啊
[00:19:21.840 --> 00:19:29.840]  怎么不一样
[00:19:31.840 --> 00:19:33.840]  咦
[00:19:33.840 --> 00:19:45.840]  我们来看这个啊
[00:19:45.840 --> 00:19:47.840]  知识点都是先通的
[00:19:47.840 --> 00:19:49.840]  这是不是空头下跌
[00:19:49.840 --> 00:19:51.840]  高量柱我刚才大家
[00:19:51.840 --> 00:19:53.840]  高量柱多量柱
[00:19:53.840 --> 00:19:55.840]  那个什么
[00:19:55.840 --> 00:19:57.840]  倍量柱巨量柱都认识了
[00:19:57.840 --> 00:19:59.840]  T量柱都认识了啊
[00:19:59.840 --> 00:20:01.840]  T量柱是正
[00:20:01.840 --> 00:20:03.840]  一个台阶一个台阶
[00:20:03.840 --> 00:20:05.840]  一个台阶三根
[00:20:05.840 --> 00:20:07.840]  T量柱都是三根起的
[00:20:07.840 --> 00:20:09.840]  这叫T量看到没有
[00:20:09.840 --> 00:20:11.840]  T量柱这个大家可以看懂了啊
[00:20:11.840 --> 00:20:13.840]  你看一个台阶一个台阶
[00:20:13.840 --> 00:20:15.840]  一个台阶就是T量
[00:20:15.840 --> 00:20:17.840]  就是你先认识
[00:20:17.840 --> 00:20:19.840]  什么位置用是最好的我就慢慢来给大家展开啊
[00:20:19.840 --> 00:20:21.840]  先讲高量柱
[00:20:21.840 --> 00:20:23.840]  高量柱是代表着
[00:20:23.840 --> 00:20:25.840]  强势出击的表现
[00:20:25.840 --> 00:20:27.840]  就是资金强势出击
[00:20:27.840 --> 00:20:29.840]  的表现
[00:20:29.840 --> 00:20:31.840]  那么什么位置是资金会强势出击啊
[00:20:31.840 --> 00:20:33.840]  是不是扭转
[00:20:33.840 --> 00:20:35.840]  对吧
[00:20:35.840 --> 00:20:37.840]  空雨多的扭转
[00:20:37.840 --> 00:20:39.840]  多头再次上弓的扭转
[00:20:39.840 --> 00:20:41.840]  是不是就这两个位置
[00:20:41.840 --> 00:20:43.840]  大家讲讲看是不是
[00:20:43.840 --> 00:20:45.840]  回到我们的模型结构你们来啊
[00:20:45.840 --> 00:20:47.840]  那么来看一看
[00:20:47.840 --> 00:20:49.840]  这不是整个空头啊
[00:20:49.840 --> 00:20:51.840]  空头你看看这是不是扭转
[00:20:51.840 --> 00:20:53.840]  那么我们说
[00:20:53.840 --> 00:20:55.840]  价格大家已经讲了这么久
[00:20:55.840 --> 00:20:57.840]  我们都看得懂了进攻杨
[00:20:57.840 --> 00:20:59.840]  对吧反打再进攻杨
[00:20:59.840 --> 00:21:01.840]  对不对然后进攻杨是几号大家都知道
[00:21:01.840 --> 00:21:03.840]  我就不再展开了啊
[00:21:03.840 --> 00:21:05.840]  价格就很OK了
[00:21:05.840 --> 00:21:07.840]  那么它在扭转进攻的时候
[00:21:07.840 --> 00:21:09.840]  下面要配合的量
[00:21:09.840 --> 00:21:11.840]  是什么样的量呢
[00:21:11.840 --> 00:21:13.840]  在扭转的时候我们就要求三种要求
[00:21:13.840 --> 00:21:15.840]  一个叫高量
[00:21:15.840 --> 00:21:17.840]  巨量和背量
[00:21:17.840 --> 00:21:19.840]  高量巨量和背量
[00:21:21.840 --> 00:21:23.840]  大家能听懂意思吧
[00:21:23.840 --> 00:21:25.840]  高量巨量和背量
[00:21:25.840 --> 00:21:27.840]  那么高量的比特是什么呢
[00:21:27.840 --> 00:21:29.840]  你来看这三根K线的细节啊
[00:21:29.840 --> 00:21:31.840]  这是一根K线对于能量是一小背量
[00:21:31.840 --> 00:21:35.840]  这一根K线
[00:21:35.840 --> 00:21:37.840]  黑大哥你先看这
[00:21:37.840 --> 00:21:39.840]  这一根K线对于这个量是什么
[00:21:39.840 --> 00:21:41.840]  对于这里来讲是不是
[00:21:41.840 --> 00:21:43.840]  高量柱了
[00:21:43.840 --> 00:21:45.840]  然后这一根K线对于
[00:21:45.840 --> 00:21:47.840]  能量是不是也是什么
[00:21:47.840 --> 00:21:49.840]  也是高量柱就是我们把这里整体
[00:21:49.840 --> 00:21:51.840]  跟过去对比也是高量柱
[00:21:51.840 --> 00:21:53.840]  大家能听懂意思没有
[00:21:53.840 --> 00:21:55.840]  而且它很漂亮的在哪里呢
[00:21:55.840 --> 00:21:57.840]  它是进攻阳
[00:21:57.840 --> 00:21:59.840]  对应高量柱
[00:21:59.840 --> 00:22:01.840]  有的时候出问题的股票是
[00:22:01.840 --> 00:22:03.840]  进攻阳是小背量
[00:22:03.840 --> 00:22:05.840]  这根K线是高量柱
[00:22:05.840 --> 00:22:07.840]  就是问题的
[00:22:07.840 --> 00:22:09.840]  但是你懂意思没有
[00:22:09.840 --> 00:22:11.840]  就是你得该对着啥就对着啥
[00:22:11.840 --> 00:22:13.840]  你不要错位
[00:22:13.840 --> 00:22:15.840]  你不要这个位置
[00:22:15.840 --> 00:22:17.840]  是一个什么是这个小背量就是什么
[00:22:17.840 --> 00:22:19.840]  这两个量换成了这两个量
[00:22:19.840 --> 00:22:21.840]  那就不好了
[00:22:21.840 --> 00:22:23.840]  能明白我意思没有
[00:22:23.840 --> 00:22:25.840]  你自己画一画
[00:22:25.840 --> 00:22:27.840]  这个拿出来
[00:22:27.840 --> 00:22:29.840]  所以我为什么建议大家拿一下
[00:22:29.840 --> 00:22:31.840]  没拿纸我们就手画
[00:22:31.840 --> 00:22:35.840]  中文在线
[00:22:35.840 --> 00:22:37.840]  来看一下呢
[00:22:37.840 --> 00:22:39.840]  这个是一个锅段吗
[00:22:39.840 --> 00:22:41.840]  这个锅段里面每根K线我们都需要看的了
[00:22:41.840 --> 00:22:43.840]  这一根K线
[00:22:43.840 --> 00:22:45.840]  画下来
[00:22:45.840 --> 00:22:47.840]  小背量
[00:22:47.840 --> 00:22:49.840]  这根K线画下来
[00:22:49.840 --> 00:22:51.840]  高量柱
[00:22:51.840 --> 00:22:53.840]  这根K线画下来高量柱
[00:22:53.840 --> 00:22:55.840]  它是健康的
[00:22:55.840 --> 00:22:57.840]  这个扭转就是漂亮的
[00:22:57.840 --> 00:22:59.840]  这个扭转就是漂亮的
[00:22:59.840 --> 00:23:03.840]  下面写起
[00:23:03.840 --> 00:23:05.840]  所以我说陈教练
[00:23:05.840 --> 00:23:07.840]  前面有同事问我的时候
[00:23:07.840 --> 00:23:09.840]  先不着急先不讲
[00:23:09.840 --> 00:23:11.840]  慢慢到那个讲的时候
[00:23:13.840 --> 00:23:15.840]  好
[00:23:15.840 --> 00:23:17.840]  这里还有一点左右对比
[00:23:17.840 --> 00:23:19.840]  这个高量柱你来看一下
[00:23:19.840 --> 00:23:21.840]  对应这里是跟左边
[00:23:21.840 --> 00:23:23.840]  这里对比
[00:23:23.840 --> 00:23:25.840]  是背量
[00:23:25.840 --> 00:23:27.840]  你不要这里跟这里的前高点的拉伸过程
[00:23:27.840 --> 00:23:29.840]  对比
[00:23:29.840 --> 00:23:31.840]  我们是就近对比
[00:23:31.840 --> 00:23:33.840]  这里跟这里是就近对比
[00:23:33.840 --> 00:23:35.840]  能明白我意思没有
[00:23:35.840 --> 00:23:37.840]  就近对比
[00:23:37.840 --> 00:23:39.840]  当然如果这个是前高点
[00:23:39.840 --> 00:23:41.840]  就近对比
[00:23:41.840 --> 00:23:43.840]  当然如果这个量能够比过去的时间
[00:23:43.840 --> 00:23:45.840]  更长更好
[00:23:45.840 --> 00:23:47.840]  但是没有就近的这个循环对比
[00:23:47.840 --> 00:23:49.840]  就近的这个循环对比
[00:23:49.840 --> 00:23:51.840]  然后随后大家
[00:23:51.840 --> 00:23:53.840]  来做个缩头趋势调整缩量
[00:23:53.840 --> 00:23:55.840]  这是个阴线
[00:23:55.840 --> 00:23:57.840]  第一个阴线画下来就是什么
[00:23:57.840 --> 00:23:59.840]  缩一半以下
[00:23:59.840 --> 00:24:01.840]  缩1/2多
[00:24:01.840 --> 00:24:03.840]  缩一半以下的缩量好不好
[00:24:03.840 --> 00:24:05.840]  我刚才讲到的最低标准
[00:24:05.840 --> 00:24:07.840]  最少的是要缩多少
[00:24:07.840 --> 00:24:09.840]  那低于1/3会更好
[00:24:09.840 --> 00:24:11.840]  所以你再直接做1/2
[00:24:11.840 --> 00:24:13.840]  这缩量就非常漂亮
[00:24:13.840 --> 00:24:15.840]  为什么要缩量
[00:24:15.840 --> 00:24:17.840]  我高量就代表资金是不是
[00:24:17.840 --> 00:24:19.840]  强势的去进行扭转的
[00:24:19.840 --> 00:24:21.840]  我缩量我自己没出局
[00:24:21.840 --> 00:24:23.840]  就是我自己没出来
[00:24:23.840 --> 00:24:25.840]  那你肯定是有想法的
[00:24:25.840 --> 00:24:27.840]  但他又没有达到说
[00:24:27.840 --> 00:24:29.840]  我能够具备拉伸
[00:24:29.840 --> 00:24:31.840]  他还需要时间
[00:24:31.840 --> 00:24:33.840]  好在这里进行一个ABC的
[00:24:33.840 --> 00:24:35.840]  你再缩
[00:24:35.840 --> 00:24:37.840]  你看整体这一段的
[00:24:37.840 --> 00:24:39.840]  调整的缩量
[00:24:39.840 --> 00:24:41.840]  跟这个高度对比
[00:24:41.840 --> 00:24:43.840]  整体都是1/2缩量
[00:24:43.840 --> 00:24:45.840]  甚至达到了1/8的样子
[00:24:45.840 --> 00:24:47.840]  大家能看明白没有
[00:24:47.840 --> 00:24:49.840]  所以整个第一根缩量
[00:24:49.840 --> 00:24:51.840]  缩成的小地量
[00:24:51.840 --> 00:24:53.840]  然后再来看第二根
[00:24:53.840 --> 00:24:55.840]  这是不是一根扭转
[00:24:55.840 --> 00:24:57.840]  这根扭转是不是对这里形成的小环抱
[00:24:57.840 --> 00:24:59.840]  你看这一根阴线
[00:24:59.840 --> 00:25:01.840]  对那量是什么
[00:25:01.840 --> 00:25:03.840]  你不要去跟它对比
[00:25:03.840 --> 00:25:07.840]  对于这个调整来讲是不是背量
[00:25:07.840 --> 00:25:13.840]  这一段的缩量跟整个这一段调整趋势来讲是不是背量
[00:25:13.840 --> 00:25:15.840]  你对于昨天来讲是高量
[00:25:15.840 --> 00:25:17.840]  对不对
[00:25:17.840 --> 00:25:19.840]  但我建议大家不要今天跟昨天比
[00:25:19.840 --> 00:25:21.840]  太微观了
[00:25:21.840 --> 00:25:25.840]  这根可以先跟过去那一个趋势的整体区间比对
[00:25:25.840 --> 00:25:27.840]  大家能理解我意思没有
[00:25:27.840 --> 00:25:29.840]  就是我们把视野稍微放大一点
[00:25:29.840 --> 00:25:31.840]  你看这根整个来讲
[00:25:31.840 --> 00:25:33.840]  这边是不是背量住
[00:25:33.840 --> 00:25:35.840]  就好了OK了
[00:25:35.840 --> 00:25:37.840]  然后再来看这里进行一个调整
[00:25:37.840 --> 00:25:39.840]  再次启动这个放量
[00:25:39.840 --> 00:25:41.840]  是不是对于整个这个调整来讲是不是也是属于放量的
[00:25:41.840 --> 00:25:43.840]  因为越到后面量肯定是不可能跟
[00:25:43.840 --> 00:25:45.840]  跟缩量之后的放量
[00:25:45.840 --> 00:25:47.840]  能达到那么高的要求的
[00:25:47.840 --> 00:25:49.840]  因为交易活跃了嘛
[00:25:49.840 --> 00:25:51.840]  对吧就像我们说有一句话是这么讲的
[00:25:51.840 --> 00:25:53.840]  做短线的朋友你今天一个股票的活跃度
[00:25:53.840 --> 00:25:55.840]  都达到30个亿了
[00:25:55.840 --> 00:25:57.840]  你想想看明天还有多人来买
[00:25:57.840 --> 00:25:59.840]  才能把它拉起来
[00:25:59.840 --> 00:26:01.840]  那到后期的情况下肯定是成交量
[00:26:01.840 --> 00:26:03.840]  不可能达到完全达到说
[00:26:03.840 --> 00:26:05.840]  像这个高度一样这么高的
[00:26:05.840 --> 00:26:07.840]  所以我跟大家比对的是什么
[00:26:07.840 --> 00:26:09.840]  你这个是不是我们说的
[00:26:09.840 --> 00:26:11.840]  怀抱对吧
[00:26:11.840 --> 00:26:13.840]  怀抱之后的你这个量你得大于
[00:26:13.840 --> 00:26:15.840]  这个调整过程中的量
[00:26:15.840 --> 00:26:17.840]  那你是这个怀抱对你的量
[00:26:17.840 --> 00:26:19.840]  是健康的
[00:26:19.840 --> 00:26:21.840]  能理解我意思没有
[00:26:21.840 --> 00:26:23.840]  然后你再来看这是不是一个怀抱一个横盘
[00:26:23.840 --> 00:26:25.840]  横盘之后你看这里是不是一个怀抱
[00:26:25.840 --> 00:26:27.840]  这个怀抱的量
[00:26:27.840 --> 00:26:29.840]  大于这个调整的量就是健康的
[00:26:29.840 --> 00:26:31.840]  就是健康的
[00:26:31.840 --> 00:26:33.840]  就是关于我们说整个形态
[00:26:33.840 --> 00:26:35.840]  那最重要就是扭转
[00:26:35.840 --> 00:26:37.840]  扭转必须给我什么
[00:26:37.840 --> 00:26:39.840]  出什么量度
[00:26:39.840 --> 00:26:41.840]  高量度巨量度和
[00:26:41.840 --> 00:26:43.840]  背量度
[00:26:43.840 --> 00:26:45.840]  我们先讲高量度和巨量度这两个
[00:26:45.840 --> 00:26:47.840]  它对应在什么位置
[00:26:47.840 --> 00:26:49.840]  我们去解惑它
[00:26:49.840 --> 00:26:51.840]  什么位置我们去解惑它
[00:26:51.840 --> 00:26:53.840]  好再来看这个
[00:26:53.840 --> 00:26:55.840]  这个看完
[00:26:55.840 --> 00:26:57.840]  我就让大家做点功课
[00:26:57.840 --> 00:26:59.840]  让你们做功课了啊
[00:26:59.840 --> 00:27:01.840]  来看这是不是一个模型3
[00:27:01.840 --> 00:27:03.840]  对吧
[00:27:03.840 --> 00:27:05.840]  那这一段这一段是不是扭转
[00:27:05.840 --> 00:27:07.840]  是不是
[00:27:07.840 --> 00:27:09.840]  那你就看扭转我知道这是一浪
[00:27:09.840 --> 00:27:11.840]  划根线是一浪
[00:27:11.840 --> 00:27:13.840]  划根开线也知道这里有进攻阳
[00:27:13.840 --> 00:27:15.840]  那你给我把这根线对应的
[00:27:15.840 --> 00:27:17.840]  这个相对的量
[00:27:17.840 --> 00:27:19.840]  都比对下来
[00:27:19.840 --> 00:27:21.840]  这整体的这个量
[00:27:21.840 --> 00:27:23.840]  跟过去有没有大于
[00:27:23.840 --> 00:27:25.840]  有你久提了没有
[00:27:25.840 --> 00:27:27.840]  你看这里整体的这一段量
[00:27:27.840 --> 00:27:29.840]  跟过去是不是达到了一倍
[00:27:29.840 --> 00:27:31.840]  以上啊是不是
[00:27:31.840 --> 00:27:33.840]  那ok就是好的
[00:27:33.840 --> 00:27:35.840]  就是有效扭转
[00:27:35.840 --> 00:27:37.840]  是有态度的有钱在支撑的
[00:27:37.840 --> 00:27:39.840]  这个态度的我们刚才讲到
[00:27:39.840 --> 00:27:41.840]  个股的交易靠的是增量
[00:27:41.840 --> 00:27:43.840]  个股的变化靠的是增量
[00:27:43.840 --> 00:27:45.840]  所以我们说是结构性
[00:27:45.840 --> 00:27:47.840]  机会个股如果没有
[00:27:47.840 --> 00:27:49.840]  增量它就会你看这就是没有
[00:27:49.840 --> 00:27:51.840]  增量了没有增量
[00:27:51.840 --> 00:27:53.840]  这个价格怎么样
[00:27:53.840 --> 00:27:55.840]  保持原来的不变
[00:27:55.840 --> 00:27:57.840]  是因为有增量起来
[00:27:57.840 --> 00:27:59.840]  才把这个价格的这个势
[00:27:59.840 --> 00:28:01.840]  给发生变化的
[00:28:01.840 --> 00:28:03.840]  这能理解了啊
[00:28:03.840 --> 00:28:05.840]  然后再来看横盘调整的过程中
[00:28:05.840 --> 00:28:07.840]  这是不是一个启动啊
[00:28:07.840 --> 00:28:09.840]  对不对来看这就是放量
[00:28:09.840 --> 00:28:11.840]  对于整个这个调整的过程中
[00:28:11.840 --> 00:28:13.840]  是不是大于这个调整区间的量啊
[00:28:13.840 --> 00:28:15.840]  对不对这个大概可能会有问题
[00:28:15.840 --> 00:28:17.840]  这个量没有大
[00:28:17.840 --> 00:28:19.840]  但是你看量没有大
[00:28:19.840 --> 00:28:21.840]  这个就很不是
[00:28:21.840 --> 00:28:23.840]  如果它量没有大
[00:28:23.840 --> 00:28:25.840]  但是价格还被它给压着
[00:28:25.840 --> 00:28:27.840]  那就不行
[00:28:27.840 --> 00:28:29.840]  这个你们背出些细节啊
[00:28:29.840 --> 00:28:31.840]  你看这个位置是放量的
[00:28:31.840 --> 00:28:33.840]  对不对
[00:28:33.840 --> 00:28:35.840]  除了这个黑线
[00:28:35.840 --> 00:28:37.840]  其他的量是不是完全都大过了
[00:28:37.840 --> 00:28:39.840]  所以有的时候你要画线呢
[00:28:39.840 --> 00:28:41.840]  画线的过程
[00:28:41.840 --> 00:28:43.840]  像我们画线的过程你要画这个点啊
[00:28:47.840 --> 00:28:49.840]  这个画线工具
[00:28:49.840 --> 00:28:53.840]  比如说你自己要画线呢
[00:28:53.840 --> 00:28:55.840]  这里启动的时候
[00:28:55.840 --> 00:28:57.840]  从这个位置开始调整
[00:28:57.840 --> 00:28:59.840]  启动的时候如果启动黑线
[00:28:59.840 --> 00:29:01.840]  你就给我这里画一条线
[00:29:01.840 --> 00:29:03.840]  你启动的时候你这个拐点阳对吧
[00:29:03.840 --> 00:29:05.840]  你的量必须大于整个调整的这个量啊
[00:29:05.840 --> 00:29:07.840]  达不到
[00:29:07.840 --> 00:29:09.840]  那你就要看一看了对不对
[00:29:09.840 --> 00:29:11.840]  然后我们再来看细节点
[00:29:11.840 --> 00:29:13.840]  那么这个量其他不达到
[00:29:13.840 --> 00:29:15.840]  除了这个没达到
[00:29:15.840 --> 00:29:17.840]  这个在他的下方这个也直接不是
[00:29:17.840 --> 00:29:19.840]  你看这个价格是不是在他的下方
[00:29:19.840 --> 00:29:21.840]  上方说错了
[00:29:21.840 --> 00:29:23.840]  这个量达不到没问题的
[00:29:23.840 --> 00:29:25.840]  可以的非常OK的啊
[00:29:25.840 --> 00:29:27.840]  但是如果说这个量比他差一点
[00:29:27.840 --> 00:29:29.840]  但是他的价格
[00:29:29.840 --> 00:29:31.840]  在这个阴线的胎盘
[00:29:31.840 --> 00:29:33.840]  在他下方就不行
[00:29:33.840 --> 00:29:35.840]  差一分都不行
[00:29:35.840 --> 00:29:37.840]  差一分都不行
[00:29:37.840 --> 00:29:39.840]  你们把这个细节点
[00:29:39.840 --> 00:29:41.840]  自己该写的写一下啊
[00:29:43.840 --> 00:29:45.840]  理解了
[00:29:45.840 --> 00:29:47.840]  就是我量没大
[00:29:47.840 --> 00:29:49.840]  但是我价格已经把它给
[00:29:49.840 --> 00:29:51.840]  对吧踩到脚下了
[00:29:51.840 --> 00:29:53.840]  那肯定是好的
[00:29:53.840 --> 00:29:55.840]  但最怕的是量没大价格还被他给压着
[00:29:55.840 --> 00:29:57.840]  那就不行
[00:29:57.840 --> 00:30:05.840]  最高价最高价最高价
[00:30:05.840 --> 00:30:07.840]  已经好多次问我了
[00:30:07.840 --> 00:30:09.840]  最高价最高价最高价
[00:30:11.840 --> 00:30:13.840]  上一线是分歧
[00:30:13.840 --> 00:30:15.840]  你把分歧的每一分钱都给我化解掉
[00:30:15.840 --> 00:30:17.840]  才是强者胜
[00:30:17.840 --> 00:30:27.840]  好记好了啊
[00:30:27.840 --> 00:30:29.840]  对
[00:30:29.840 --> 00:30:31.840]  他得站上他
[00:30:31.840 --> 00:30:33.840]  好大家接下来
[00:30:33.840 --> 00:30:35.840]  再自己说个图啊
[00:30:37.840 --> 00:30:39.840]  九远银海自己化一化
[00:30:39.840 --> 00:30:41.840]  然后
[00:30:41.840 --> 00:30:43.840]  钟科瓷也自己化一化
[00:30:43.840 --> 00:30:45.840]  新五峰化一化
[00:30:45.840 --> 00:30:47.840]  德恩金工化一化
[00:30:47.840 --> 00:30:49.840]  光源科技化一化
[00:30:49.840 --> 00:30:51.840]  化量啊现在是化量了啊
[00:30:51.840 --> 00:30:53.840]  化成这样的
[00:30:53.840 --> 00:30:55.840]  就我们说的有效扭转高亮度
[00:30:55.840 --> 00:30:57.840]  这亮度对扭转的那一样的要求
[00:30:57.840 --> 00:30:59.840]  然后已经调整初期
[00:30:59.840 --> 00:31:01.840]  速量的要求啊
[00:31:01.840 --> 00:31:03.840]  调整初期速量的要求啊
[00:31:03.840 --> 00:31:05.840]  光源科技
[00:31:05.840 --> 00:31:07.840]  德恩金工
[00:31:07.840 --> 00:31:09.840]  新五峰
[00:31:09.840 --> 00:31:11.840]  钟科瓷也九远银海
[00:31:11.840 --> 00:31:15.840]  应该还有
[00:31:15.840 --> 00:31:19.840]  我好像每次下午喝的比上午多
[00:31:21.840 --> 00:31:23.840]  多
[00:31:23.840 --> 00:31:37.840]  德恩金工
[00:31:37.840 --> 00:31:39.840]  新五峰
[00:31:39.840 --> 00:31:41.840]  钟科瓷也还有呢
[00:31:41.840 --> 00:31:43.840]  光源
[00:31:43.840 --> 00:31:45.840]  光源
[00:31:45.840 --> 00:31:47.840]  德恩金工
[00:31:47.840 --> 00:31:49.840]  银海新五峰
[00:31:49.840 --> 00:31:51.840]  钟科瓷也有
[00:31:51.840 --> 00:31:53.840]  找到它的扭转的那个K线
[00:31:53.840 --> 00:31:55.840]  金工阳
[00:31:55.840 --> 00:31:57.840]  再往下看
[00:31:57.840 --> 00:31:59.840]  看它的亮
[00:31:59.840 --> 00:32:01.840]  现在都是开始往下看
[00:32:01.840 --> 00:32:03.840]  看亮了看成这样的
[00:32:03.840 --> 00:32:05.840]  然后成这样标注是巨亮度扭转
[00:32:05.840 --> 00:32:07.840]  还是高亮度扭转
[00:32:07.840 --> 00:32:09.840]  还是背亮度扭转
[00:32:11.840 --> 00:32:13.840]  小背亮
[00:32:13.840 --> 00:32:15.840]  对
[00:32:15.840 --> 00:32:17.840]  高亮度
[00:32:17.840 --> 00:32:19.840]  对高亮度
[00:32:19.840 --> 00:32:21.840]  如果
[00:32:21.840 --> 00:32:23.840]  这个是背景
[00:32:23.840 --> 00:32:25.840]  这个背景对那是亮
[00:32:25.840 --> 00:32:27.840]  这个背景对那是亮
[00:32:27.840 --> 00:32:29.840]  这两个背景对那是亮
[00:32:29.840 --> 00:32:31.840]  这两个背景对那是亮
[00:32:31.840 --> 00:32:33.840]  这个背景
[00:32:33.840 --> 00:32:35.840]  这个背景对那是小的
[00:32:35.840 --> 00:32:37.840]  小的
[00:32:37.840 --> 00:32:39.840]  这个背景对那是亮
[00:32:39.840 --> 00:32:41.840]  这个背景对那是亮
[00:32:41.840 --> 00:32:43.840]  这个背景对那是亮
[00:32:43.840 --> 00:32:45.840]  这个背景对那是亮
[00:32:45.840 --> 00:32:47.840]  这个背景对那是亮
[00:32:47.840 --> 00:32:49.840]  这个背景对那是亮
[00:32:49.840 --> 00:32:51.840]  这个背景对那是亮
[00:32:51.840 --> 00:32:53.840]  这个背景对那是亮
[00:32:53.840 --> 00:32:55.840]  这个背景对那是亮
[00:32:55.840 --> 00:32:57.840]  这个背景对那是亮
[00:32:57.840 --> 00:32:59.840]  这个背景对那是亮
[00:32:59.840 --> 00:33:01.840]  这个背景对那是亮
[00:33:01.840 --> 00:33:03.840]  这个背景对那是亮
[00:33:03.840 --> 00:33:05.840]  这个背景对那是亮
[00:33:05.840 --> 00:33:07.840]  这个背景对那是亮
[00:33:07.840 --> 00:33:09.840]  这个背景对那是亮
[00:33:09.840 --> 00:33:11.840]  这个背景对那是亮
[00:33:11.840 --> 00:33:13.840]  这个背景对那是亮
[00:33:13.840 --> 00:33:15.840]  这个背景对那是亮
[00:33:15.840 --> 00:33:17.840]  这个背景对那是亮
[00:33:17.840 --> 00:33:19.840]  这个背景对那是亮
[00:33:19.840 --> 00:33:21.840]  这个背景对那是亮
[00:33:21.840 --> 00:33:23.840]  这个背景对那是亮
[00:33:23.840 --> 00:33:25.840]  这个背景对那是亮
[00:33:25.840 --> 00:33:27.840]  这个背景对那是亮
[00:33:27.840 --> 00:33:29.840]  这个背景对那是亮
[00:33:29.840 --> 00:33:31.840]  这个背景对那是亮
[00:33:31.840 --> 00:33:33.840]  这个背景对那是亮
[00:33:33.840 --> 00:33:35.840]  这个背景对那是亮
[00:33:35.840 --> 00:33:59.840]  高价格
[00:33:59.840 --> 00:34:01.840]  高价格不一定
[00:34:01.840 --> 00:34:03.840]  高价格就不一定
[00:34:03.840 --> 00:34:05.840]  高价格就不一定
[00:34:05.840 --> 00:34:07.840]  对面那个可以写
[00:34:07.840 --> 00:34:09.840]  要把它就是
[00:34:09.840 --> 00:34:11.840]  高价格对面加个对不定
[00:34:11.840 --> 00:34:13.840]  高价格是什么
[00:34:13.840 --> 00:34:15.840]  缩一下后面就缩一下
[00:34:15.840 --> 00:34:17.840]  缩一下
[00:34:17.840 --> 00:34:19.840]  对
