[00:00:00.000 --> 00:00:02.000]  破壞中的分期
[00:19:50.000 --> 00:19:53.000]  行情級別的大小決定行情力度的大小
[00:19:53.000 --> 00:19:56.000]  也決定突破後的價格空間
[00:19:56.000 --> 00:19:57.000]  價格空間
[00:19:57.000 --> 00:20:02.000]  所以大家可以看到那些漲幅很好的基本上都是對過去兩年
[00:20:02.000 --> 00:20:03.000]  對吧
[00:20:03.000 --> 00:20:04.000]  的突破
[00:20:04.000 --> 00:20:08.000]  但是漲幅小一點的也是達到最起碼半年多七八個月的突破
[00:20:08.000 --> 00:20:13.000]  那些就那麼兩三個月的突破就是漲幅個二三十三四十個點就已經很不錯了
[00:20:13.000 --> 00:20:16.000]  就是不同的力度決定不同
[00:20:16.000 --> 00:20:19.000]  解的強弱態度破局解籌
[00:20:19.000 --> 00:20:23.000]  所以這是我們今天從籌碼的解套到現在為止
[00:20:23.000 --> 00:20:26.000]  你要理解講的強弱態度破局和解籌
[00:20:26.000 --> 00:20:28.000]  那選擇的模型這個我就不講開了
[00:20:28.000 --> 00:20:30.000]  因為這個其實沒有模型的
[00:20:30.000 --> 00:20:33.000]  就我們昨天給大家是不是講到了波段的模型
[00:20:33.000 --> 00:20:36.000]  也就在波段的模型的基礎上就加了一個
[00:20:36.000 --> 00:20:38.000]  強懷抱的模型
[00:20:38.000 --> 00:20:43.000]  這個強懷抱的模型大家可以從模型的角度理解為模型3
[00:20:43.000 --> 00:20:46.000]  把它理解成其實就是模型3
[00:20:46.000 --> 00:20:49.000]  但是模型3不是過去不是下跌而是什麼
[00:20:49.000 --> 00:20:50.000]  橫盤
[00:20:50.000 --> 00:20:52.000]  而是橫盤
[00:20:52.000 --> 00:20:55.000]  那麼解套後的調整形態這個也不用講了
[00:20:55.000 --> 00:20:58.000]  就是我跟大家說過的卡位對不對
[00:20:58.000 --> 00:21:00.000]  所以不用講了
[00:21:00.000 --> 00:21:01.000]  第一個趨勢不破嘛
[00:21:01.000 --> 00:21:04.000]  五合十要在二十的上方和五合十不時差對不對
[00:21:04.000 --> 00:21:09.000]  第二個就是我的陽線的進攻對於左邊是誰的進攻
[00:21:09.000 --> 00:21:11.000]  你不要再回來就好了
[00:21:11.000 --> 00:21:12.000]  就不用用這個
[00:21:12.000 --> 00:21:15.000]  你看你問你關鍵的陽線的二分之一的防守位啊
[00:21:15.000 --> 00:21:19.000]  或者破壞性K線有的時候調整也出破壞性K線的
[00:21:19.000 --> 00:21:21.000]  但那破壞性K線沒轉變式也是好的
[00:21:21.000 --> 00:21:25.000]  所以這個就不用按照這個來什麼來卡了啊
[00:21:25.000 --> 00:21:27.000]  像這種都是
[00:21:27.000 --> 00:21:30.000]  大家可以看橫盤對吧整個破局這一天破局啊
[00:21:30.000 --> 00:21:31.000]  就是一直向上
[00:21:31.000 --> 00:21:34.000]  然後破局之後基本上就不會再回來了
[00:21:34.000 --> 00:21:35.000]  然後你看破局
[00:21:35.000 --> 00:21:37.000]  破局之後橫盤基本上都不會再回來
[00:21:37.000 --> 00:21:38.000]  整個都是屬於越線的
[00:21:38.000 --> 00:21:39.000]  是吧
[00:21:39.000 --> 00:21:41.000]  頂橫盤橫著啊
[00:21:41.000 --> 00:21:42.000]  周線頂橫盤呢
[00:21:42.000 --> 00:21:45.000]  周線頂橫盤大家可以看這是一個周線
[00:21:45.000 --> 00:21:46.000]  這是一個周線
[00:21:46.000 --> 00:21:48.000]  然後在這裡你看
[00:21:48.000 --> 00:21:51.000]  這個周線是不是過掉了這個音線呢
[00:21:51.000 --> 00:21:54.000]  你看他隨後的整個把這個音線的開盤這樣畫一條線
[00:21:54.000 --> 00:21:57.000]  是不是整個調整都在這個音線的開盤下上方
[00:21:57.000 --> 00:22:01.000]  然後這個陽線是不是對這個橫盤的最高架全部都給站上了
[00:22:01.000 --> 00:22:04.000]  然後你再畫一條線你看人家不回來的
[00:22:04.000 --> 00:22:06.000]  他真正進入上升趨勢
[00:22:06.000 --> 00:22:12.000]  作戰思維我把這個城池打下我是不會讓這個城池失去的
[00:22:12.000 --> 00:22:15.000]  再失去這個城池那就有問題
[00:22:15.000 --> 00:22:16.000]  就這麼簡單
[00:22:16.000 --> 00:22:17.000]  那說明什麼
[00:22:17.000 --> 00:22:23.000]  單邊上漲和單邊下跌都是某一方完全站制主導對不對
[00:22:23.000 --> 00:22:25.000]  是不是這樣子的
[00:22:25.000 --> 00:22:28.000]  某一方完全站制主導
[00:22:28.000 --> 00:22:31.000]  失敗的這就是我們所說的失敗的
[00:22:31.000 --> 00:22:33.000]  這整個就是什麼
[00:22:33.000 --> 00:22:35.000]  這個失敗大家應該看明白
[00:22:35.000 --> 00:22:38.000]  K線很漂亮是好不好的
[00:22:38.000 --> 00:22:39.000]  是肯定不好的
[00:22:39.000 --> 00:22:42.000]  沒有均線沒在你都應該能看得出來
[00:22:42.000 --> 00:22:45.000]  K線漂亮是不好的也沒用穩不住的
[00:22:45.000 --> 00:22:48.000]  K線漂亮K線陽包音呢
[00:22:48.000 --> 00:22:51.000]  K線陽包音是不好的要下來的
[00:22:51.000 --> 00:22:54.000]  K線陽包音是不好的要下來的
[00:22:54.000 --> 00:22:56.000]  所以我們用的是什麼
[00:22:56.000 --> 00:23:01.000]  是仇行風
[00:23:01.000 --> 00:23:05.000]  仇體現在K線體現在成交量
[00:23:05.000 --> 00:23:07.000]  體現在解套思維
[00:23:07.000 --> 00:23:09.000]  是不是形態
[00:23:09.000 --> 00:23:11.000]  這是細節上
[00:23:11.000 --> 00:23:14.000]  行叫有準備而為之
[00:23:14.000 --> 00:23:16.000]  打有準備的戰對不對
[00:23:16.000 --> 00:23:18.000]  聖兵先什麼
[00:23:18.000 --> 00:23:20.000]  聖兵什麼
[00:23:20.000 --> 00:23:24.000]  先勝而後求戰對不對
[00:23:24.000 --> 00:23:27.000]  你也要做聖兵先勝而後求戰
[00:23:27.000 --> 00:23:29.000]  拜兵什麼
[00:23:29.000 --> 00:23:31.000]  先戰而後求勝
[00:23:31.000 --> 00:23:34.000]  我先買進去了我覺得肯定好的
[00:23:34.000 --> 00:23:36.000]  這就是拜兵思維
[00:23:36.000 --> 00:23:37.000]  對吧
[00:23:37.000 --> 00:23:39.000]  你怎麼覺得你能夠改變這個局面呢
[00:23:39.000 --> 00:23:42.000]  而且這個局面都做好準備了
[00:23:42.000 --> 00:23:45.000]  我去宣戰才有成的可能
[00:23:45.000 --> 00:23:47.000]  所以這兩句話
[00:23:47.000 --> 00:23:50.000]  大家我們都比我們都是我的大哥我的姐姐
[00:23:50.000 --> 00:23:52.000]  我相信你們的理解會更加深刻
[00:23:52.000 --> 00:23:54.000]  做股票就是這麼回事
[00:23:54.000 --> 00:24:00.000]  要做聖兵先勝而後求戰
[00:24:00.000 --> 00:24:01.000]  對吧
[00:24:01.000 --> 00:24:02.000]  聖的可能是什麼
[00:24:02.000 --> 00:24:04.000]  聖的預期是什麼
[00:24:04.000 --> 00:24:05.000]  像子涵跟大家分享的
[00:24:05.000 --> 00:24:06.000]  他有某定的對吧
[00:24:06.000 --> 00:24:09.000]  1234人家都有四層某定
[00:24:09.000 --> 00:24:11.000]  你有幾層某定
[00:24:11.000 --> 00:24:12.000]  你去形成你的交易體系
[00:24:12.000 --> 00:24:15.000]  去對你自己的交易體系進行一個梳理
[00:24:15.000 --> 00:24:23.000]  這個就不用講了
[00:24:23.000 --> 00:24:25.000]  走一步計劃三步
[00:24:25.000 --> 00:24:27.000]  能夠破局後穩住
[00:24:27.000 --> 00:24:28.000]  第一步扭轉破局後穩住
[00:24:28.000 --> 00:24:30.000]  再次破局是第三步
[00:24:30.000 --> 00:24:32.000]  所以我們說資金的操盤邏輯和智慧
[00:24:32.000 --> 00:24:33.000]  這股票就是做炸行
[00:24:33.000 --> 00:24:34.000]  真的也很有意思的
[00:24:34.000 --> 00:24:36.000]  走一步計劃三步
[00:24:36.000 --> 00:24:37.000]  公和房
[00:24:37.000 --> 00:24:39.000]  公是買進的位置
[00:24:39.000 --> 00:24:40.000]  房是保護的位置
[00:24:40.000 --> 00:24:44.000]  每一次的操作你都要知道你的風險在哪裡
[00:24:44.000 --> 00:24:46.000]  最大的風險是多少
[00:24:46.000 --> 00:24:47.000]  其實說真心話
[00:24:47.000 --> 00:24:50.000]  我們每一個人都承受不起虧損的
[00:24:50.000 --> 00:24:52.000]  大家認真說是吧
[00:24:52.000 --> 00:24:54.000]  我們每一個人都承受不起虧損的
[00:24:54.000 --> 00:24:56.000]  所以你的每一次交易
[00:24:56.000 --> 00:24:57.000]  有一句話是什麼
[00:24:57.000 --> 00:25:00.000]  交易的頻率越高風險越大
[00:25:00.000 --> 00:25:03.000]  不管多高的高手
[00:25:03.000 --> 00:25:05.000]  他們都會講
[00:25:05.000 --> 00:25:08.000]  做自己熟悉的模式
[00:25:08.000 --> 00:25:10.000]  指什麼
[00:25:10.000 --> 00:25:13.000]  嚴格按照預期來
[00:25:13.000 --> 00:25:15.000]  實在看不懂就休息
[00:25:15.000 --> 00:25:17.000]  交易頻率不要太高
[00:25:17.000 --> 00:25:20.000]  就是你會發現每一個高手一定都會說這句話
[00:25:20.000 --> 00:25:22.000]  因為沒有任何一個人能夠
[00:25:22.000 --> 00:25:24.000]  每一個時間的節點
[00:25:24.000 --> 00:25:26.000]  每一天的機會他都能適應
[00:25:26.000 --> 00:25:28.000]  就像大家可以看到
[00:25:28.000 --> 00:25:29.000]  最近的遊資都休息了
[00:25:29.000 --> 00:25:30.000]  休息一個多月了
[00:25:30.000 --> 00:25:33.000]  基本上休息一個來月了
[00:25:33.000 --> 00:25:35.000]  就是他認為這個環境
[00:25:35.000 --> 00:25:38.000]  我很難去參與
[00:25:38.000 --> 00:25:40.000]  那我就休息
[00:25:40.000 --> 00:25:43.000]  那我們反過來思考自己
[00:25:43.000 --> 00:25:44.000]  不同的
[00:25:44.000 --> 00:25:46.000]  包括我們說做價值投資的這一批
[00:25:46.000 --> 00:25:48.000]  這一批我們說高手等等
[00:25:48.000 --> 00:25:49.000]  反正有不成功的
[00:25:49.000 --> 00:25:51.000]  我認為你都是厲害的
[00:25:51.000 --> 00:25:52.000]  不管你未來如何
[00:25:52.000 --> 00:25:53.000]  你曾經成功過的
[00:25:53.000 --> 00:25:56.000]  我們就像他們取經成功過的經歷
[00:25:56.000 --> 00:25:59.000]  所以不管誰都是
[00:25:59.000 --> 00:26:01.000]  承受不起虧損的
[00:26:01.000 --> 00:26:03.000]  那麼你的操作頻率不要
[00:26:03.000 --> 00:26:04.000]  快的那種
[00:26:04.000 --> 00:26:06.000]  要不就是不要被盤面給限著的
[00:26:06.000 --> 00:26:08.000]  減少交易次數
[00:26:08.000 --> 00:26:10.000]  提高你的交易勝率
[00:26:10.000 --> 00:26:12.000]  又回到我們說什麼
[00:26:12.000 --> 00:26:13.000]  勝兵什麼
[00:26:13.000 --> 00:26:16.000]  先勝而後求戰
[00:26:16.000 --> 00:26:17.000]  不要總是什麼
[00:26:17.000 --> 00:26:19.000]  先戰而後求勝
[00:26:19.000 --> 00:26:20.000]  對不對
[00:26:20.000 --> 00:26:21.000]  所以我們說的什麼
[00:26:21.000 --> 00:26:22.000]  就是攻和守
[00:26:22.000 --> 00:26:23.000]  防是保護位置
[00:26:23.000 --> 00:26:24.000]  你要知道你的風險在哪裡
[00:26:24.000 --> 00:26:25.000]  最大多少
[00:26:25.000 --> 00:26:28.000]  然後隨著價格的不斷上移
[00:26:28.000 --> 00:26:30.000]  我們的防守位也不斷的什麼
[00:26:30.000 --> 00:26:32.000]  上移
[00:26:32.000 --> 00:26:34.000]  我們的防守位也不斷的上移
[00:26:34.000 --> 00:26:35.000]  所以每一次
[00:26:35.000 --> 00:26:37.000]  當出現一個進攻之後
[00:26:37.000 --> 00:26:39.000]  我們從前面的防守往上挪一個
[00:26:39.000 --> 00:26:40.000]  再出現一個
[00:26:40.000 --> 00:26:41.000]  我們再挪一個
[00:26:41.000 --> 00:26:45.000]  這樣就能夠動態指引和直倉
[00:26:45.000 --> 00:26:48.000]  鎖定營利的思維
[00:26:48.000 --> 00:26:49.000]  這個也是就是
[00:26:49.000 --> 00:26:50.000]  其實你看都是一樣的
[00:26:50.000 --> 00:26:52.000]  過去十年以前和現在都一樣的
[00:26:52.000 --> 00:26:54.000]  有些人扭轉
[00:26:54.000 --> 00:26:55.000]  守不住了
[00:26:55.000 --> 00:26:56.000]  對吧
[00:26:56.000 --> 00:26:57.000]  但有時候是守不住
[00:26:57.000 --> 00:26:58.000]  重新轉式
[00:26:58.000 --> 00:27:00.000]  重新蓄勢在這裡啟動
[00:27:00.000 --> 00:27:01.000]  對不對
[00:27:01.000 --> 00:27:02.000]  級別大
[00:27:02.000 --> 00:27:03.000]  你看像這種下跌
[00:27:03.000 --> 00:27:05.000]  周線肯定是趨勢多頭的
[00:27:05.000 --> 00:27:07.000]  因為它從這到這
[00:27:07.000 --> 00:27:08.000]  都是屬於什麼
[00:27:08.000 --> 00:27:09.000]  中場
[00:27:09.000 --> 00:27:10.000]  中期嘛
[00:27:10.000 --> 00:27:12.000]  我最後補還講一點就是
[00:27:12.000 --> 00:27:14.000]  大家關於持倉
[00:27:14.000 --> 00:27:16.000]  短線就日線持倉
[00:27:16.000 --> 00:27:18.000]  因為短線本身就做的幾少程多
[00:27:18.000 --> 00:27:19.000]  賺十幾二十個點
[00:27:19.000 --> 00:27:20.000]  或者七八個點
[00:27:20.000 --> 00:27:22.000]  升久的時候可能達不到預期
[00:27:22.000 --> 00:27:23.000]  兩三個點你也出來
[00:27:23.000 --> 00:27:24.000]  對吧
[00:27:24.000 --> 00:27:25.000]  那是日線持倉
[00:27:25.000 --> 00:27:27.000]  那如果是做波段
[00:27:27.000 --> 00:27:29.000]  你就是周線持倉
[00:27:29.000 --> 00:27:32.000]  中期是周線持倉
[00:27:32.000 --> 00:27:35.000]  如果你是做中長期
[00:27:35.000 --> 00:27:37.000]  那就是月線持倉
[00:27:37.000 --> 00:27:38.000]  但你也反過來
[00:27:38.000 --> 00:27:40.000]  月線持倉你基本上要承受
[00:27:40.000 --> 00:27:41.000]  45%
[00:27:41.000 --> 00:27:42.000]  從你的最高架回來
[00:27:42.000 --> 00:27:45.000]  可能要承受四五十個點的波動
[00:27:45.000 --> 00:27:46.000]  你有沒有這個
[00:27:46.000 --> 00:27:47.000]  對吧
[00:27:47.000 --> 00:27:49.000]  你像子涵照樣扛得牢
[00:27:49.000 --> 00:27:50.000]  對吧
[00:27:50.000 --> 00:27:52.000]  這個跟年紀有的時候沒關係
[00:27:52.000 --> 00:27:54.000]  跟你自己的這個
[00:27:54.000 --> 00:27:55.000]  我們說信仰有關係
[00:27:55.000 --> 00:27:58.000]  你看它看得有多深有關係
[00:27:58.000 --> 00:27:59.000]  是不是這樣
[00:27:59.000 --> 00:28:00.000]  所以大家也是一樣的
[00:28:00.000 --> 00:28:05.000]  你要去找出你自己的一個習慣
[00:28:05.000 --> 00:28:09.000]  通過現象看本質
[00:28:09.000 --> 00:28:10.000]  等量上漲原則
[00:28:10.000 --> 00:28:11.000]  這個也很簡單
[00:28:11.000 --> 00:28:13.000]  就我們說的三到一的量
[00:28:13.000 --> 00:28:15.000]  要跟前面見證的量差不多
[00:28:15.000 --> 00:28:18.000]  就是你解的一個決心
[00:28:18.000 --> 00:28:20.000]  所以我們說最重要的就是決心
[00:28:20.000 --> 00:28:21.000]  不能光說口號
[00:28:21.000 --> 00:28:24.000]  決心有沒有態度和決心
[00:28:24.000 --> 00:28:25.000]  要成正比關係
[00:28:25.000 --> 00:28:29.000]  量越小向上的慾望就越弱
[00:28:29.000 --> 00:28:32.000]  量越大資金向上的慾望就越強
[00:28:32.000 --> 00:28:36.000]  這個量代的技術是左右比對
[00:28:36.000 --> 00:28:39.000]  現在的放量和過去的那個什麼
[00:28:39.000 --> 00:28:40.000]  那段時間去比對
[00:28:40.000 --> 00:28:42.000]  左右比對
[00:28:42.000 --> 00:28:45.000]  比對的過程中不要高點和高點比對
[00:28:45.000 --> 00:28:49.000]  是現在跟左邊那個趨勢的波段比對
[00:28:49.000 --> 00:28:52.000]  因為他的態度和決心
[00:28:52.000 --> 00:28:54.000]  等於他的操盤傾向
[00:28:54.000 --> 00:28:57.000]  所以上切入反打懷抱
[00:28:57.000 --> 00:29:00.000]  一定要從循環的角度來看
[00:29:00.000 --> 00:29:01.000]  循環就是
[00:29:01.000 --> 00:29:03.000]  因為現在大部分的股票都跌到底了
[00:29:03.000 --> 00:29:04.000]  好講
[00:29:04.000 --> 00:29:06.000]  過去在沒有就是什麼
[00:29:06.000 --> 00:29:09.000]  過去都是在有的是在下跌中期過程中
[00:29:09.000 --> 00:29:10.000]  可能你會發現啊
[00:29:10.000 --> 00:29:11.000]  K線很漂亮
[00:29:11.000 --> 00:29:12.000]  但是大一個周期都是空頭的
[00:29:12.000 --> 00:29:14.000]  現在大部分的股票說真心話
[00:29:14.000 --> 00:29:15.000]  已經跌不下去了
[00:29:15.000 --> 00:29:18.000]  只不過是輪番來而已
[00:29:18.000 --> 00:29:20.000]  我覺得基本上都跌不大下去了
[00:29:20.000 --> 00:29:21.000]  能再跌也不會很
[00:29:21.000 --> 00:29:23.000]  說再創新低的股票會有沒有
[00:29:23.000 --> 00:29:26.000]  有那些很差的企業肯定會創新低
[00:29:26.000 --> 00:29:28.000]  但是稍微好一點的公司
[00:29:28.000 --> 00:29:30.000]  對吧你像那些價值成長股
[00:29:30.000 --> 00:29:32.000]  我們不說未來他還會怎麼增長
[00:29:32.000 --> 00:29:34.000]  但是他也大部分的股票也很難跌下去了
[00:29:34.000 --> 00:29:37.000]  已經差不多跌的那個什麼幅度
[00:29:37.000 --> 00:29:39.000]  都跌去過去的四分之三了
[00:29:39.000 --> 00:29:41.000]  他不漲是一回事
[00:29:41.000 --> 00:29:43.000]  但是他再往下跌很多
[00:29:43.000 --> 00:29:46.000]  我覺得都還是有有一點的難度了
[00:29:46.000 --> 00:29:47.000]  那
[00:29:47.000 --> 00:29:49.000]  放量突破扭轉
[00:29:49.000 --> 00:29:51.000]  回調趨勢
[00:29:51.000 --> 00:29:53.000]  支撐出拐點
[00:29:53.000 --> 00:29:55.000]  周期不同運行時間不同
[00:29:55.000 --> 00:29:57.000]  級別不同而已
[00:29:57.000 --> 00:29:59.000]  所以我們最重要的就是要
[00:29:59.000 --> 00:30:01.000]  互化自己的模式
[00:30:01.000 --> 00:30:03.000]  專注自己的模式
[00:30:03.000 --> 00:30:05.000]  60%的時間花在等待上
[00:30:05.000 --> 00:30:08.000]  40%的時間花在操作上
[00:30:08.000 --> 00:30:10.000]  致誠高遠
[00:30:10.000 --> 00:30:12.000]  腳踏實地
[00:30:12.000 --> 00:30:13.000]  積極樂觀
[00:30:13.000 --> 00:30:16.000]  積小勝成大勝
[00:30:16.000 --> 00:30:19.000]  這是我們所有的內容
[00:30:19.000 --> 00:30:21.000]  這一次是我真的
[00:30:21.000 --> 00:30:23.000]  好像除了最後這一頁
[00:30:23.000 --> 00:30:25.000]  還有PPT跟大家分享
[00:30:25.000 --> 00:30:28.000]  因為這是我自己加上去的
[00:30:28.000 --> 00:30:31.000]  但也是我想跟大家說的話
[00:30:31.000 --> 00:30:33.000]  我覺得這一次的三天的課程
[00:30:33.000 --> 00:30:36.000]  說真心話
[00:30:36.000 --> 00:30:38.000]  不是累了
[00:30:38.000 --> 00:30:40.000]  你們的收穫你們的學習
[00:30:40.000 --> 00:30:42.000]  我覺得真的從我自己的角度來講
[00:30:42.000 --> 00:30:44.000]  真的含金量太高太高太高了
[00:30:44.000 --> 00:30:46.000]  認同吧
[00:30:46.000 --> 00:30:47.000]  是不是這樣
[00:30:47.000 --> 00:30:48.000]  我覺得
[00:30:48.000 --> 00:30:51.000]  我有時候也對自己感覺到很驕傲的
[00:30:51.000 --> 00:30:54.000]  我怎麼能把這個弄得那麼明晰
[00:30:54.000 --> 00:30:57.000]  每個點怎麼都能弄出來
[00:30:57.000 --> 00:30:58.000]  真的
[00:30:58.000 --> 00:31:01.000]  我有時候很會自己感覺到很驕傲的
[00:31:01.000 --> 00:31:03.000]  特別是前段時間
[00:31:03.000 --> 00:31:05.000]  我又有一些托誤的時候
[00:31:05.000 --> 00:31:07.000]  我自己真牛
[00:31:07.000 --> 00:31:09.000]  我以前不會這麼對自己說話的
[00:31:09.000 --> 00:31:12.000]  我現在就覺得我自己真的很牛
[00:31:12.000 --> 00:31:15.000]  我居然能夠把資金呈現在
[00:31:15.000 --> 00:31:17.000]  走勢上的每一種變化
[00:31:17.000 --> 00:31:18.000]  對吧
[00:31:18.000 --> 00:31:21.000]  我都能夠看得明明白白
[00:31:21.000 --> 00:31:22.000]  這不牛
[00:31:22.000 --> 00:31:24.000]  這真的是我怎麼弄出來的
[00:31:24.000 --> 00:31:25.000]  我又是想想啊
[00:31:25.000 --> 00:31:29.000]  所以說這個十幾年的這個股市的琢磨
[00:31:29.000 --> 00:31:31.000]  你看我進股市的時間中心
[00:31:31.000 --> 00:31:34.000]  縮小圖形都得縮好久
[00:31:34.000 --> 00:31:37.000]  縮縮縮縮
[00:31:37.000 --> 00:31:38.000]  還要縮
[00:31:38.000 --> 00:31:39.000]  還要縮
[00:31:39.000 --> 00:31:41.000]  還要縮
[00:31:41.000 --> 00:31:42.000]  還
[00:31:42.000 --> 00:31:44.000]  還要縮我的天啊
[00:31:44.000 --> 00:31:46.000]  哦
[00:31:46.000 --> 00:31:51.000]  這十幾年的時間
[00:31:51.000 --> 00:31:53.000]  這裡開始到現在
[00:31:53.000 --> 00:31:56.000]  想想看我在股市上經歷的
[00:31:56.000 --> 00:31:57.000]  對吧
[00:31:57.000 --> 00:31:59.000]  經歷了這個水與淚
[00:31:59.000 --> 00:32:01.000]  我來到還好沒有什麼水
[00:32:01.000 --> 00:32:03.000]  也沒有什麼淚
[00:32:03.000 --> 00:32:04.000]  對就是有
[00:32:04.000 --> 00:32:06.000]  自己就是還好
[00:32:06.000 --> 00:32:08.000]  就不是屬於那種受過傷的
[00:32:08.000 --> 00:32:10.000]  但是我真的覺得我自己很牛場
[00:32:10.000 --> 00:32:11.000]  我以前不好意思說
[00:32:11.000 --> 00:32:13.000]  現在我覺得很自信的告訴你們
[00:32:13.000 --> 00:32:15.000]  我就是真的很牛
[00:32:15.000 --> 00:32:18.000]  你們在哪裡去找一個像我這麼教你們的老師
[00:32:18.000 --> 00:32:22.000]  我覺得在中國肯定找不到
[00:32:22.000 --> 00:32:23.000]  對
[00:32:23.000 --> 00:32:25.000]  真的在中國你們肯定找不到
[00:32:25.000 --> 00:32:28.000]  我對自己現在就這麼牛
[00:32:28.000 --> 00:32:32.000]  就是這種發自苦之裡的覺得自己真的臭
[00:32:32.000 --> 00:32:34.000]  我說真心話就是
[00:32:34.000 --> 00:32:36.000]  我以前還會害羞
[00:32:36.000 --> 00:32:37.000]  覺得自己還要
[00:32:37.000 --> 00:32:38.000]  還要謙虛一下
[00:32:38.000 --> 00:32:41.000]  現在我一點毫不謙虛
[00:32:41.000 --> 00:32:43.000]  對真的就是這種感覺
[00:32:43.000 --> 00:32:45.000]  所以毫不謙虛大家應該明白
[00:32:45.000 --> 00:32:49.000]  就來自於我自己內核的什麼強大
[00:32:49.000 --> 00:32:51.000]  認同吧
[00:32:51.000 --> 00:32:53.000]  我自己內心的強大
[00:32:53.000 --> 00:32:56.000]  我相信我未來能到哪裡去
[00:32:56.000 --> 00:32:58.000]  過去像陳姐啊黃大哥叔叔
[00:32:58.000 --> 00:33:00.000]  我都說沒有我還沒那麼優秀啦
[00:33:00.000 --> 00:33:03.000]  我還好了我還有很多成長的空間
[00:33:03.000 --> 00:33:05.000]  現在沒有我就是很牛
[00:33:05.000 --> 00:33:06.000]  對
[00:33:06.000 --> 00:33:08.000]  我的成長空間也有
[00:33:08.000 --> 00:33:10.000]  但是我現在已經很牛了
[00:33:10.000 --> 00:33:12.000]  我也還有成長空間
[00:33:12.000 --> 00:33:13.000]  我現在已經很牛了
[00:33:13.000 --> 00:33:14.000]  說真心話
[00:33:14.000 --> 00:33:15.000]  因為我現在跟大家分享的
[00:33:15.000 --> 00:33:16.000]  對吧
[00:33:16.000 --> 00:33:18.000]  當然我還有很多開悟的時間
[00:33:18.000 --> 00:33:20.000]  也沒法去展開的
[00:33:20.000 --> 00:33:22.000]  包括資金、邏輯、強裝、座盤等等
[00:33:22.000 --> 00:33:23.000]  這些我也沒有
[00:33:23.000 --> 00:33:25.000]  就是另外一套體系結合
[00:33:25.000 --> 00:33:27.000]  但是對於我自己來講我說真心話
[00:33:27.000 --> 00:33:31.000]  過去就像你們一樣的認知
[00:33:31.000 --> 00:33:34.000]  到我這特別因為這兩年我在教育上打磨
[00:33:34.000 --> 00:33:36.000]  到回到盤面
[00:33:36.000 --> 00:33:39.000]  我真的覺得我現在就是很牛
[00:33:39.000 --> 00:33:41.000]  對所以我說希望大家也是一樣
[00:33:41.000 --> 00:33:43.000]  我對自己充滿信心
[00:33:43.000 --> 00:33:45.000]  我相信你們把這套體系打磨透了
[00:33:45.000 --> 00:33:47.000]  也一樣的充滿信心
[00:33:47.000 --> 00:33:50.000]  一個老師對自己沒信心
[00:33:50.000 --> 00:33:51.000]  對吧
[00:33:51.000 --> 00:33:54.000]  你們在這個過程中也很難建立信念
[00:33:54.000 --> 00:33:55.000]  我對自己就是夠了
[00:33:55.000 --> 00:33:58.000]  我充滿信心我很相信自己我很牛的
[00:33:58.000 --> 00:34:00.000]  大家十年以後再來看
[00:34:00.000 --> 00:34:02.000]  因為時間才是最什麼
[00:34:02.000 --> 00:34:05.000]  最簡念的嘛大家認同吧
[00:34:05.000 --> 00:34:07.000]  我們相處時間說不定還能相處十幾年了
[00:34:07.000 --> 00:34:08.000]  對不對
[00:34:08.000 --> 00:34:10.000]  我們都這麼年輕
[00:34:10.000 --> 00:34:12.000]  但這條路我們每個人都是什麼
[00:34:12.000 --> 00:34:13.000]  都是自我修練
[00:34:13.000 --> 00:34:16.000]  所以說那麼多又回到這兒
[00:34:16.000 --> 00:34:17.000]  信心歸信心
[00:34:17.000 --> 00:34:19.000]  信心強大是必須要的
[00:34:19.000 --> 00:34:22.000]  但是還是一樣這八個字
[00:34:22.000 --> 00:34:25.000]  這至誠高遠
[00:34:25.000 --> 00:34:28.000]  腳踏實地
[00:34:28.000 --> 00:34:30.000]  積極樂觀
[00:34:30.000 --> 00:34:33.000]  積小勝成大勝
[00:34:33.000 --> 00:34:35.000]  這句話就像對我自己說一樣
[00:34:35.000 --> 00:34:38.000]  因為我去年有段時間
[00:34:38.000 --> 00:34:42.000]  就我兩個階段是突飛猛進的這種變化的
[00:34:42.000 --> 00:34:44.000]  每次每一個階段
[00:34:44.000 --> 00:34:47.000]  每個階段在成長之前是極度痛苦的
[00:34:47.000 --> 00:34:49.000]  能量極低極度痛苦
[00:34:49.000 --> 00:34:51.000]  像我今年有段時間大家知道的
[00:34:51.000 --> 00:34:54.000]  就是年後
[00:34:54.000 --> 00:34:57.000]  二月份到三月中
[00:34:57.000 --> 00:34:59.000]  我的天哪我覺得我那段時間我跟你們說
[00:34:59.000 --> 00:35:00.000]  現在大家看我還挺好的
[00:35:00.000 --> 00:35:04.000]  我那段時間整個臉都被搞得很醜
[00:35:04.000 --> 00:35:05.000]  所以去做什麼
[00:35:05.000 --> 00:35:09.000]  所以趕緊去做個超聲炮提拉一下
[00:35:09.000 --> 00:35:10.000]  真的就是這樣
[00:35:10.000 --> 00:35:12.000]  就是他很耗心神
[00:35:12.000 --> 00:35:14.000]  每一次你有成長進步
[00:35:14.000 --> 00:35:15.000]  所以大家也是這樣的
[00:35:15.000 --> 00:35:18.000]  當你感覺到很痛苦的時候你一定要堅持
[00:35:18.000 --> 00:35:20.000]  可能就是你的認知突破的一個時候
