[00:00:00.000 --> 00:00:04.200]  第三天看了前面这一个半小时呢跟大家分享的就是什么
[00:14:20.600 --> 00:14:22.400]  量价局慢慢展开的
[00:14:22.400 --> 00:14:24.100]  我们先把这个展开后
[00:14:24.100 --> 00:14:27.000]  我觉得最核心的是这个和这个
[00:14:27.000 --> 00:14:29.800]  这个不是最主要
[00:14:29.800 --> 00:14:31.100]  不是最重要
[00:14:31.100 --> 00:14:33.900]  它重要就是相比四个维度来讲
[00:14:33.900 --> 00:14:35.900]  因为还有很多其他重要的对吧
[00:14:35.900 --> 00:14:37.700]  但是我觉得它不是最重要的
[00:14:37.700 --> 00:14:39.800]  所以包括今天下午我跟大家讲波纳
[00:14:39.800 --> 00:14:41.300]  讲调整形态的时候
[00:14:41.300 --> 00:14:42.800]  我不会花特别多的功夫
[00:14:42.800 --> 00:14:44.700]  我核心细节点我都会讲
[00:14:44.700 --> 00:14:47.300]  但不会花特别多的功夫在这上面
[00:14:47.300 --> 00:14:48.800]  反而我今天可能会在
[00:14:48.800 --> 00:14:51.400]  今天我们主要是讲这个和这个
[00:14:51.400 --> 00:14:53.900]  反而我会在这个市的方面跟大家讲
[00:14:53.900 --> 00:14:57.200]  讲得更仔细一点
[00:14:57.200 --> 00:14:58.800]  我们再回到这个图
[00:14:58.800 --> 00:15:00.700]  我们慢慢来衍生
[00:15:00.700 --> 00:15:02.800]  那么这个价格的K线又是缩量的
[00:15:02.800 --> 00:15:05.700]  我们就已经很明白的看出来了
[00:15:05.700 --> 00:15:07.000]  回调也是一样的
[00:15:07.000 --> 00:15:08.100]  大家可以看到
[00:15:08.100 --> 00:15:09.300]  周线也没有反爆的
[00:15:09.300 --> 00:15:10.100]  肯定是
[00:15:10.100 --> 00:15:13.600]  但是这种回调5和10还在什么20的上方
[00:15:13.600 --> 00:15:16.200]  这就是到了我们手术的选择点
[00:15:16.200 --> 00:15:16.800]  对吧
[00:15:16.800 --> 00:15:17.600]  选择点呢
[00:15:17.600 --> 00:15:21.700]  它真正的确定性低不低息问大家
[00:15:21.700 --> 00:15:23.500]  我刚才已经有讲到了
[00:15:23.500 --> 00:15:24.700]  不要低息
[00:15:24.700 --> 00:15:26.800]  不要觉得ABC我数得出来了
[00:15:26.800 --> 00:15:28.000]  低息
[00:15:28.000 --> 00:15:29.200]  我们这次
[00:15:29.200 --> 00:15:31.600]  这次我们有几个就是早期的老学员
[00:15:31.600 --> 00:15:33.500]  我这不断的把你们
[00:15:33.500 --> 00:15:35.900]  我们有一些什么就是不断的纠片
[00:15:35.900 --> 00:15:38.100]  也不要纠片就是修正
[00:15:38.100 --> 00:15:39.300]  就更新嘛
[00:15:39.300 --> 00:15:40.200]  不要低息啊
[00:15:40.200 --> 00:15:43.100]  再提醒你在这里低息也是对的
[00:15:43.100 --> 00:15:45.300]  发现啊又套你一个月
[00:15:45.300 --> 00:15:45.600]  套
[00:15:45.600 --> 00:15:47.000]  因为人为什么不要低息呢
[00:15:47.000 --> 00:15:49.700]  就是不要入局
[00:15:49.700 --> 00:15:50.900]  被套就是局
[00:15:50.900 --> 00:15:54.100]  好这个位置可不可以
[00:15:54.100 --> 00:15:55.800]  这是不是反包
[00:15:55.800 --> 00:15:58.500]  那我宁愿买在这个成本
[00:15:58.500 --> 00:16:00.800]  这个月线之后也不要低息
[00:16:00.800 --> 00:16:02.700]  大家明白我意思没有
[00:16:02.700 --> 00:16:03.800]  那么这根K线的话
[00:16:03.800 --> 00:16:06.000]  目前需要的一点是什么
[00:16:06.000 --> 00:16:07.500]  就是在这里两三天
[00:16:07.500 --> 00:16:09.500]  两三根K线的膜
[00:16:09.500 --> 00:16:11.700]  慢慢把什么
[00:16:11.700 --> 00:16:14.600]  把4走平并向上
[00:16:14.600 --> 00:16:16.400]  它只需要这个动作
[00:16:16.400 --> 00:16:18.400]  但是从4的角度来讲
[00:16:18.400 --> 00:16:21.200]  5和10已经在20的上方了
[00:16:21.200 --> 00:16:23.900]  所以我讲的是5和10在20的上方
[00:16:23.900 --> 00:16:25.900]  为最大的事啊
[00:16:25.900 --> 00:16:26.900]  为最大的事
[00:16:26.900 --> 00:16:28.100]  而且月线上的
[00:16:28.100 --> 00:16:29.300]  所以我们中长期
[00:16:29.300 --> 00:16:32.200]  甚至长期居社看这个都基本上够了
[00:16:32.200 --> 00:16:33.400]  能够在它的上方
[00:16:33.400 --> 00:16:35.800]  那么目前缺的一点是什么
[00:16:35.800 --> 00:16:38.400]  就是K线的价格
[00:16:38.400 --> 00:16:41.100]  能够站在这三个的上方
[00:16:41.100 --> 00:16:42.300]  是不是缺这个点
[00:16:42.300 --> 00:16:44.900]  如果说这接下来一个月的价格
[00:16:44.900 --> 00:16:46.600]  能站在它的上方
[00:16:46.600 --> 00:16:48.100]  随后的调整
[00:16:48.100 --> 00:16:50.700]  那都可以
[00:16:50.700 --> 00:16:52.300]  这才是都可以买的区域
[00:16:52.300 --> 00:16:53.400]  但是你们明白意思没有
[00:16:53.400 --> 00:16:55.600]  那个调整就是挪的是时间
[00:16:55.600 --> 00:16:57.900]  但是不会模拟的空间了
[00:16:57.900 --> 00:17:00.300]  那就不会模拟的空间
[00:17:00.300 --> 00:17:03.100]  好 我们再来看后面的一个走势
[00:17:03.100 --> 00:17:04.200]  这一个月的一个走势
[00:17:04.200 --> 00:17:04.800]  对不对
[00:17:04.800 --> 00:17:06.000]  已经完全站上了
[00:17:06.000 --> 00:17:08.200]  所以大家去感受啊
[00:17:08.200 --> 00:17:10.600]  这样一个市场
[00:17:10.600 --> 00:17:13.800]  这个行业从空头转多头
[00:17:13.800 --> 00:17:16.000]  它是不是需要时间
[00:17:16.000 --> 00:17:17.600]  是不是需要一些时间的
[00:17:17.600 --> 00:17:19.500]  而真正我在这里说一下
[00:17:19.500 --> 00:17:22.700]  我们要求的机会是共振单边主生
[00:17:22.700 --> 00:17:26.200]  所以我强调怎么叫单边主生
[00:17:26.200 --> 00:17:30.300]  有准备把这个市完全转过来
[00:17:30.300 --> 00:17:32.100]  其实我们所说的结构
[00:17:32.100 --> 00:17:35.000]  模型就是空转多的过程
[00:17:35.000 --> 00:17:37.000]  反正现在我不是特别注重说
[00:17:37.000 --> 00:17:39.000]  大家以这个模型放第一
[00:17:39.000 --> 00:17:41.300]  你把这个价K线
[00:17:41.300 --> 00:17:44.100]  和这个市的变化放在第一
[00:17:44.100 --> 00:17:47.400]  当这个K线和市的变化慢慢能够行动
[00:17:47.400 --> 00:17:49.000]  当多头的时候
[00:17:49.000 --> 00:17:52.700]  再来看呈现出什么样的模型
[00:17:52.700 --> 00:17:55.300]  或者是什么样的结构
[00:17:55.300 --> 00:17:57.800]  这句话听明白了吗
[00:17:57.800 --> 00:17:59.600]  把市
[00:17:59.600 --> 00:18:02.900]  价和市的变化放在第一位
[00:18:02.900 --> 00:18:05.800]  当这个市慢慢呈现为多头的时候
[00:18:05.800 --> 00:18:09.000]  再来看它呈现出什么样的一个形式模型
[00:18:09.000 --> 00:18:11.000]  一个什么样的一个结构
[00:18:11.000 --> 00:18:12.100]  你就知道了
[00:18:12.100 --> 00:18:12.400]  对吧
[00:18:12.400 --> 00:18:13.900]  我们也知道它的级别了
[00:18:13.900 --> 00:18:14.200]  对吧
[00:18:14.200 --> 00:18:17.200]  你这里到这里最起码是一年多的时间
[00:18:17.200 --> 00:18:18.700]  那它的模型是模型几啊
[00:18:18.700 --> 00:18:21.800]  它这个水库波段结合是模型几
[00:18:21.800 --> 00:18:23.200]  你有找ABC
[00:18:23.200 --> 00:18:24.600]  再来摇天上方
[00:18:24.600 --> 00:18:25.100]  对吧
[00:18:25.100 --> 00:18:27.200]  左边的上方是模型3
[00:18:27.200 --> 00:18:28.800]  是不是它呈现的是模型3
[00:18:28.800 --> 00:18:30.200]  很标准
[00:18:30.200 --> 00:18:31.400]  但是如果说
[00:18:31.400 --> 00:18:33.800]  这个市没有发生转变值
[00:18:33.800 --> 00:18:34.900]  出来出多头
[00:18:34.900 --> 00:18:36.800]  这个模型3有用吗
[00:18:36.800 --> 00:18:38.700]  我们不知道这个模型3是
[00:18:38.700 --> 00:18:41.400]  顺势而为趋势向上的模型3
[00:18:41.400 --> 00:18:43.700]  还是因为行
[00:18:43.700 --> 00:18:47.600]  一定是市建立在市的基础之上
[00:18:47.600 --> 00:18:48.100]  个股
[00:18:48.100 --> 00:18:51.100]  我们说做趋势做波段的个股也是一样的
[00:18:51.100 --> 00:18:52.400]  就我讲市的方法
[00:18:52.400 --> 00:18:54.600]  对于指数对于板块对于个股
[00:18:54.600 --> 00:18:56.300]  都是一样的
[00:18:56.300 --> 00:18:57.900]  我们讲月线是这么讲
[00:18:57.900 --> 00:18:59.100]  那回头问大家
[00:18:59.100 --> 00:19:02.100]  回到日线做短线也是一样的
[00:19:02.100 --> 00:19:03.600]  大家能理解我意思没有
[00:19:03.600 --> 00:19:05.200]  回到日线方法是一样的
[00:19:05.200 --> 00:19:06.500]  没有那么多方法说
[00:19:06.500 --> 00:19:08.400]  我月线是这么看周线是这么看
[00:19:08.400 --> 00:19:09.100]  不是的
[00:19:09.100 --> 00:19:11.600]  这个方法一通百通
[00:19:11.600 --> 00:19:13.000]  一通百通
[00:19:13.000 --> 00:19:15.400]  好我们这个位置才具备我们所说的
[00:19:15.400 --> 00:19:17.000]  进入到操作区间
[00:19:17.000 --> 00:19:19.100]  那么再回到我们的模型就明白
[00:19:19.100 --> 00:19:21.800]  A要不是有效1011ABC
[00:19:21.800 --> 00:19:23.800]  这里在走什么C比AD
[00:19:23.800 --> 00:19:25.600]  这里做一个小扭转结构
[00:19:25.600 --> 00:19:27.100]  慢慢进入什么
[00:19:27.100 --> 00:19:28.100]  就是走3呢
[00:19:28.100 --> 00:19:30.200]  具备单边主声对不对
[00:19:30.200 --> 00:19:31.800]  是不是这样子具备单边主声
[00:19:31.800 --> 00:19:35.100]  那么这就是我们所讲的怎么做趋势怎么做波段
[00:19:35.100 --> 00:19:38.100]  趋势波段必须这样扭转啊
[00:19:38.100 --> 00:19:39.000]  好对吧
[00:19:39.000 --> 00:19:41.100]  这就是20年那个年后的那个低点
[00:19:41.100 --> 00:19:42.400]  最后收起来吗
[00:19:42.400 --> 00:19:44.200]  好回调也没破对吧
[00:19:44.200 --> 00:19:45.600]  你还是以这个位置啊
[00:19:45.600 --> 00:19:47.200]  为为你的区间呢
[00:19:47.200 --> 00:19:48.300]  再来看
[00:19:48.300 --> 00:19:51.000]  音线大家看一下好好感受一下
[00:19:51.000 --> 00:19:55.300]  趋势多头出音线是会被反包的
[00:19:55.300 --> 00:19:57.400]  趋势多头叫空中调整
[00:19:57.400 --> 00:19:58.700]  是会被反包的
[00:19:58.700 --> 00:20:00.300]  所以如果说多做
[00:20:00.300 --> 00:20:01.600]  向大家做一些机会
[00:20:01.600 --> 00:20:02.700]  就刚才所说的
[00:20:02.700 --> 00:20:05.700]  大周期是月线趋势多头收紧
[00:20:05.700 --> 00:20:07.200]  周线向下回调
[00:20:07.200 --> 00:20:08.700]  回调叫周线扬包音
[00:20:08.700 --> 00:20:10.600]  那个位置可不可以买
[00:20:10.600 --> 00:20:12.400]  是很好的买入机会啊
[00:20:12.400 --> 00:20:14.900]  你不要费我说的买
[00:20:14.900 --> 00:20:16.100]  提高成本买
[00:20:16.100 --> 00:20:19.600]  不是要你把这个位置突破买
[00:20:19.600 --> 00:20:21.400]  不是说我们要突破这个箱体买
[00:20:21.400 --> 00:20:22.700]  大家明白我的意思没有
[00:20:22.700 --> 00:20:26.100]  而是我买在趋势的那个拐点
[00:20:26.100 --> 00:20:27.200]  第一拐点
[00:20:27.200 --> 00:20:29.100]  这个拐点还是调整
[00:20:29.100 --> 00:20:32.100]  还是调整周期的那个阳线拐点
[00:20:32.100 --> 00:20:33.700]  啊我我再次讲讲
[00:20:33.700 --> 00:20:36.300]  因为我发现就是大家很多人喜欢
[00:20:36.300 --> 00:20:37.200]  你看这个横盘
[00:20:37.200 --> 00:20:38.500]  我对这个横盘突破了买
[00:20:38.500 --> 00:20:40.800]  那不就变追高了吗
[00:20:40.800 --> 00:20:43.000]  我们说所的高买
[00:20:43.000 --> 00:20:45.300]  是市的确认
[00:20:45.300 --> 00:20:47.400]  就我前面讲的那个字叫造市的
[00:20:47.400 --> 00:20:49.200]  那个k线的确认买
[00:20:49.200 --> 00:20:50.400]  不是让你顺势而为
[00:20:50.400 --> 00:20:52.200]  拉升的过程中的追涨买
[00:20:52.200 --> 00:20:54.400]  好我们再来看后面
[00:20:54.400 --> 00:20:55.200]  的一个走势
[00:20:55.200 --> 00:20:56.700]  回调对吧趋势多头
[00:20:56.700 --> 00:20:58.900]  那现在问大家一个问题
[00:20:58.900 --> 00:21:00.900]  当这一段的过程中
[00:21:00.900 --> 00:21:03.200]  我们重点关注的是价为主
[00:21:03.200 --> 00:21:05.700]  看价怎么去带动市的对不对
[00:21:05.700 --> 00:21:06.800]  当这里开始
[00:21:06.800 --> 00:21:09.400]  已经把市转变过来的
[00:21:09.400 --> 00:21:10.700]  那我问大家
[00:21:10.700 --> 00:21:13.500]  你是以哪个为主
[00:21:13.500 --> 00:21:15.400]  以市为主
[00:21:15.400 --> 00:21:17.000]  你以价为主
[00:21:17.000 --> 00:21:18.800]  百分之百万的息怒
[00:21:18.800 --> 00:21:21.100]  百分之百万的息怒
[00:21:21.100 --> 00:21:22.800]  就是开始又回到了什么
[00:21:22.800 --> 00:21:24.800]  以市为主
[00:21:24.800 --> 00:21:26.200]  大家能理解我意思没有
[00:21:26.200 --> 00:21:28.200]  就你把这个降为到
[00:21:28.200 --> 00:21:29.900]  我们做小波段
[00:21:29.900 --> 00:21:32.000]  周线做小波段也是一样的
[00:21:32.000 --> 00:21:34.000]  降为到为什么大家会发现
[00:21:34.000 --> 00:21:35.400]  我会着重强调
[00:21:35.400 --> 00:21:37.000]  你们很多时候也会在
[00:21:37.000 --> 00:21:38.400]  比如这里买对吧
[00:21:38.400 --> 00:21:39.600]  确认的买
[00:21:39.600 --> 00:21:41.100]  买完被套
[00:21:41.100 --> 00:21:42.000]  就挨套
[00:21:42.000 --> 00:21:43.400]  然后就开始怀疑
[00:21:43.400 --> 00:21:45.900]  然后看了可以先买也不好看
[00:21:45.900 --> 00:21:47.000]  然后呢在这里就搁
[00:21:47.000 --> 00:21:49.400]  或者是这里就走掉了
[00:21:49.400 --> 00:21:51.300]  或者在这里起来一点走掉了
[00:21:51.300 --> 00:21:52.600]  发现我们走完就慢慢
[00:21:52.600 --> 00:21:54.100]  他怎么后面又走出去了
[00:21:54.100 --> 00:21:55.900]  就卖错了
[00:21:55.900 --> 00:21:57.100]  是不是这样的
[00:21:57.100 --> 00:21:59.100]  那有的时候呢反过来
[00:21:59.100 --> 00:22:00.800]  这么市嘛没走好
[00:22:00.800 --> 00:22:02.700]  要你卖嘛就不卖
[00:22:02.700 --> 00:22:05.000]  好了套了
[00:22:05.000 --> 00:22:06.300]  大家明白我的意思没有
[00:22:06.300 --> 00:22:08.500]  就是你得把这两个
[00:22:08.500 --> 00:22:09.500]  给什么
[00:22:09.500 --> 00:22:11.100]  给记在心里面
[00:22:11.100 --> 00:22:14.300]  什么位置就是在这种
[00:22:14.300 --> 00:22:15.800]  单边就是我们说什么
[00:22:15.800 --> 00:22:18.100]  说白了就是5和10在20的
[00:22:18.100 --> 00:22:20.000]  下方就是空头
[00:22:20.000 --> 00:22:21.200]  空头里面
[00:22:21.200 --> 00:22:22.300]  你出来了你就赶
[00:22:22.300 --> 00:22:22.900]  你就得卖
[00:22:22.900 --> 00:22:24.700]  因为它会顺势下跌
[00:22:24.700 --> 00:22:26.200]  你也不要和这种阳线
[00:22:26.200 --> 00:22:28.300]  阳线就回到日线的短线上
[00:22:28.300 --> 00:22:29.700]  去诱惑它
[00:22:29.700 --> 00:22:30.800]  那如果说你反过来
[00:22:30.800 --> 00:22:31.900]  在这个多头里面
[00:22:31.900 --> 00:22:33.500]  因为单边是要
[00:22:33.500 --> 00:22:35.000]  误住的呀你误不住
[00:22:35.000 --> 00:22:36.100]  你是享受不到
[00:22:36.100 --> 00:22:38.500]  你说的时间的什么
[00:22:38.500 --> 00:22:40.900]  时间的魅力的嘛对吧
[00:22:40.900 --> 00:22:41.900]  是误不住的
[00:22:41.900 --> 00:22:43.600]  所以当它转为多的过程中
[00:22:43.600 --> 00:22:44.300]  像这种黑线
[00:22:44.300 --> 00:22:45.700]  这种黑线就是洗
[00:22:45.700 --> 00:22:47.500]  而且大部分的趋势股
[00:22:47.500 --> 00:22:49.300]  大家记住啊
[00:22:49.300 --> 00:22:50.900]  大部分的趋势股
[00:22:50.900 --> 00:22:57.600]  波段股基本上都是先慢后快
[00:22:57.600 --> 00:22:59.200]  大部分的趋势股
[00:22:59.200 --> 00:23:03.300]  波段股基本上都是先慢后快
[00:23:03.300 --> 00:23:05.300]  我觉得大家只要做过几个
[00:23:05.300 --> 00:23:05.600]  对吧
[00:23:05.600 --> 00:23:06.500]  中期主升的
[00:23:06.500 --> 00:23:08.500]  应该就会有这个感受
[00:23:08.500 --> 00:23:11.300]  刚开始前面的时间是慢慢的
[00:23:11.300 --> 00:23:12.300]  边涨涨洗洗
[00:23:12.300 --> 00:23:13.300]  涨涨洗洗
[00:23:13.300 --> 00:23:14.800]  洗到后面都干干净净的
[00:23:14.800 --> 00:23:15.900]  就那么几根黑线
[00:23:15.900 --> 00:23:18.300]  可能就达到你的成本的50%
[00:23:18.300 --> 00:23:21.400]  好
[00:23:21.400 --> 00:23:22.200]  我们接
[00:23:22.200 --> 00:23:23.600]  这就这你就明白了
[00:23:23.600 --> 00:23:24.800]  这就是什么
[00:23:24.800 --> 00:23:26.700]  顺势而为对吧
[00:23:26.700 --> 00:23:28.300]  是不是顺势而为
[00:23:28.300 --> 00:23:30.100]  像价格向上调整对吧
[00:23:30.100 --> 00:23:31.100]  你在这里调整
[00:23:31.100 --> 00:23:33.100]  是不是以市为主
[00:23:33.100 --> 00:23:34.200]  对不对以市为主
[00:23:34.200 --> 00:23:34.700]  那这个位置
[00:23:34.700 --> 00:23:35.400]  比如说我涨一步
[00:23:35.400 --> 00:23:36.000]  涨差不多了
[00:23:36.000 --> 00:23:37.100]  我要休息休息
[00:23:37.100 --> 00:23:38.200]  那你要明白一点
[00:23:38.200 --> 00:23:39.800]  这个位置的跃陷的向上
[00:23:39.800 --> 00:23:41.200]  市是向上的
[00:23:41.200 --> 00:23:43.300]  那么当市向上进入调整
[00:23:43.300 --> 00:23:43.900]  调整反包
[00:23:43.900 --> 00:23:45.800]  是不是又是一个机会买点
[00:23:45.800 --> 00:23:47.400]  继续顺势而为向上
[00:23:47.400 --> 00:23:49.700]  然后在向上的过程中就是看
[00:23:49.700 --> 00:23:50.900]  第二次上涨的话
[00:23:50.900 --> 00:23:51.600]  你就看量能
[00:23:51.600 --> 00:23:52.200]  量能不够
[00:23:52.200 --> 00:23:54.300]  这里出现阴线出现阴包阳
[00:23:54.300 --> 00:23:55.000]  那你就知道了
[00:23:55.000 --> 00:23:57.000]  就是大大的分歧对不对
[00:23:57.000 --> 00:23:59.200]  那差不多差不多要进入调整了
[00:23:59.200 --> 00:24:01.400]  如果这个调整慢慢你来看
[00:24:01.400 --> 00:24:03.400]  现在是价格跌破5和10
[00:24:03.400 --> 00:24:04.300]  然后反攻不过
[00:24:04.300 --> 00:24:05.500]  还会在这里震荡一下
[00:24:05.500 --> 00:24:06.300]  还能横得住
[00:24:06.300 --> 00:24:07.900]  就是这个区间还能稳得住的
[00:24:07.900 --> 00:24:10.300]  因为它是多头嘛
[00:24:10.300 --> 00:24:12.100]  对不对还能稳得住的
[00:24:12.100 --> 00:24:13.400]  那再来看量能
[00:24:13.400 --> 00:24:15.300]  这个过
[00:24:15.300 --> 00:24:16.300]  我讲的快了一点
[00:24:16.300 --> 00:24:17.800]  就是5和10
[00:24:17.800 --> 00:24:19.100]  只要在20的上方
[00:24:19.100 --> 00:24:20.100]  哪怕你跌
[00:24:20.100 --> 00:24:22.000]  还会反弹稳得住的
[00:24:22.000 --> 00:24:24.300]  那么什么时候完全彻底倒塌了
[00:24:24.300 --> 00:24:25.300]  对吧
[00:24:25.300 --> 00:24:26.300]  完全彻底倒塌了
[00:24:26.300 --> 00:24:28.400]  就是属于那种阴线的下跌
[00:24:28.400 --> 00:24:29.600]  然后把5和10
[00:24:29.600 --> 00:24:30.800]  就是又是回到了
[00:24:30.800 --> 00:24:32.400]  价格的向下
[00:24:32.400 --> 00:24:35.200]  把5和10带动死差
[00:24:35.200 --> 00:24:36.800]  同时价格的向下
[00:24:36.800 --> 00:24:40.000]  把5和10带动
[00:24:40.000 --> 00:24:42.100]  到20的下方
[00:24:42.100 --> 00:24:44.800]  就彻底进入死局了
[00:24:44.800 --> 00:24:46.300]  那这个位置你看
[00:24:46.300 --> 00:24:48.000]  上涨它出现阴线对不对
[00:24:48.000 --> 00:24:49.000]  它还会反复
[00:24:49.000 --> 00:24:50.400]  这里来一个回调之后
[00:24:50.400 --> 00:24:51.300]  价格的向下
[00:24:51.300 --> 00:24:53.100]  5和10没有把它带动向下
[00:24:53.100 --> 00:24:54.900]  那这里周线上出现一个反包包
[00:24:54.900 --> 00:24:56.000]  月线上出现一个反包
[00:24:56.000 --> 00:24:57.500]  它还会延续的
[00:24:57.500 --> 00:24:59.800]  创不创的新高是量能的问题
[00:24:59.800 --> 00:25:00.500]  对吧
[00:25:00.500 --> 00:25:01.700]  但它还会延续的
[00:25:01.700 --> 00:25:03.100]  然后这一出现一个阴线
[00:25:03.100 --> 00:25:04.800]  没有把5和10跌破
[00:25:04.800 --> 00:25:05.700]  是价格的变化
[00:25:05.700 --> 00:25:07.500]  它还会反复的看到没有
[00:25:07.500 --> 00:25:08.300]  是吧 还会反复
[00:25:08.300 --> 00:25:09.500]  那么这个位置周线上
[00:25:09.500 --> 00:25:11.100]  小周期出现一个反包
[00:25:11.100 --> 00:25:13.400]  那这个板块也还有短期的一个机会
[00:25:13.400 --> 00:25:14.700]  那么到这个阴线
[00:25:14.700 --> 00:25:17.000]  直接整个进行一个反包
[00:25:17.000 --> 00:25:18.200]  之后
[00:25:18.200 --> 00:25:19.800]  那也有可能还会反复的
[00:25:19.800 --> 00:25:20.700]  但是它得反复
[00:25:20.700 --> 00:25:22.100]  因为它为什么还会反复
[00:25:22.100 --> 00:25:24.600]  它5和10还在什么
[00:25:24.600 --> 00:25:25.300]  上方
[00:25:25.300 --> 00:25:27.300]  可能还会有小十字型的停留
[00:25:27.300 --> 00:25:28.900]  慢慢等到它什么
[00:25:28.900 --> 00:25:30.500]  这个5和10
[00:25:30.500 --> 00:25:32.000]  把它完全带动向下
[00:25:32.000 --> 00:25:34.100]  你看5和10现在完全带动向下
[00:25:34.100 --> 00:25:36.600]  这个现在在反弹
[00:25:36.600 --> 00:25:39.100]  属于是空头完全反弹的话
[00:25:39.100 --> 00:25:41.100]  它就再也不会在这个区间震荡了
[00:25:41.100 --> 00:25:45.400]  它的重心就开始往下移了
[00:25:45.400 --> 00:25:46.400]  就开始往下移了
[00:25:46.400 --> 00:25:48.600]  这个大家就是应该能够理解了
[00:25:48.600 --> 00:25:50.600]  你看它就开始在这里震荡之后
[00:25:50.600 --> 00:25:51.600]  它的重心
[00:25:51.600 --> 00:25:53.000]  哪怕整个横盘
[00:25:53.000 --> 00:25:55.100]  我把这一段回一下
[00:25:55.100 --> 00:25:56.400]  从模型的角度来讲
[00:25:56.400 --> 00:25:59.200]  我们可不可以把这里当做一个模型
[00:25:59.200 --> 00:26:00.100]  上掌
[00:26:00.100 --> 00:26:01.800]  ABC相挺
[00:26:01.800 --> 00:26:03.400]  然后在这正道力的这个甲子
[00:26:03.400 --> 00:26:03.900]  越来越小
[00:26:03.900 --> 00:26:06.000]  可不可以把它当成一个模型
[00:26:06.000 --> 00:26:07.400]  形的角度是不是
[00:26:07.400 --> 00:26:08.600]  我觉得你看
[00:26:08.600 --> 00:26:09.300]  上掌
[00:26:09.300 --> 00:26:11.500]  然后这条小横盘应该还有一冲
[00:26:11.500 --> 00:26:12.900]  从模型的角度
[00:26:12.900 --> 00:26:15.200]  但是从式的角度我们会发现
[00:26:15.200 --> 00:26:17.500]  整个在这里做了一个形
[00:26:17.500 --> 00:26:19.900]  它的式是属于什么
[00:26:19.900 --> 00:26:21.300]  空头
[00:26:21.300 --> 00:26:25.600]  所以这个型的唯一的出路就是
[00:26:25.600 --> 00:26:27.000]  顺式
[00:26:27.000 --> 00:26:29.200]  顺空头的式而下
[00:26:29.200 --> 00:26:31.200]  大家这样的理解我意思了
[00:26:31.200 --> 00:26:32.500]  所以我们所讲的
[00:26:32.500 --> 00:26:34.200]  说式很重要
[00:26:34.200 --> 00:26:35.300]  因为我们
[00:26:35.300 --> 00:26:36.900]  大家都学过模型结构
[00:26:36.900 --> 00:26:39.100]  这个式必须建立在
[00:26:39.100 --> 00:26:41.900]  就是这个型必须建立在式的基础之上
[00:26:41.900 --> 00:26:43.600]  那么这样走基本上都是空头了
[00:26:43.600 --> 00:26:46.400]  你看它后面就慢慢长途进入到向下
[00:26:46.400 --> 00:26:48.300]  那么目前现在是价格向上
[00:26:48.300 --> 00:26:50.300]  式有没有发生转变
[00:26:50.300 --> 00:26:51.200]  没有
[00:26:51.200 --> 00:26:51.800]  对吧
[00:26:51.800 --> 00:26:53.300]  所以这是一个
[00:26:53.300 --> 00:26:55.100]  一个板块指数的一个变化
[00:26:55.100 --> 00:26:56.000]  因为我们可以看到
[00:26:56.000 --> 00:26:57.900]  其实它最赚钱的就是从这个位置
[00:26:57.900 --> 00:26:58.700]  我们开始
[00:26:58.700 --> 00:26:58.900]  对吧
[00:26:58.900 --> 00:27:00.300]  这个位置开始
[00:27:00.300 --> 00:27:01.300]  是不是这个月
[00:27:01.300 --> 00:27:03.000]  到这个月已经开始确立了
[00:27:03.000 --> 00:27:04.000]  或这个月
[00:27:04.000 --> 00:27:05.200]  我们可以看到机会
[00:27:05.200 --> 00:27:07.300]  你想说的就是后面这一年多的
[00:27:07.300 --> 00:27:08.700]  大半年的收益
[00:27:08.700 --> 00:27:10.500]  这后面已经没啥机会了
[00:27:10.500 --> 00:27:11.500]  小雪花了
[00:27:11.500 --> 00:27:13.200]  后面的机会我们可以
[00:27:13.200 --> 00:27:14.700]  能换到什么
[00:27:14.700 --> 00:27:16.100]  其他的板块上了
[00:27:16.100 --> 00:27:17.400]  但是理解意思没有
[00:27:17.400 --> 00:27:19.700]  所以我们说股票机会是什么
[00:27:19.700 --> 00:27:21.000]  我觉得股票风险大
[00:27:21.000 --> 00:27:22.400]  机会少
[00:27:22.400 --> 00:27:24.700]  我现在觉得
[00:27:24.700 --> 00:27:26.900]  是一个我说比例
[00:27:26.900 --> 00:27:28.400]  永远有机会
[00:27:28.400 --> 00:27:29.700]  但是总体来讲
[00:27:29.700 --> 00:27:32.100]  机会少风险大
[00:27:32.100 --> 00:27:34.100]  他们之间的一个轮动很快
[00:27:34.100 --> 00:27:37.500]  好我们再来看这段也是一样的
[00:27:37.500 --> 00:27:38.200]  也是一样的
[00:27:38.200 --> 00:27:40.900]  大家现在就可以很明显的感受出来了
[00:27:40.900 --> 00:27:43.000]  你阴线不怕的
[00:27:43.000 --> 00:27:43.600]  你看
[00:27:43.600 --> 00:27:45.200]  这个是空头
[00:27:45.200 --> 00:27:46.800]  那整个向上的过程中
[00:27:46.800 --> 00:27:47.900]  阴线是不怕的
[00:27:47.900 --> 00:27:49.400]  因为你整个什么
[00:27:49.400 --> 00:27:51.800]  市已经转在了多的上方了
[00:27:51.800 --> 00:27:52.600]  所以像我
[00:27:52.600 --> 00:27:55.200]  我希望大家就是在今年
[00:27:55.200 --> 00:27:57.100]  今年开始的
